,title,authors,doi,publication_date,journal,abstract,conclusions,copyrights,keywords,methods,pubmed_id,results,xml,isbn,language,publication_type,publisher,publisher_location,sections
0,"EYS-ASSOCIATED RETINAL DEGENERATION: NATURAL HISTORY, GENETIC LANDSCAPE AND PHENOTYPIC SPECTRUM.","Ricardo Machado Soares, Ana Luísa Carvalho, Sílvia Simão, Célia Azevedo Soares, Miguel Raimundo, C Henrique Alves, António Francisco Ambrósio, Joaquim Murta, Jorge Saraiva, Rufino Silva, João Pedro Marques",10.1016/j.oret.2023.02.001,2023-02-11,Ophthalmology. Retina,"To describe the natural history, genetic landscape and phenotypic spectrum of EYS- associated retinal degeneration (EYS-RD).
Retrospective, single-center cohort study complemented by a cross-sectional examination.
Patients with biallelic EYS variants recruited at an inherited retinal degeneration referral center in Portugal.
Every patient underwent a cross-sectional examination comprising a comprehensive ophthalmologic examination including best-corrected visual acuity (BCVA), dilated slit-lamp anterior segment and fundus biomicroscopy; ultra-widefield color fundus photography and fundus autofluorescence imaging; and spectral-domain optical coherence tomography (SD-OCT). In the setting of a retinitis pigmentosa (RP) diagnosis, every patient was classified as typical or atypical RP according to imaging criteria. Baseline demographics, age at onset of symptoms, family history, history of consanguinity, symptoms, age at diagnosis, BCVA at baseline and throughout follow-up, and EYS variants were collected from each individual patient file.
Clinical/demographic, genetic, multimodal imaging data (ellipsoid zone widths) and BCVA variation were compared between typical and atypical RP. Additionally, BCVA variation during follow-up was used as an endpoint to describe EYS-RD natural history.
Fifty-eight patients (59% males; mean age 52±14 years) from 48 Caucasian families of Portuguese ancestry were included. Twenty distinct EYS variants were identified, eight of which are novel. In 32.8% patients, onset of symptoms was in early adulthood (21-30 years). A clinical diagnosis of RP was established in 57 patients and cone-rod dystrophy in one patient. Regarding RP, 75.0% of the patients were graded as typical and 25.0% as atypical. Atypical EYS-RP commonly presents with inferior crescent-shaped macular atrophy with superior mid-peripheral sparing. In EYS-RD, a negative correlation was found between age and BCVA (r=-0.50; p<0.001), with an average loss of 1.45 letters per year. When stratifying for RP phenotype, lower average loss of letters per year (p<0.001), higher BCVA (p<0.001) and larger ellipsoid zone (EZ) widths (p<0.001) were found in atypical RP.
This study expands the genetic spectrum of EYS-RD by reporting 8 novel variants. A high frequency of atypical phenotypes was identified. These patients have better BCVA and larger EZ widths, thus presenting an overall better prognosis.",,Copyright © 2023. Published by Elsevier Inc.,[],,36764454,"Fifty-eight patients (59% males; mean age 52±14 years) from 48 Caucasian families of Portuguese ancestry were included. Twenty distinct EYS variants were identified, eight of which are novel. In 32.8% patients, onset of symptoms was in early adulthood (21-30 years). A clinical diagnosis of RP was established in 57 patients and cone-rod dystrophy in one patient. Regarding RP, 75.0% of the patients were graded as typical and 25.0% as atypical. Atypical EYS-RP commonly presents with inferior crescent-shaped macular atrophy with superior mid-peripheral sparing. In EYS-RD, a negative correlation was found between age and BCVA (r=-0.50; p<0.001), with an average loss of 1.45 letters per year. When stratifying for RP phenotype, lower average loss of letters per year (p<0.001), higher BCVA (p<0.001) and larger ellipsoid zone (EZ) widths (p<0.001) were found in atypical RP.",<Element 'PubmedArticle' at 0x000001144376CD10>,,,,,,
0,Variables in the ACBD5 Gene Leading to Distinct Phenotypes: A Case Report.,"Mariella C Pappaterra-Rodriguez, Sofia M Muns, Sofía C Ayala Rodríguez, Guillermo A Requejo Figueroa, Natalio Izquierdo, Armando L Oliver",10.7759/cureus.32930,2023-01-27,Cureus,"We report the cases of a father and his daughter, the former diagnosed with retinitis pigmentosa (RP) and the latter with early foveal atrophy; while both shared a novel variant of uncertain significance (VUS) in the ",,"Copyright © 2022, Pappaterra-Rodriguez et al.","['acbd5 variant', 'case report', 'inherited retinal disorders', 'rod-cone dystrophy', 'variants of uncertain significance']",,"36699790
17032466
30137803
17113430
30902645
23701314
29487844
29551993
30804741
33427402
23105016
27799409
27228076
20626622
20333770
31213501
28774848
15850816
28650878",,<Element 'PubmedArticle' at 0x000001144630B4F0>,,,,,,
0,Analysis of rod-cone dystrophy genes reveals unique mutational patterns.,"Lama Jaffal, Mariam Ibrahim, Said El Shamieh","10.1136/bmjos-2022-100291
10.1002/humu.21249
10.2174/138920211795860107
10.1111/cge.12203
10.1038/s41431-020-00754-0
10.1016/S0140-6736(06)69740-7
10.1055/a-1388-7236
10.1007/s00439-020-02199-3
10.1002/humu.21438
10.1093/nar/gkaa1100
10.3390/ijms21217817
10.1136/bjophthalmol-2019-315786
10.1167/iovs.03-0410
10.1186/s13023-021-01843-z
10.3390/genes8070178
10.1002/humu.24205
10.1093/hmg/ddv275
10.1136/jmg.40.1.e8",2023-01-10,BMJ open science,"Rod-cone dystrophy (RCD) is the most common inherited retinal disease that is characterised by the progressive degeneration of retinal photoreceptors. RCD genes classification is based exclusively on gene mutations' prevalence and does not consider the implication of the same gene in different phenotypes. Therefore, we first investigated the mutations occurrence in autosomal recessive RCD (arRCD) and non-arRCD conditions. Then, finally, we identified arRCD enriched mutational patterns in specific genes and coding exons.
The mutations patterns differed according to arRCD (p=0.001). Specifically, When compared with missense; insertions/deletions (OR=1.2, p=0.007), nonsense (OR=1.2, p=0.014) and splice-site mutations (OR=1.6, p=0.038) increased the OR of arRCD by 20%-60% versus non-arRCD conditions. The gene-based analysis identified that 
The current analysis showed that many aRCD genes have unique mutational patterns.",The current analysis showed that many aRCD genes have unique mutational patterns.,© Author(s) (or their employer(s)) 2022. Re-use permitted under CC BY. Published by BMJ.,"['INDEL mutation', 'biomarkers', 'genotype']",,"36618607
20333770
22131869
23701314
33188265
17113430
33784788
32596782
21520333
33237286
33105608
32675063
14507858
34001227
28704921
33847019
26188004
12525556",,<Element 'PubmedArticle' at 0x0000011446314F40>,,,,,,
0,Optical genome mapping and revisiting short-read genome sequencing data reveal previously overlooked structural variants disrupting retinal disease-associated genes.,"Suzanne E de Bruijn, Kim Rodenburg, Jordi Corominas, Tamar Ben-Yosef, Janine Reurink, Hannie Kremer, Laura Whelan, Astrid S Plomp, Wolfgang Berger, G Jane Farrar, Árpád Ferenc Kovács, Isabelle Fajardy, Rebekkah J Hitti-Malin, Nicole Weisschuh, Marianna E Weener, Dror Sharon, Ronald J E Pennings, Lonneke Haer-Wigman, Carel B Hoyng, Marcel R Nelen, Lisenka E L M Vissers, L Ingeborgh van den Born, Christian Gilissen, Frans P M Cremers, Alexander Hoischen, Kornelia Neveling, Susanne Roosing",10.1016/j.gim.2022.11.013,2022-12-17,Genetics in medicine : official journal of the American College of Medical Genetics,"Structural variants (SVs) play an important role in inherited retinal diseases (IRD). Although the identification of SVs significantly improved upon the availability of genome sequencing, it is expected that involvement of SVs in IRDs is higher than anticipated. We revisited short-read genome sequencing data to enhance the identification of gene-disruptive SVs.
Optical genome mapping was performed to improve SV detection in short-read genome sequencing-negative cases. In addition, reanalysis of short-read genome sequencing data was performed to improve the interpretation of SVs and to re-establish SV prioritization criteria.
In a monoallelic USH2A case, optical genome mapping identified a pericentric inversion (173 megabase), with 1 breakpoint disrupting USH2A. Retrospectively, the variant could be observed in genome sequencing data but was previously deemed false positive. Reanalysis of short-read genome sequencing data (427 IRD cases) was performed which yielded 30 pathogenic SVs affecting, among other genes, USH2A (n = 15), PRPF31 (n = 3), and EYS (n = 2). Eight of these (>25%) were overlooked during previous analyses.
Critical evaluation of our findings allowed us to re-establish and improve our SV prioritization and interpretation guidelines, which will prevent missing pathogenic events in future analyses. Our data suggest that more attention should be paid to SV interpretation and the current contribution of SVs in IRDs is still underestimated.","Critical evaluation of our findings allowed us to re-establish and improve our SV prioritization and interpretation guidelines, which will prevent missing pathogenic events in future analyses. Our data suggest that more attention should be paid to SV interpretation and the current contribution of SVs in IRDs is still underestimated.",Copyright © 2022 The Authors. Published by Elsevier Inc. All rights reserved.,"['Inherited retinal diseases', 'Next-generation sequencing', 'Optical genome mapping', 'Short-read genome sequencing', 'Structural variants']",,36524988,"In a monoallelic USH2A case, optical genome mapping identified a pericentric inversion (173 megabase), with 1 breakpoint disrupting USH2A. Retrospectively, the variant could be observed in genome sequencing data but was previously deemed false positive. Reanalysis of short-read genome sequencing data (427 IRD cases) was performed which yielded 30 pathogenic SVs affecting, among other genes, USH2A (n = 15), PRPF31 (n = 3), and EYS (n = 2). Eight of these (>25%) were overlooked during previous analyses.",<Element 'PubmedArticle' at 0x0000011446326220>,,,,,,
0,Genotypic and phenotypic profiles of EYS gene-related retinitis pigmentosa: a retrospective study.,"Ragkit Suvannaboon, Aulia Rahmi Pawestri, Worapoj Jinda, Aekkachai Tuekprakhon, Adisak Trinavarat, La-Ongsri Atchaneeyasakul","10.1038/s41598-022-26017-0
10.3390/genes9040215
10.1167/tvst.7.4.6
10.1007/s11095-018-2554-7
10.1155/2018/3249064
10.1038/s41598-020-77558-1
10.1002/humu.23371
10.1167/iovs.18-25531
10.1007/s00417-021-05411-w
10.1038/ng.241
10.1016/j.ajhg.2008.10.014
10.1371/journal.pone.0166397
10.1038/srep46098
10.1167/iovs.13-13567
10.1038/s41598-021-94377-0
10.1038/gim.2015.30
10.1002/humu.21249
10.1038/gim.2014.138
10.4238/2014.October.27.23
10.1167/iovs.09-5109
10.1038/srep08927
10.1016/j.ajhg.2009.09.020
10.1371/journal.pone.0031036
10.1016/j.ajo.2018.03.008
10.1186/s13287-018-1016-9
10.1038/s41433-020-1105-8
10.1038/s41598-020-62119-3
10.1080/14712598.2018.1389886
10.3390/ijms22179154
10.1186/s13023-021-01843-z",2022-12-14,Scientific reports,"Retinitis pigmentosa (RP) affects 1:5000 individuals worldwide. Interestingly, variations in 271 RP-related genes are indicated to vary among populations. We aimed to evaluate the genetic prevalence and phenotypic profiles of Thai patients with RP. The clinical and whole exome sequencing data of 125 patients suggestive of inherited retinal diseases (IRD), particularly non-syndromic RP, were assessed. We found a total of 258 variants (63% of which remained unavailable in the ClinVar database) in 91 IRD-associated genes. Among the detected genes, the eyes shut homolog (EYS) gene showed the highest prevalence. We also provide insights into the genotypic, baseline, and follow-up clinical presentations of seven patients with disease-causing EYS variations. This study could provide comprehension of the prevalence of RP-related genes involved in the Asian population. It might also provide information to establish advanced and personalised therapy for RP in the Thai population.",,© 2022. The Author(s).,[],,"36513702
29659558
30034950
30591984
29682340
30137803
33247286
29159838
31074760
34568954
18836446
18976725
27846257
28378834
24618324
34294798
25741868
20333770
25356976
25366773
20237254
25753737
19878916
22363543
29550188
30359287
32728228
32218477
29057663
34502064
34001227",,<Element 'PubmedArticle' at 0x0000011446333680>,,,,,,
0,Next-Generation Digital Polymerase Chain Reaction: High-Dynamic-Range Single-Molecule DNA Counting via Ultrapartitioning.,"Eleen Y Shum, Janice H Lai, Sixing Li, Haeun G Lee, Jesse Soliman, Vedant K Raol, Cavina K Lee, Stephen P A Fodor, H Christina Fan","10.1021/acs.analchem.2c03649
10.1126/SCIENCE.2448875
10.1016/0092-8674(90)90598-9
10.1073/PNAS.87.16.6296
10.1128/JVI.64.2.864-872.1990
10.1073/PNAS.96.16.9236
10.1073/PNAS.0608512103
10.1021/ac0709394
10.1126/science.1131370
10.1373/CLINCHEM.2013.211045
10.1177/2472630317705680
10.1093/CLINCHEM/HVAA125
10.1016/J.BDQ.2016.05.002
10.1007/S40291-017-0312-X
10.1373/CLINCHEM.2014.221366
10.1186/1471-2105-15-283
10.1016/J.BDQ.2016.10.001
10.1038/NMETH.1640
10.1039/C1LC20561G
10.1021/ac202028g
10.1007/978-1-4939-7778-9_3
10.1002/UOG.12513
10.1371/JOURNAL.PONE.0155009
10.1159/000337544
10.1371/JOURNAL.PCBI.1004873
10.1073/pnas.2002448117
10.1038/s41598-019-55872-7
10.1186/S12879-016-1696-7
10.1371/JOURNAL.PONE.0002876
10.1097/aog.0b013e31824fb482
10.1073/PNAS.0808319105
10.1136/bmj.c7401
10.1016/j.ajog.2010.12.060
10.1126/scitranslmed.3001720
10.1097/gim.0b013e3182368a0e
10.1002/PD.5528
10.1002/PD.4103
10.1021/acs.analchem.1c03527
10.1101/2020.12.19.20248553
10.1039/C8AN02018C
10.1186/S12967-022-03455-Y
10.1016/J.YMETH.2010.01.003",2022-12-13,Analytical chemistry,"Digital PCR (dPCR) was first conceived for single-molecule quantitation. However, current dPCR systems often require DNA templates to share partitions due to limited partitioning capacities. Here, we introduce UltraPCR, a next-generation dPCR system where DNA counting is performed in a single-molecule regimen through a 6-log dynamic range using a swift and parallelized workflow. Each UltraPCR reaction is divided into >30 million partitions without microfluidics to achieve single template occupancy. Combined with a unique emulsion chemistry, partitions are optically clear, enabling the use of a three-dimensional imaging technique to rapidly detect DNA-positive partitions. Single-molecule occupancy also allows for more straightforward multiplex assay development due to the absence of partition-specific competition. As a proof of concept, we developed a 222-plex UltraPCR assay and demonstrated its potential use as a rapid, low-cost screening assay for noninvasive prenatal testing for as low as 4% trisomy fraction samples with high precision, accuracy, and reproducibility.",,,[],,"36508568
2448875
2406022
1974719
2296085
10430926
1389177
17098862
17715994
17138901
24003063
28448765
32746458
27990345
29209991
25338683
25147026
27990347
21725299
21959960
22035192
29717436
23765643
27167625
22538702
27100738
32999068
31862911
27487852
18682853
22362253
18838674
21224326
21310373
21148127
22005709
31429096
23613152
34905685
30663740
35706031
20079846",,<Element 'PubmedArticle' at 0x000001144634AE00>,,,,,,
0,Deletion of POMT2 in Zebrafish Causes Degeneration of Photoreceptors.,"Yu Liu, Jaclyn M Rittershaus, Miao Yu, Rachel Sager, Huaiyu Hu","10.3390/ijms232314809
10.1038/ng.241
10.1016/j.ajhg.2008.10.014
10.1167/iovs.09-4732
10.1016/j.ophtha.2010.01.040
10.1371/journal.pone.0031036
10.1002/humu.21249
10.1002/humu.21334
10.1167/iovs.11-9048
10.1007/s00417-014-2868-z
10.1007/s10633-014-9435-0
10.1016/j.devcel.2006.08.012
10.1038/nature05128
10.1242/bio.021584
10.1038/srep46098
10.1371/journal.pone.0200789
10.1038/s41598-020-64752-4
10.1126/science.1214115
10.1093/glycob/cwv021
10.1083/jcb.122.4.809
10.1016/0014-5793(94)00917-1
10.1016/S0021-9258(18)82427-9
10.1016/0092-8674(94)90052-3
10.3109/15419069809005605
10.1083/jcb.200105003
10.1016/j.neuron.2012.10.009
10.1038/nn.2160
10.1074/jbc.M110.116343
10.1016/j.neulet.2010.11.056
10.1093/jb/mvu066
10.1093/hmg/ddw022
10.1167/iovs.16-19463
10.1016/j.bbagen.2017.06.024
10.1136/jmg.2005.031963
10.1167/iovs.12-9511
10.1093/hmg/ddg307
10.1016/j.bbrc.2005.02.082",2022-12-12,International journal of molecular sciences,"Mutations in the extracellular matrix protein eyes shut homolog (EYS) are a common cause of retinitis pigmentosa, a blinding disease characterized by photoreceptor degeneration. EYS binds to matriglycan, a carbohydrate modification on O-mannosyl glycan substitutions of the cell-surface glycoprotein α-dystroglycan. Patients with mutations in enzymes required for the biosynthesis of matriglycan exhibit syndromic retinal atrophy, along with brain malformations and congenital muscular dystrophy. Protein O-mannosyltransferase 2 (POMT2) is an enzyme required for the synthesis of O-mannosyl glycans. To evaluate the roles of O-mannosyl glycans in photoreceptor health, we generated ",,,"['congenital muscular dystrophy', 'inherited retinal degeneration', 'photoreceptor degeneration', 'retina', 'retinitis pigmentosa', 'zebrafish']",,"36499139
18836446
18976725
20375346
20537394
22363543
20333770
21069908
22302105
25491159
24652164
17011488
17036004
27737822
28378834
30052645
32385361
22223806
25882296
8349731
7925941
8325873
8205617
9791728
11470830
23217742
18641643
20682766
21129441
25381372
26908613
27391550
28711406
15894594
22743318
12966029
15752776
31092689
21179430
22128245",,<Element 'PubmedArticle' at 0x000001144733AC20>,,,,,,
0,The medaka mutant deficient in eyes shut homolog exhibits opsin transport defects and enhanced autophagy in retinal photoreceptors.,"Keita Sato, Yang Liu, Takahiro Yamashita, Hideyo Ohuchi","10.1007/s00441-022-03702-0
10.1038/ng.241
10.1155/2015/819760
10.1002/humu.21249
10.1167/iovs.09-4732
10.3389/fcell.2021.636737
10.1083/jcb.19.1.79
10.1074/jbc.M112.439935
10.1016/j.ajhg.2008.10.014
10.1073/pnas.1903125117
10.1038/srep19432
10.1016/j.cub.2012.08.016
10.1523/JNEUROSCI.5317-06.2007
10.1186/s13023-021-01843-z
10.1016/j.preteyeres.2016.05.003
10.1007/s00441-019-03113-8
10.1371/journal.pgen.1004795
10.1167/iovs.11-8635
10.1002/ar.22976
10.1371/journal.pone.0031036
10.1016/j.devcel.2015.01.027
10.1186/1471-2350-11-121
10.1016/j.devcel.2006.08.012
10.1167/iovs.11-9048
10.1242/jcs.01131
10.1007/s10633-014-9435-0
10.1086/302493
10.1016/S0021-9258(19)38362-0
10.1016/0968-4328(93)90054-5
10.1098/rstb.2009.0077
10.1371/journal.pone.0139521
10.1038/srep46098
10.1074/jbc.RA119.008618
10.1371/journal.pone.0200789
10.1093/bioinformatics/btu743
10.1042/BST20210813
10.1242/jcs.196352
10.3390/genes11101120
10.1016/j.ydbio.2012.08.024
10.1038/s42003-021-01662-9
10.1038/s41598-020-77558-1
10.3390/jimaging4020044
10.1167/iovs.18-25531
10.1086/301866
10.1083/jcb.201202012
10.1002/cne.25106
10.1096/fj.201600698R
10.1038/ng.2604
10.1083/jcb.201612030
10.1038/nmeth.2089
10.1038/ncb3599
10.1038/nature12606
10.1016/j.preteyeres.2018.03.005
10.1038/s42003-021-02998-y
10.1073/pnas.94.23.12425
10.1080/15548627.2019.1596487
10.1038/s41598-021-87224-9
10.1038/nrg704
10.1038/nrg2717
10.1038/s41467-021-23599-7
10.1242/bio.021584
10.1038/nature05128
10.1371/journal.pone.0149663
10.1016/j.exer.2008.01.005
10.1038/nprot.2014.094",2022-11-24,Cell and tissue research,"Eyes shut homolog (EYS) encodes a proteoglycan and the human mutation causes retinitis pigmentosa type 25 (RP25) with progressive retinal degeneration. RP25 most frequently affects autosomal recessive RP patients with many ethnic backgrounds. Although studies using RP models have facilitated the development of therapeutic medications, Eys has been lost in rodent model animals. Here we examined the roles for Eys in the maintenance of photoreceptor structure and function by generating eys-null medaka fish using the CRISPR-Cas9 system. Medaka EYS protein was present near the connecting cilium of wild-type photoreceptors, while it was absent from the eys",,"© 2022. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","['Autophagy', 'Cone photoreceptor', 'Eyes shut homolog', 'Eys', 'RP25', 'Retinitis pigmentosa']",,36418571,,<Element 'PubmedArticle' at 0x0000011447358EF0>,,,,,,
0,Signal Peptide Variants in Inherited Retinal Diseases: A Multi-Institutional Case Series.,"Hiram J Jimenez, Rebecca A Procopio, Tobin B T Thuma, Molly H Marra, Natalio Izquierdo, Michael A Klufas, Aaron Nagiel, Mark E Pennesi, Jose S Pulido","10.3390/ijms232113361
10.1007/BF01868635
10.1002/prot.21548
10.1038/eye.1998.147
10.1016/j.preteyeres.2010.03.004
10.1002/humu.21350
10.1038/s41598-018-26524-z
10.1038/ejhg.2013.72
10.3390/genes8070178
10.1016/j.ophtha.2017.04.008
10.1016/S0021-9258(18)42580-X
10.1074/jbc.RA117.000922
10.1016/j.mam.2014.12.001
10.1093/bioinformatics/bty453
10.1101/gad.305250.117
10.3390/genes9070360
10.1016/S0049-3848(14)50062-X
10.1016/j.ejcb.2018.06.003
10.1002/humu.20916
10.1038/71667
10.1016/0014-5793(96)00677-1
10.1093/hmg/ddv313
10.1016/0022-2836(82)90515-0
10.3389/fgene.2018.00431
10.1074/jbc.M300087200
10.1126/science.1209038
10.1152/physrev.00027.2011
10.1016/j.exer.2014.04.015
10.1073/pnas.0708725104
10.1016/j.preteyeres.2008.03.001
10.1038/4801
10.1186/s13023-021-02145-0
10.1038/s41587-021-01156-3
10.1038/s41467-020-19669-x",2022-11-12,International journal of molecular sciences,"Signal peptide (SP) mutations are an infrequent cause of inherited retinal diseases (IRDs). We report the genes currently associated with an IRD that possess an SP sequence and assess the prevalence of these variants in a multi-institutional retrospective review of clinical genetic testing records. The online databases, RetNet and UniProt, were used to determine which IRD genes possess a SP. A multicenter retrospective review was performed to retrieve cases of patients with a confirmed diagnosis of an IRD and a concurrent SP variant. In silico evaluations were performed with MutPred, MutationTaster, and the signal peptide prediction tool, SignalP 6.0. SignalP 6.0 was further used to determine the locations of the three SP regions in each gene: the N-terminal region, hydrophobic core, and C-terminal region. Fifty-six (56) genes currently associated with an IRD possess a SP sequence. Based on the records review, a total of 505 variants were present in the 56 SP-possessing genes. Six (1.18%) of these variants were within the SP sequence and likely associated with the patients' disease based on in silico predictions and clinical correlation. These six SP variants were in the ",,,"['in silico prediction', 'inherited retinal dystrophies', 'signal peptides']",,"36362148
2197415
17680692
9775219
20362068
21151595
20809529
29844330
23591405
28704921
28559085
1560010
29229776
25542748
29868922
28982758
30029497
29958716
19177549
10615125
8706880
26246498
7108955
30337940
12566452
22116877
22535891
24792589
24664747
18056632
18490186
9883849
34906171
34980915
33219223",,<Element 'PubmedArticle' at 0x000001144737D040>,,,,,,
0,Effects of adding mixed chicken and quail egg yolks to the cryodiluent on the quality of ram semen before and after cryopreservation.,"Ayman A Swelum, Hani A Ba-Awadh, Isiaka O Olarinre, Islam M Saadeldin, Abdullah N Alowaimer","10.3389/fvets.2022.1013533
10.1016/j.theriogenology.2012.06.007
10.1016/j.anireprosci.2007.11.024
10.1016/j.theriogenology.2009.12.007
10.1530/jrf.0.0700145
10.1016/0378-4320(94)01327-I
10.1016/j.theriogenology.2014.12.012
10.1016/0011-2240(89)90058-8
10.1093/humrep/17.3.704
10.1016/S0378-4320(00)00099-3
10.1155/2022/7378379
10.1016/S0093-691X(03)00259-0
10.1016/S0093-691X(02)00682-9
10.17221/196/2021-CJAS
10.3390/ani9110999
10.1016/j.anireprosci.2018.06.016
10.1111/are.14516
10.1111/j.1439-0531.2006.00623.x
10.1016/S0021-9258(18)73593-X
10.1530/jrf.0.0620483
10.3168/jds.S0022-0302(70)86297-X
10.3382/ps.0571260
10.1002/(SICI)1097-0010(199904)79:5&lt;733::AID-JSFA244&gt;3.0.CO;2-M
10.1016/j.anireprosci.2007.06.019
10.1016/j.smallrumres.2013.01.017
10.1016/j.smallrumres.2009.11.014
10.21608/javs.2021.88532.1096
10.1006/cryo.1997.2009
10.1111/j.1751-0813.2007.00151.x
10.1016/j.anireprosci.2006.03.023
10.1016/j.jevs.2009.04.044
10.1016/j.jevs.2011.02.003
10.1016/j.anireprosci.2007.07.003
10.1016/j.anireprosci.2012.02.011
10.1016/j.theriogenology.2016.09.002
10.1016/j.cryobiol.2008.05.001
10.17221/52/2018-VETMED
10.1016/j.aninu.2017.03.005
10.1021/es401406c
10.21451/1984-3143-AR733
10.5176/2345-7880_1.1.3
10.1371/journal.pone.0223977
10.1002/mrd.20565
10.1016/j.theriogenology.2018.05.013
10.1016/0011-2240(77)90008-6
10.1016/0305-0491(73)90094-1
10.1016/0093-691X(92)90231-F
10.1071/BI9671205
10.1042/bj1020456
10.1111/and.12506
10.1016/0011-2240(89)90034-5
10.1016/0020-711X(88)90076-6
10.1016/j.theriogenology.2022.03.035
10.1016/j.cryobiol.2009.07.009
10.1002/j.1939-4640.2000.tb02138.x
10.1016/j.anireprosci.2014.12.001
10.1111/j.1439-0272.2011.01225.x
10.1095/biolreprod.107.060558
10.1530/jrf.0.1090001
10.1093/molehr/6.3.226
10.1071/RD12204
10.3382/ps/pew041
10.3390/ani10040591
10.1016/j.theriogenology.2017.07.019
10.1007/s10815-012-9834-7
10.1016/j.smallrumres.2018.05.002
10.1002/mrd.1120210107
10.1530/rep.0.1210395
10.1016/S0015-0282(16)49167-3
10.1530/jrf.0.1120095
10.1210/jc.2006-1309R
10.1016/0891-5849(96)00119-0
10.1002/mrd.1052
10.2164/jandrol.05016
10.1016/j.freeradbiomed.2003.08.010
10.1071/RD9950659
10.1002/mrd.20322",2022-11-01,Frontiers in veterinary science,"The effects of adding mixed chicken and Japanese quail egg yolks (EYs) to the cryodiluent on the quality of ram semen before freezing and post-thawing were evaluated. Additionally, the composition of chicken and quail egg EYs and their mixture were analyzed for results explanation. The semen was collected from rams (",,"Copyright © 2022 Swelum, Ba-Awadh, Olarinre, Saadeldin and Alowaimer.","['chicken', 'egg yolk', 'fatty acids', 'preservation', 'quail', 'ram', 'semen']",,"36311647
23062722
18178344
20172600
6694134
25595356
2766782
11870124
10844218
35535035
14757475
12035979
31752406
31262406
16420332
7195939
5419523
724597
17662543
9200823
17547636
17709214
22464336
27720400
18571154
29767138
24180645
31613900
16868925
29787941
560945
4754770
16727131
6081218
6029604
26707342
2924594
3169369
35468546
19646432
10975417
25544152
21951061
17442851
9068407
10694269
23036717
26944972
32244409
28802112
22869241
2465984
11226065
2868925
9538334
16895947
8886800
11468782
12937801
16291955
14642386
8711202
15948163",,<Element 'PubmedArticle' at 0x000001144739F090>,,,,,,
