,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.37,22.67,21.81,44.7,45.5,21.87,21.6,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,33,49,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,13880,12880,13680,14960,15680,14760,14480,14280,21600,17240,13640,13800,27360,13720,30960,10120,11880,14400,31680,14680,14160,15200,1160,185560,,,,,,,,,,,,,,,,,,
B,13080,15560,13960,15360,14480,19200,16840,14600,35600,13480,13280,31440,12200,13360,12600,12960,13560,12960,15880,10880,20160,12360,1360,188560,,,,,,,,,,,,,,,,,,
C,34320,16360,14600,14160,46280,28600,14120,15160,16080,14160,12680,14040,15320,23800,14720,52280,30040,82000,3480,29120,36760,12280,1240,187080,,,,,,,,,,,,,,,,,,
D,14200,14520,14880,15720,33360,15680,16480,15320,15000,31440,12560,13440,14280,13760,20400,10640,13000,14040,12560,31600,18960,13400,1440,209680,,,,,,,,,,,,,,,,,,
E,21520,38600,44440,15920,34320,15360,14200,16120,15400,11640,14520,13720,14640,14200,14480,16000,13320,13520,12800,12880,15160,13040,1320,197960,,,,,,,,,,,,,,,,,,
F,22280,33040,13240,15560,14120,16680,16160,16040,22520,15240,16040,15040,65720,54360,26360,15160,15960,14760,13160,28320,47160,13080,1240,183840,,,,,,,,,,,,,,,,,,
G,18600,15360,14680,11520,31280,17640,14840,15760,16280,15320,14200,14560,13440,14480,14640,15720,13720,13440,16320,14560,16840,42640,1400,224800,,,,,,,,,,,,,,,,,,
H,13880,13280,14840,14200,14840,15080,16040,15600,14520,13160,13960,13720,14920,15680,44280,14000,11640,15040,16880,14840,14800,14120,1400,200480,,,,,,,,,,,,,,,,,,
I,23000,14600,31960,15120,14960,35840,16320,16240,15840,24600,17200,40440,42600,15560,24760,6920,15480,18720,15240,14120,13440,15080,1160,180800,,,,,,,,,,,,,,,,,,
J,13160,14440,16000,20080,16160,15960,13840,14720,14640,38200,10600,14840,25440,18560,14680,12040,14760,29400,15880,18160,13280,13240,1120,180040,,,,,,,,,,,,,,,,,,
K,12720,14000,12560,8280,13920,16520,13160,16320,15440,15160,14240,46280,19360,12640,5400,15760,30240,20560,39400,15800,14280,30160,1400,183520,,,,,,,,,,,,,,,,,,
L,20960,14960,23480,12000,17160,13400,32240,53440,40720,14920,35920,17440,14600,10320,14680,13400,27680,29480,14760,18920,33680,16320,1280,184560,,,,,,,,,,,,,,,,,,
M,12320,14320,13280,31120,13800,14520,15320,39400,15720,24320,16440,13840,12600,12520,16040,14240,15120,15880,16360,25320,15600,13760,1480,222200,,,,,,,,,,,,,,,,,,
N,38240,38640,20400,13280,10920,13960,45760,13520,15680,12600,10840,13840,12920,26200,15440,15960,22640,13560,13720,15400,15800,13440,1200,176760,,,,,,,,,,,,,,,,,,
O,12320,15240,30840,15160,11240,13480,14000,16400,13960,14840,57040,32680,3880,15280,14040,14400,13520,15600,16560,18200,15680,13120,1240,173480,,,,,,,,,,,,,,,,,,
P,11640,19280,12560,11040,10800,12200,10920,11280,11600,13960,17080,21720,17640,12440,14920,29200,15760,22760,14640,24280,22240,11960,1240,170800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/30/2023,2,32,16,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/30/2023,2,34,03,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
