,,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Plate,information,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
A,13200,16040,13080,15080,14920,14840,16600.0,14200.0,37680.0,16600.0,21520.0,19200.0,19720.0,19120.0,16880.0,19880.0,24680.0,25960.0,28680.0,26960.0,32320.0,35520.0,1800.0,188960.0,,
B,16880,13920,12720,9280,16480,13760,13400.0,13520.0,12960.0,14920.0,12920.0,16440.0,16000.0,17280.0,13440.0,18960.0,18040.0,18440.0,20920.0,19000.0,17560.0,19760.0,1600.0,178600.0,,
C,32400,14080,9520,12840,11160,11640,14360.0,14520.0,13640.0,13080.0,13080.0,12960.0,14840.0,16120.0,14160.0,13560.0,14400.0,44440.0,20600.0,15760.0,16440.0,15600.0,1480.0,157640.0,,
D,12640,12640,12880,11560,12240,12480,5320.0,11240.0,13280.0,12200.0,12600.0,10240.0,20920.0,10880.0,9520.0,15400.0,14480.0,14040.0,14080.0,14280.0,15040.0,14840.0,1600.0,167080.0,,
E,13480,11240,11200,11040,11200,8480,12880.0,10360.0,12640.0,8840.0,17040.0,11120.0,11520.0,11960.0,13160.0,13080.0,15120.0,4760.0,9480.0,6800.0,12600.0,11240.0,1640.0,187400.0,,
F,29640,12440,12200,11960,11360,10080,11880.0,11440.0,7720.0,12640.0,16280.0,11640.0,12000.0,12960.0,11000.0,8160.0,13600.0,13000.0,7120.0,13200.0,11200.0,10880.0,1920.0,188560.0,,
G,14160,11520,11960,11640,7240,11640,8120.0,13240.0,6680.0,11440.0,12440.0,12040.0,11800.0,6520.0,12240.0,13960.0,7520.0,14480.0,17000.0,12800.0,11600.0,9000.0,1480.0,166080.0,,
