Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,5035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:05:27 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Jez US LUM 384 (cps),0,1420,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
B,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
C,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
D,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
E,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
F,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
G,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
H,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
I,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
J,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
K,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
L,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
M,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
N,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
O,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
P,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
1,1,5035,14.01,17.9,17.92,55.4,55.4,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:05:27 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Jez US LUM 384 (cps),0,1420,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,684240,670040,738800,658440,792440,797720,723600,842120,638240,688040,787040,611080,743280,794200,749600,721840,744760,825400,688280,843040,679120,733240,4384960,3944520
B,559720,808160,730400,616760,642400,680240,704000,653400,550200,662360,572840,663320,615640,649600,534640,632000,759200,726120,753840,793800,628200,678000,5050680,4071800
C,713440,816640,738440,773000,629920,818080,790520,52920,665080,715800,584200,681200,706680,649880,749680,765280,672560,683120,547240,682400,610200,732640,5200240,4265840
D,751600,772120,904680,918600,811960,870880,716080,708280,667320,753560,468600,698000,705120,728520,769360,684400,136880,730600,773360,661440,328480,716880,4647600,4147600
E,770920,839160,748760,1038960,638320,741400,664040,688440,747680,801680,703640,787000,588920,699040,817680,706600,646160,725480,741440,783640,647760,808240,5713840,4244520
F,761640,883400,881640,975600,523200,678440,416120,873520,674320,761880,763120,778320,666880,611440,669360,678680,755200,817680,769000,727280,620480,683160,4745800,4245600
G,628560,721520,786800,781560,696480,765640,762400,791960,685320,700680,537400,682960,529280,657360,615560,580240,598640,597000,807560,761080,660440,626880,5348920,4386840
H,650680,681720,812320,833280,711440,682200,684680,755680,703960,640280,693480,91480,575440,682160,697920,743200,741000,788520,734600,661960,203080,705480,5086960,4313280
I,656400,770560,825560,1060200,722080,731120,671400,810280,675560,683480,856920,793840,674760,637920,600160,745160,777160,781480,709360,749960,414680,814160,4824920,4258960
J,788000,745800,685400,1081760,610320,764880,568800,864680,711720,745720,704440,709400,669520,544520,707000,782760,624240,737880,741000,692440,564800,793920,5457880,4322480
K,718720,712880,785920,1083160,838880,777760,598240,748640,687440,856840,883760,755320,675360,588000,877160,750520,804680,779560,776480,808400,658800,773320,5116520,4733480
L,687600,676960,641240,801520,541880,787320,983680,915320,723880,764280,799960,60480,616240,748120,387400,666720,634440,734480,709240,754040,697320,735680,5047880,4107600
