,index,z-score
0,A1,-0.15509402436594028
1,A2,-0.06394161565207684
2,A3,-0.18387899553873932
3,A4,-0.06873911084754329
4,A5,-0.19347398592967238
5,A6,-0.07833410123847637
6,A7,-0.13110654838860786
7,A8,-0.09272658682487589
8,A9,-0.11191656760674187
9,A10,-0.23185394749340435
10,A11,-0.08792909162940928
11,A12,-0.14549903397500738
12,A13,-0.2030689763206053
13,A14,-0.06873911084754329
14,A15,-0.17908150034327286
15,A16,-0.1359040435840743
16,A17,-0.21266396671153837
17,A18,-0.1694865099523398
18,A19,-0.20786647151607193
19,A20,-0.17908150034327286
20,A21,-0.2366514426888709
21,A22,-0.14070153877954092
22,A23,-0.9898581883771113
23,A24,5.266075546511204
24,B1,-0.13110654838860786
25,B2,-0.14070153877954092
26,B3,-0.14070153877954092
27,B4,-0.18867649073420578
28,B5,-0.08313159643394281
29,B6,-0.1263090531931414
30,B7,-0.044751634870210874
31,B8,-0.19347398592967238
32,B9,-0.1263090531931414
33,B10,-0.14070153877954092
34,B11,-0.17908150034327286
35,B12,-0.2030689763206053
36,B13,-0.1023215772158088
37,B14,-0.2030689763206053
38,B15,-0.11671406280220832
39,B16,-0.2030689763206053
40,B17,-0.1502965291704738
41,B18,-0.2030689763206053
42,B19,-0.18387899553873932
43,B20,-0.17428400514780643
44,B21,-0.1598915195614069
45,B22,-0.2366514426888709
46,B23,-1.0042506739635109
47,B24,4.210626603508575
48,C1,-0.16468901475687334
49,C2,-0.07833410123847637
50,C3,-0.15509402436594028
51,C4,-0.13110654838860786
52,C5,-0.09752408202034235
53,C6,-0.1023215772158088
54,C7,-0.14549903397500738
55,C8,-0.09752408202034235
56,C9,-0.11191656760674187
57,C10,-0.15509402436594028
58,C11,-0.1694865099523398
59,C12,-0.2798288994480694
60,C13,-0.1359040435840743
61,C14,-0.12151155799767477
62,C15,-0.1263090531931414
63,C16,-0.10711907241127543
64,C17,-0.17908150034327286
65,C18,-0.2030689763206053
66,C19,-0.15509402436594028
67,C20,-0.14070153877954092
68,C21,-0.21746146190700483
69,C22,-0.15509402436594028
70,C23,-1.0042506739635109
71,C24,5.1989106137746735
72,D1,-0.09272658682487589
73,D2,-0.13110654838860786
74,D3,-0.1263090531931414
75,D4,-0.1359040435840743
76,D5,-0.09752408202034235
77,D6,-0.16468901475687334
78,D7,-0.09272658682487589
79,D8,-0.24624643307980387
80,D9,-0.11191656760674187
81,D10,-0.15509402436594028
82,D11,-0.1598915195614069
83,D12,-0.1598915195614069
84,D13,-0.1023215772158088
85,D14,-0.1263090531931414
86,D15,-0.09752408202034235
87,D16,-0.18387899553873932
88,D17,-0.1263090531931414
89,D18,-0.18387899553873932
90,D19,-0.11191656760674187
91,D20,-0.21746146190700483
92,D21,-0.10711907241127543
93,D22,-0.21746146190700483
94,D23,-0.9946556835725779
95,D24,4.54645126719123
96,E1,-0.11191656760674187
97,E2,-0.13110654838860786
98,E3,-0.1359040435840743
99,E4,-0.13110654838860786
100,E5,-0.1502965291704738
101,E6,-0.11671406280220832
102,E7,-0.18387899553873932
103,E8,-0.19347398592967238
104,E9,-0.22225895710247126
105,E10,-0.14549903397500738
106,E11,-0.25584142347073685
107,E12,-0.16468901475687334
108,E13,-0.08313159643394281
109,E14,-0.1023215772158088
110,E15,-0.2270564522979379
111,E16,-0.1598915195614069
112,E17,-0.1502965291704738
113,E18,-0.1502965291704738
114,E19,-0.19347398592967238
115,E20,-0.17428400514780643
116,E21,-0.22225895710247126
117,E22,-0.14070153877954092
118,E23,-0.9994531787680444
119,E24,5.357227955225069
120,F1,-0.08792909162940928
121,F2,-0.2366514426888709
122,F3,-0.1359040435840743
123,F4,-0.19347398592967238
124,F5,-0.1263090531931414
125,F6,-0.15509402436594028
126,F7,-0.17908150034327286
127,F8,-0.18867649073420578
128,F9,-0.16468901475687334
129,F10,-0.11671406280220832
130,F11,-0.11671406280220832
131,F12,-0.16468901475687334
132,F13,-0.08313159643394281
133,F14,-0.12151155799767477
134,F15,-0.14070153877954092
135,F16,-0.1502965291704738
136,F17,-0.1359040435840743
137,F18,-0.1694865099523398
138,F19,-0.1263090531931414
139,F20,-0.17428400514780643
140,F21,-0.10711907241127543
141,F22,-0.23185394749340435
142,F23,-1.0186431595499104
143,F24,4.239411574681374
144,G1,-0.15509402436594028
145,G2,-0.10711907241127543
146,G3,-0.17908150034327286
147,G4,-0.1694865099523398
148,G5,-0.17428400514780643
149,G6,-0.01596666369741182
150,G7,-0.1598915195614069
151,G8,-0.19347398592967238
152,G9,-0.14549903397500738
153,G10,-0.12151155799767477
154,G11,-0.16468901475687334
155,G12,-0.14070153877954092
156,G13,-0.18387899553873932
157,G14,-0.08313159643394281
158,G15,-0.2270564522979379
159,G16,-0.09272658682487589
160,G17,-0.1359040435840743
161,G18,-0.17908150034327286
162,G19,-0.21266396671153837
