,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,21.39,21.41,43.7,43.4,21.77,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,23,46,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,8520,9200,8560,8000,7760,8560,7880,8200,7280,7520,7960,8160,7520,7960,8160,8240,8280,8000,7760,8080,7880,8200,6680,54920,,,,,,,,,,,
B,8000,8880,8320,9200,7600,7680,7480,7680,8360,7400,7760,7720,7880,7600,8480,7920,6480,7320,8800,7560,8080,7600,1120,51280,,,,,,,,,,,
C,8360,8640,9040,7760,8280,8320,7760,7880,8160,8280,8560,7960,8160,7400,7800,6920,7280,7640,8040,8000,8040,17480,1280,55160,,,,,,,,,,,
D,8120,8360,8440,8240,7160,8720,9040,7960,8120,7840,8120,8080,8160,7480,8840,8920,8560,7480,7920,7680,7480,14400,1040,51320,,,,,,,,,,,
E,8840,9040,8440,8680,9080,8760,8000,8920,9000,8480,8960,8880,8760,9560,8800,9200,8880,9360,8360,9040,8520,20200,3000,50960,,,,,,,,,,,
F,9560,9200,10280,8840,10000,7720,9600,8960,9560,9320,9800,9640,9560,9480,10000,10240,10040,10160,9760,9400,8960,8640,9360,48840,,,,,,,,,,,
G,9440,9640,9880,10600,10480,10040,10360,10800,10080,9720,9840,10360,9800,10600,9760,10680,9640,9960,9520,9960,9400,9120,15720,54960,,,,,,,,,,,
H,12160,12080,13200,12120,13200,11840,12000,11640,11160,11960,12120,12200,11200,10800,11200,10680,11320,9920,11080,9720,10000,13560,4760,56240,,,,,,,,,,,
I,12720,13120,13120,13760,12720,13000,13280,13040,13080,13000,13240,13320,13000,13320,12920,13880,13120,13280,13560,13280,12840,22840,10280,58920,,,,,,,,,,,
J,14160,13200,14200,13640,14200,14120,13680,13400,13280,12920,13600,12920,13600,13680,13800,13240,13720,11960,14280,12720,13120,16120,7400,55120,,,,,,,,,,,
K,13480,14080,14080,14720,14000,14080,15560,13760,14080,14040,14280,14920,14720,14920,14880,14560,14520,13960,13880,14600,14120,14560,28560,58960,,,,,,,,,,,
L,14680,15080,15040,14720,15320,14000,14960,14760,14640,14640,14880,14840,15560,13680,14840,14120,14280,14000,14400,13480,14560,13840,7920,56760,,,,,,,,,,,
M,13640,15000,14880,15000,14840,15760,14400,15280,15040,14280,14520,14680,14440,15000,12800,15520,13760,15040,14160,15160,14680,13360,30200,58560,,,,,,,,,,,
N,14840,15320,14880,14720,15240,14840,15240,14360,15760,14880,14600,14480,14960,14280,15120,14160,15120,14400,15120,14920,14160,20920,8600,56640,,,,,,,,,,,
O,14320,14920,15200,14400,14600,15280,14640,16480,15560,14640,13880,14760,13960,14960,14640,15160,14600,15120,13920,14400,14920,21680,17000,61160,,,,,,,,,,,
