,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.51,21.39,21.41,43.7,43.4,21.77,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,23,46,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,-0.5337920965610841,-0.46188250874584696,-0.5295621208072466,-0.5887817813609713,-0.6141616358839961,-0.5295621208072466,-0.6014717086224837,-0.5676319025917839,-0.6649213449300458,-0.6395414904070209,-0.5930117571148087,-0.5718618783456213,-0.6395414904070209,-0.5930117571148087,-0.5718618783456213,-0.5634019268379464,-0.5591719510841089,-0.5887817813609713,-0.6141616358839961,-0.5803218298532963,-0.6014717086224837,-0.5676319025917839,-0.728370981237608,4.372979777890388,,,,,,,,,,,
8,B,-0.5887817813609713,-0.49572231477654677,-0.5549419753302715,-0.46188250874584696,-0.631081538899346,-0.6226215873916711,-0.6437714661608585,-0.6226215873916711,-0.550711999576434,-0.6522314176685333,-0.6141616358839961,-0.6183916116378336,-0.6014717086224837,-0.631081538899346,-0.5380220723149216,-0.5972417328686462,-0.7495208600067953,-0.6606913691762083,-0.5041822662842218,-0.6353115146531835,-0.5803218298532963,-0.631081538899346,-1.316337611021017,3.988051984291177,,,,,,,,,,,
9,C,-0.550711999576434,-0.5211021692995715,-0.478802411761197,-0.6141616358839961,-0.5591719510841089,-0.5549419753302715,-0.6141616358839961,-0.6014717086224837,-0.5718618783456213,-0.5591719510841089,-0.5295621208072466,-0.5930117571148087,-0.5718618783456213,-0.6522314176685333,-0.6099316601301586,-0.7029911267145831,-0.6649213449300458,-0.6268515631455085,-0.5845518056071338,-0.5887817813609713,-0.5845518056071338,0.4137224722985104,-1.299417708005667,4.398359632413412,,,,,,,,,,,
10,D,-0.5760918540994588,-0.550711999576434,-0.542252048068759,-0.5634019268379464,-0.6776112721915583,-0.5126422177918968,-0.478802411761197,-0.5930117571148087,-0.5760918540994588,-0.6057016843763211,-0.5760918540994588,-0.5803218298532963,-0.5718618783456213,-0.6437714661608585,-0.49995229053038437,-0.4914923390227094,-0.5295621208072466,-0.6437714661608585,-0.5972417328686462,-0.6226215873916711,-0.6437714661608585,0.08801433925302467,-1.3247975625286919,3.9922819600450143,,,,,,,,,,,
11,E,-0.49995229053038437,-0.478802411761197,-0.542252048068759,-0.5168721935457342,-0.4745724360073594,-0.5084122420380592,-0.5887817813609713,-0.4914923390227094,-0.48303238751503436,-0.5380220723149216,-0.4872623632688718,-0.49572231477654677,-0.5084122420380592,-0.4238127269613097,-0.5041822662842218,-0.46188250874584696,-0.49572231477654677,-0.4449626057304972,-0.550711999576434,-0.478802411761197,-0.5337920965610841,0.7013608235594585,-1.1175287505906557,3.9542121782604767,,,,,,,,,,,
12,F,-0.4238127269613097,-0.46188250874584696,-0.34767316339223514,-0.49995229053038437,-0.3772829936690975,-0.6183916116378336,-0.41958275120747235,-0.4872623632688718,-0.4238127269613097,-0.44919258148433455,-0.3984328724382849,-0.41535277545363475,-0.4238127269613097,-0.43227267846898476,-0.3772829936690975,-0.3519031391460727,-0.37305301791526013,-0.36036309065374755,-0.40266284819212234,-0.4407326299766596,-0.4872623632688718,-0.5211021692995715,-0.4449626057304972,3.730023463307091,,,,,,,,,,,
13,G,-0.43650265422282214,-0.41535277545363475,-0.3899729209306099,-0.3138333573615353,-0.3265232846230477,-0.37305301791526013,-0.3392132118845603,-0.29268347859234806,-0.36882304216142253,-0.40689282394595977,-0.39420289668444736,-0.3392132118845603,-0.3984328724382849,-0.3138333573615353,-0.40266284819212234,-0.30537340585386047,-0.41535277545363475,-0.38151296942293494,-0.42804270271514716,-0.38151296942293494,-0.4407326299766596,-0.47034246025352194,0.2276035391296615,4.377209753644225,,,,,,,,,,,
14,H,-0.14886430296187383,-0.15732425446954884,-0.038884933362099576,-0.15309427871571124,-0.038884933362099576,-0.18270410899257364,-0.16578420597722382,-0.20385398776176106,-0.2546136968078107,-0.17001418173106125,-0.15309427871571124,-0.14463432720803643,-0.2503837210539733,-0.29268347859234806,-0.2503837210539733,-0.30537340585386047,-0.23769379379246086,-0.38574294517677254,-0.2630736483154857,-0.40689282394595977,-0.3772829936690975,-0.0008151515775621796,-0.9314098174218067,4.512568977767024,,,,,,,,,,,
15,I,-0.0896446424081492,-0.0473448848697744,-0.0473448848697744,0.020334727191625226,-0.0896446424081492,-0.06003481213128681,-0.03042498185442458,-0.055804836377449395,-0.05157486062361199,-0.06003481213128681,-0.03465495760826199,-0.026195006100586993,-0.06003481213128681,-0.026195006100586993,-0.0684947636389618,0.03302465445313763,-0.0473448848697744,-0.03042498185442458,-0.0008151515775621796,-0.03042498185442458,-0.0769547151466368,0.9805392233127318,-0.34767316339223514,4.795977353274135,,,,,,,,,,,
16,J,0.06263448472999986,-0.038884933362099576,0.06686446048383744,0.007644799930112641,0.06686446048383744,0.05840450897616245,0.011874775683950229,-0.017735054592912174,-0.03042498185442458,-0.0684947636389618,0.003414824176275231,-0.0684947636389618,0.003414824176275231,0.011874775683950229,0.024564702945462636,-0.03465495760826199,0.016104751437787636,-0.17001418173106125,0.07532441199151227,-0.0896446424081492,-0.0473448848697744,0.2699032966680363,-0.6522314176685333,4.394129656659574,,,,,,,,,,,
17,K,-0.009275103085237177,0.05417453322232504,0.05417453322232504,0.12185414528372449,0.04571458171465004,0.05417453322232504,0.2106836361143115,0.020334727191625226,0.05417453322232504,0.04994455746848745,0.07532441199151227,0.14300402405291188,0.12185414528372449,0.14300402405291188,0.13877404829907447,0.10493424226837467,0.10070426651453726,0.04148460596081245,0.03302465445313763,0.10916421802221207,0.05840450897616245,0.10493424226837467,1.5854257561114908,4.800207329027972,,,,,,,,,,,
18,L,0.11762416952988708,0.1599239270682619,0.1556939513144243,0.12185414528372449,0.1853037815912867,0.04571458171465004,0.14723399980674948,0.12608412103756206,0.11339419377604966,0.11339419377604966,0.13877404829907447,0.1345440725452369,0.2106836361143115,0.011874775683950229,0.1345440725452369,0.05840450897616245,0.07532441199151227,0.04571458171465004,0.08801433925302467,-0.009275103085237177,0.10493424226837467,0.028794678699300046,-0.5972417328686462,4.567558662566911,,,,,,,,,,,
19,M,0.007644799930112641,0.15146397556058688,0.13877404829907447,0.15146397556058688,0.1345440725452369,0.23183351488349893,0.08801433925302467,0.18107380583744928,0.1556939513144243,0.07532441199151227,0.10070426651453726,0.11762416952988708,0.09224431500686225,0.15146397556058688,-0.08118469090047421,0.2064536603604741,0.020334727191625226,0.1556939513144243,0.06263448472999986,0.1683838785759367,0.11762416952988708,-0.021965030346749584,1.758854762018827,4.757907571489597,,,,,,,,,,,
20,N,0.1345440725452369,0.1853037815912867,0.13877404829907447,0.12185414528372449,0.1768438300836117,0.1345440725452369,0.1768438300836117,0.08378436349918726,0.23183351488349893,0.13877404829907447,0.10916421802221207,0.09647429076069967,0.14723399980674948,0.07532441199151227,0.1641539028220993,0.06263448472999986,0.1641539028220993,0.08801433925302467,0.1641539028220993,0.14300402405291188,0.06263448472999986,0.7775003871285333,-0.5253321450534092,4.554868735305399,,,,,,,,,,,
21,O,0.07955438774534986,0.14300402405291188,0.1726138543297743,0.08801433925302467,0.10916421802221207,0.18107380583744928,0.11339419377604966,0.30797307845257355,0.2106836361143115,0.11339419377604966,0.03302465445313763,0.12608412103756206,0.04148460596081245,0.14723399980674948,0.11339419377604966,0.1683838785759367,0.10916421802221207,0.1641539028220993,0.037254630206975045,0.08801433925302467,0.14300402405291188,0.8578699264514453,0.36296276325246074,5.032855995489033,,,,,,,,,,,
22,P,0.18107380583744928,0.08801433925302467,0.2783632481757111,0.11339419377604966,0.1599239270682619,0.1726138543297743,0.13877404829907447,0.1599239270682619,0.1853037815912867,0.1345440725452369,0.1345440725452369,0.11339419377604966,0.05840450897616245,0.07532441199151227,0.09224431500686225,0.1345440725452369,0.1641539028220993,0.028794678699300046,0.2106836361143115,0.1599239270682619,0.10070426651453726,0.08378436349918726,-0.5803218298532963,4.935566553150772,,,,,,,,,,,
23,Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Assay,ID,,,,,,2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Assay,Started,,,,,,7/7/2023,4,22,14,PM,,,,,,,,,,,,,,,,,,,,,,,,
26,Assay,Finished,,,,,,7/7/2023,4,24,00,PM,,,,,,,,,,,,,,,,,,,,,,,,
27,Assay,Exported,,,,,,7/7/2023,4,24,01,PM,,,,,,,,,,,,,,,,,,,,,,,,
28,Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Serial#,,,,,,"=""1040181""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Start,assay,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Number,of,plate,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Start,plate,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Is,label,meas.,height,used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Height,of,measurement,,,,6.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Is,gripper,height,used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gripper,height,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mode,of,measurement,,,,By,Rows,,bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Rotated,plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Soft,move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Protocol,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Plate,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Name,of,the,plate,type,,,,384,Greiner,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Number,of,rows,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Number,of,columns,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Number,of,the,wells,in,the,plate,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,
51,Height,of,the,plate,,,,10.12,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Coordinates,of,corners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,384,Greiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,12,mm,x---------------------------------------------------------,x,115.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,12,mm,x---------------------------------------------------------,x,115.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Platemap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Plate,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Group,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
60,A,UNK1,,,UNK17,,UNK33,,UNK49,,UNK65,,UNK81,,UNK97,,UNK113,UNK129,UNK145,UNK161,UNK177,UNK193,UNK209,UNK225,UNK241,UNK257,UNK273,UNK289,UNK305,UNK321,UNK337,UNK353,UNK369,,,
61,B,UNK2,,,UNK18,,UNK34,,UNK50,,UNK66,,UNK82,,UNK98,,UNK114,UNK130,UNK146,UNK162,UNK178,UNK194,UNK210,UNK226,UNK242,UNK258,UNK274,UNK290,UNK306,UNK322,UNK338,UNK354,UNK370,,,
62,C,UNK3,,,UNK19,,UNK35,,UNK51,,UNK67,,UNK83,,UNK99,,UNK115,UNK131,UNK147,UNK163,UNK179,UNK195,UNK211,UNK227,UNK243,UNK259,UNK275,UNK291,UNK307,UNK323,UNK339,UNK355,UNK371,,,
63,D,UNK4,,,UNK20,,UNK36,,UNK52,,UNK68,,UNK84,,UNK100,UNK116,UNK132,UNK148,UNK164,UNK180,UNK196,UNK212,UNK228,UNK244,UNK260,UNK276,UNK292,UNK308,UNK324,UNK340,UNK356,UNK372,,,,
64,E,UNK5,,,UNK21,,UNK37,,UNK53,,UNK69,,UNK85,,UNK101,UNK117,UNK133,UNK149,UNK165,UNK181,UNK197,UNK213,UNK229,UNK245,UNK261,UNK277,UNK293,UNK309,UNK325,UNK341,UNK357,UNK373,,,,
65,F,UNK6,,,UNK22,,UNK38,,UNK54,,UNK70,,UNK86,,UNK102,UNK118,UNK134,UNK150,UNK166,UNK182,UNK198,UNK214,UNK230,UNK246,UNK262,UNK278,UNK294,UNK310,UNK326,UNK342,UNK358,UNK374,,,,
66,G,UNK7,,,UNK23,,UNK39,,UNK55,,UNK71,,UNK87,,UNK103,UNK119,UNK135,UNK151,UNK167,UNK183,UNK199,UNK215,UNK231,UNK247,UNK263,UNK279,UNK295,UNK311,UNK327,UNK343,UNK359,UNK375,,,,
67,H,UNK8,,,UNK24,,UNK40,,UNK56,,UNK72,,UNK88,,UNK104,UNK120,UNK136,UNK152,UNK168,UNK184,UNK200,UNK216,UNK232,UNK248,UNK264,UNK280,UNK296,UNK312,UNK328,UNK344,UNK360,UNK376,,,,
68,I,UNK9,,,UNK25,,UNK41,,UNK57,,UNK73,,UNK89,,UNK105,UNK121,UNK137,UNK153,UNK169,UNK185,UNK201,UNK217,UNK233,UNK249,UNK265,UNK281,UNK297,UNK313,UNK329,UNK345,UNK361,UNK377,,,,
69,J,UNK10,,UNK26,,UNK42,,UNK58,,UNK74,,UNK90,,UNK106,UNK122,UNK138,UNK154,UNK170,UNK186,UNK202,UNK218,UNK234,UNK250,UNK266,UNK282,UNK298,UNK314,UNK330,UNK346,UNK362,UNK378,,,,,
70,K,UNK11,,UNK27,,UNK43,,UNK59,,UNK75,,UNK91,,UNK107,UNK123,UNK139,UNK155,UNK171,UNK187,UNK203,UNK219,UNK235,UNK251,UNK267,UNK283,UNK299,UNK315,UNK331,UNK347,UNK363,UNK379,,,,,
71,L,UNK12,,UNK28,,UNK44,,UNK60,,UNK76,,UNK92,,UNK108,UNK124,UNK140,UNK156,UNK172,UNK188,UNK204,UNK220,UNK236,UNK252,UNK268,UNK284,UNK300,UNK316,UNK332,UNK348,UNK364,UNK380,,,,,
72,M,UNK13,,UNK29,,UNK45,,UNK61,,UNK77,,UNK93,,UNK109,UNK125,UNK141,UNK157,UNK173,UNK189,UNK205,UNK221,UNK237,UNK253,UNK269,UNK285,UNK301,UNK317,UNK333,UNK349,UNK365,UNK381,,,,,
73,N,UNK14,,UNK30,,UNK46,,UNK62,,UNK78,,UNK94,,UNK110,UNK126,UNK142,UNK158,UNK174,UNK190,UNK206,UNK222,UNK238,UNK254,UNK270,UNK286,UNK302,UNK318,UNK334,UNK350,UNK366,UNK382,,,,,
74,O,UNK15,,UNK31,,UNK47,,UNK63,,UNK79,,UNK95,,UNK111,UNK127,UNK143,UNK159,UNK175,UNK191,UNK207,UNK223,UNK239,UNK255,UNK271,UNK287,UNK303,UNK319,UNK335,UNK351,UNK367,UNK383,,,,,
75,P,UNK16,,UNK32,,UNK48,,UNK64,,UNK80,,UNK96,,UNK112,UNK128,UNK144,UNK160,UNK176,UNK192,UNK208,UNK224,UNK240,UNK256,UNK272,UNK288,UNK304,UNK320,UNK336,UNK352,UNK368,UNK384,,,,,
76,UNK,-,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,No,calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Auto,export,parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Export,format,,,,Plate2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Include,basic,assay,information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Place,assay,information,at,,,,End,of,file,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Include,basic,plate,information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Place,plate,information,at,,,,Beginning,of,plate,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Include,protocol,information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Protocol,info,level,,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Include,error,and,warning,information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Include,background,information,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Add,plate,number,to,the,file,name,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
90,Each,plate,to,separate,file,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Field,separator,to,use,,,,System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,File,name,format,,,,C,\Users\HTSF,User\Desktop\AFG,Screen\17.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Plate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Label,,,,Pingping,US,LUM,384,(cps)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Pingping,US,LUM,384,(cps),,,,7000023,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Measurement,height,,,,0,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Measurement,time,,,,0.1,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,CT,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Aperture,,,,384,Plate,US,Luminescence,aperture,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Last,edited,,,,5/17/2023,12,23,27,PM,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Last,edited,by,,,,EnVision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Factory,preset,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Aperture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,384,Plate,US,Luminescence,aperture,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Height,,,,4.2,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Diameter,,,,3.7,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Description,,,,Can,also,be,used,in,96,plate,,,,,,,,,,,,,,,,,,,,,,,,,
112,Last,edited,,,,1/28/2020,2,54,35,PM,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Last,edited,by,,,,Installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Factory,preset,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Serial,number,,,,1040181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Nickname,,,,EnVision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Normalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Assay,notifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,WARNING,,Warning,while,loading,plate.,Stacker,out,of,plates.,Plate,1,Plate,Repeat,1,Well,P01,,,,,,,,,,,,,,,,,,,
121,Exported,with,EnVision,Workstation,version,1.14.3049.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
