,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.57,21.88,22.1,46.9,47,22.26,22.19,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,5,23,59,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
6000,6680,6640,6560,6600,6760,4960,6680,6560,6800,5840,6760,6040,6760,6480,6320,5960,6800,6120,6520,6160,6680,600,74560,,,,,,,,,,,,
6640,6320,6480,5680,6680,6160,7040,5400,6040,5520,5960,5560,6000,5800,6280,5400,5720,5600,13880,5640,5920,5240,760,52880,,,,,,,,,,,,
6080,6600,5840,6480,6360,6440,5600,5680,6120,5680,5640,6440,6560,6680,6200,6520,6400,6600,5800,6120,6800,6560,760,65920,,,,,,,,,,,,
6560,5800,5920,5720,6560,5960,6320,5880,6080,5920,5880,5920,6000,5640,5160,5880,5560,5960,5960,4960,6000,4640,1240,47920,,,,,,,,,,,,
6240,6360,6520,6840,6280,6760,6600,7280,5960,6040,6040,6560,6600,6000,5960,6000,5680,5600,5760,6080,5480,5840,640,65800,,,,,,,,,,,,
6560,5680,6560,6200,6520,6280,6920,5760,5760,5160,6440,5560,5960,5720,5760,5200,5840,5360,5880,5320,5840,5280,840,54560,,,,,,,,,,,,
6600,6240,6360,7320,6560,6520,6280,5880,5760,5760,5160,5920,6120,6400,5920,6000,5400,5880,5120,5600,5600,5560,600,67400,,,,,,,,,,,,
6880,6000,6160,5880,6320,5960,6480,5840,6040,5640,6000,5560,6280,5440,5880,5360,5480,5440,5400,5040,5120,5040,1320,55960,,,,,,,,,,,,
6240,6360,6400,6720,5840,6240,6080,6520,6400,6720,6440,6880,5880,6600,6200,5960,5760,6040,6360,6120,5320,5760,840,71000,,,,,,,,,,,,
6840,5640,5880,5440,5440,6240,6520,6000,7120,6560,6600,5920,6520,5840,6080,5160,5920,5120,5920,5040,5800,5200,920,58080,,,,,,,,,,,,
6760,6600,6800,6680,6480,6800,7160,6800,6520,6920,6240,6520,6080,5200,5800,5960,5680,5720,5280,5800,5640,6040,880,70360,,,,,,,,,,,,
6600,6760,6160,6120,6240,5480,6080,5200,5840,5880,5480,5760,5320,5240,5480,4960,5360,5160,5440,5200,5160,5320,920,61040,,,,,,,,,,,,
6640,6720,6680,6160,6040,6520,6560,6600,6040,6280,6680,6680,6400,5960,5960,6000,5320,6480,5560,6000,5880,5920,840,70440,,,,,,,,,,,,
6920,5640,5840,5840,5640,5200,5120,5680,5200,5200,5560,4080,5320,4800,4560,4560,5120,5040,5280,5200,5560,4560,1320,62360,,,,,,,,,,,,
5960,6480,6120,6200,6160,6720,6160,6200,6040,6480,5800,5480,5760,6920,5840,6320,5920,6240,5320,6200,4800,5640,840,74560,,,,,,,,,,,,
5760,5440,6120,6080,5240,5240,5480,5440,5720,5200,5880,6040,5400,5040,5160,4720,5120,4840,4880,4560,5040,4560,2520,63120,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,5,22,26,PM,,,,,,,,,,,,,,,,,,,,,,,,
