,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.41,21.78,21.81,48.3,48.1,22.07,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,4,53,25,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,8480,9160,8600,9480,9440,9360,8320,8800,8840,9520,9560,9720,9200,9520,9280,9600,9360,8320,8920,10320,8400,8400,600,67800,,,,,,,,,,,,
6,8880,8520,9000,8800,8600,9200,9040,8520,8800,8160,9280,8560,9200,7840,8800,7680,8480,7640,8160,7560,8400,7240,640,59800,,,,,,,,,,,,
7,8240,9120,8640,9080,8600,8080,7440,7840,8320,7920,7800,8440,8440,8160,7320,7680,10920,7640,8160,7760,21440,8040,1280,68000,,,,,,,,,,,,
8,8880,8000,8480,8600,8960,9080,9200,8440,9080,8600,9240,9160,9200,8920,8960,8480,9080,8600,8080,7840,9600,8040,1000,58240,,,,,,,,,,,,
9,8680,9080,8760,9240,9960,9960,8720,8880,8560,9600,8960,8600,9120,8800,8840,8800,7760,8480,8520,8400,7640,7560,760,73520,,,,,,,,,,,,
