,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.51,22.86,22.99,39.6,39.8,23.25,23.17,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,16,25,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,168,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,-0.1965685039670717,-0.023524744410910466,-0.14933316180137796,-0.041366665422649475,-0.20869186055197134,-0.05497684875852744,-0.193137365310968,-0.08299781445004058,-0.09123254722468933,-0.09386308686103557,-0.17975592455216377,-0.12851758728768253,-0.08825889372273292,0.028514191873328345,-0.21990024682857665,-0.1666032263704331,-0.1905068256746219,-0.0873439234144386,-0.21246611307368535,-0.10381338896373613,-0.05634930422096879,-0.06652834890074305,-0.9766950630765071,2.3257758934232657,,,,,,,,,,,
8,B,0.0407519197467647,-0.19759784556390275,0.005411191588896993,-0.13492237944574267,-0.1913074246943795,-0.16454454317677086,-0.22161581615662843,-0.1278313595564618,-0.19245113757974727,-0.11433554750912069,-0.09900979484519107,-0.13091938434695508,-0.08242595800735669,-0.1878762860382758,-0.1266876466710939,-0.2182990487890616,-0.07339062621295032,-0.20114335550854331,-0.08437026991248206,-0.2140673111132004,-0.14350022608600174,-0.14555890927966394,-0.9561082311398852,4.221136887054927,,,,,,,,,,,
9,C,-0.09763733938274959,0.07186091022877124,-0.26439067806938743,-0.05726427452926311,-0.14635950829942154,-0.14361459737453858,-0.1652307709079916,-0.18089963743753165,-0.09271937397566768,-0.07384811136709749,-0.5500901568342854,-0.1418990280464868,-0.15848286488432103,-0.09752296809421274,-0.024210972142131207,-0.161227775809204,-0.3786475953176392,-0.02341037312237374,-0.9180225920571344,-0.07590679456075972,-0.1519637014377242,-0.02341037312237374,-0.9666303896852697,3.4484444617003827,,,,,,,,,,,
10,D,0.0633974348770489,-0.22916432120005645,-0.1407553151611189,-0.08837326501126964,-0.10552895829178792,-0.2281349796032254,-0.086543324394681,-0.18204335032289956,-0.23179486083640258,-0.11627985941424605,-0.13023315661573434,-0.14361459737453858,-0.0012223431462367075,-0.19622539010146142,-0.14544453799112722,-0.27822960398233887,-0.014375041327967382,-0.2140673111132004,-0.06504152214976472,-0.12325650801499019,-0.09672236907445526,-0.2844056535633254,-0.9621699094323349,3.756560713018491,,,,,,,,,,,
11,E,-0.20789126153221374,-0.08002416094808402,0.0033525083952348988,-0.15036250339820914,-0.10278404736690508,-0.035076244553126204,-0.2298505489312772,-0.06915888853708915,-0.26507690580060816,-0.17918406810947987,-0.06698583405489021,-0.1408696864496556,-0.1040421315408097,-0.045484031809973915,-0.13309243882915403,-0.13515112202281623,-0.0939774581495723,-0.20251581097098467,-0.22790623702615184,-0.14201339933502352,-0.09672236907445526,-0.17506670172215544,-0.9809268007523683,2.1274560791004737,,,,,,,,,,,
12,F,-0.05817924483755743,-0.2114367714768543,-0.19062119696315877,-0.23511162820396955,-0.2616457671445045,-0.23945773716836743,-0.14235651320063394,-0.22859246475737258,-0.13549423588842655,-0.16134214709774086,-0.12234153770669587,-0.2197858755400398,-0.1517349588606506,-0.24666312834618517,-0.17460921656800826,-0.1678613105443377,-0.06389780926439693,-0.0721325420390457,-0.12542956249718915,-0.27868708913648604,-0.1439577112401489,-0.22939306377713004,-0.9694896718986894,3.4094438523093378,,,,,,,,,,,
