,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.57,20.9,21.32,42.8,41.7,22.66,22.29,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,50,06,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,184,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,263680,339680,286720,244800,1353440,90037880,1239600,355800,274120,283480,271720,291120,328000,282960,295040,362320,333200,286000,240680,317080,278640,273280,21120,2069760,,,,,,,,,,,
B,324560,256320,305320,302040,62200,1126440,342800,300440,307040,291840,336240,285840,339000,269720,283800,289440,269360,235920,310320,298280,324360,248880,28680,2730680,,,,,,,,,,,
C,290440,306000,351360,339920,293200,329080,315320,293680,282040,316000,190440,316040,323000,293240,308640,330240,294160,263200,275120,301600,321800,315640,29200,2769680,,,,,,,,,,,
D,303760,262680,276120,274960,355680,327560,289200,312000,324720,277200,334320,317120,336720,303120,308280,294880,316960,309960,303720,313520,351320,311000,23840,2149520,,,,,,,,,,,
E,325640,310760,277160,298240,314120,341400,280040,292440,274040,314000,301800,303680,321880,298360,269000,317280,293120,329440,291600,314760,308760,294160,23520,2142720,,,,,,,,,,,
F,305480,301840,290680,259080,308120,302440,306400,304360,297480,281960,326600,269800,324480,316760,299440,316200,303360,275000,319680,314920,290840,320760,28040,2625840,,,,,,,,,,,
G,285280,295840,263480,325360,270120,261240,284960,303880,248760,302160,289400,300240,256080,252600,313200,288240,296880,293400,302200,301120,290280,307880,21040,2008600,,,,,,,,,,,
H,292280,280200,281600,319280,277520,260000,268080,313200,298440,297880,285280,254000,302320,274160,314560,278000,261680,294120,288840,273600,313280,299200,21120,2008720,,,,,,,,,,,
I,285960,310080,310200,307880,305400,298000,313040,317000,268680,263080,281640,289640,292640,335040,301040,323640,291480,274440,318880,340960,322960,268080,21560,2299280,,,,,,,,,,,
J,303560,306840,285920,278440,321200,271160,291680,263920,296840,274720,290880,275880,308800,269320,353200,287480,330800,283760,321840,353720,332320,293880,25280,2684040,,,,,,,,,,,
K,281440,293960,302480,282480,278360,299080,294520,292280,266560,314200,291880,282240,261800,305920,275280,293040,277840,301760,261880,329960,321680,329320,18960,1885440,,,,,,,,,,,
L,302600,292280,285840,279760,306800,291400,304240,292120,302640,300040,324320,290720,306680,276720,310560,259400,298280,262480,305880,298720,272080,292880,21120,2241480,,,,,,,,,,,
M,276000,289920,248800,302280,287200,295640,272760,272200,266760,317000,257840,309200,332680,336200,271400,297720,296760,252760,298840,299560,263160,295160,19680,2172240,,,,,,,,,,,
N,250360,244640,308440,278360,321720,280480,315400,283880,311440,259200,288840,287160,309400,304040,318680,273640,339200,281280,295440,249480,256280,268040,27400,3020000,,,,,,,,,,,
O,212600,237480,269280,277560,243720,285840,272360,274720,265760,276960,284600,291960,283800,285360,283560,334880,306600,321280,260400,283160,257920,282800,15280,1650000,,,,,,,,,,,
