,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.46,22.28,21.91,47.8,47.2,22.17,22.29,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,28,48,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,13360,14600,15360,15280,14920,15000,14040,13640,15280,14840,12520,13880,13680,13680,14920,13640,14320,13520,12680,13680,12760,11320,1120,85280,,,,,,,,,,,,
6,13520,13080,13400,15280,16280,15240,17080,15960,16120,16000,29600,15400,16000,15760,16480,15160,16000,15080,15280,14880,14760,13080,1040,70800,,,,,,,,,,,,
7,12800,13720,13520,14480,13360,14440,14280,13120,15440,15360,14960,16320,14600,15760,13880,14320,14720,14840,14120,13760,12960,12080,1000,84600,,,,,,,,,,,,
8,13720,12440,14560,14240,12920,13360,15480,13960,14520,12160,23960,14440,15720,13520,15760,15560,15480,14720,15040,14400,13640,13280,960,80280,,,,,,,,,,,,
9,13880,14440,14000,15720,13200,15560,14960,16040,15600,15160,15560,18080,15000,15720,15000,14560,15000,15640,14440,15440,14600,14680,880,89760,,,,,,,,,,,,
10,14280,14000,15040,14000,15480,15360,16840,15560,15080,15000,16440,14400,16880,15560,16600,16600,9480,35440,16160,15720,16320,12040,800,75240,,,,,,,,,,,,
11,13240,14560,14400,16160,15120,16080,15240,16280,14960,16040,16880,16000,9840,15680,14520,14680,13840,47040,14240,12840,14080,13480,920,89640,,,,,,,,,,,,
12,14000,13400,14960,14800,14480,12880,16960,14920,16680,12400,17200,9720,16560,15960,16880,11560,14840,15120,11760,14960,21200,12960,800,81680,,,,,,,,,,,,
13,12960,15240,14600,15440,14920,15200,16720,16480,17400,16360,15120,14400,7680,16280,15120,16280,15120,14760,14920,16240,14440,13480,680,89480,,,,,,,,,,,,
14,13680,14160,15560,14800,14720,15480,17160,15600,20920,17440,16480,15640,16240,15400,16120,14960,15600,15960,14960,15800,14520,11360,800,81880,,,,,,,,,,,,
15,13760,13200,13840,15840,14360,14480,14040,14320,14360,14240,13240,14120,15080,15480,13600,13760,14760,13680,13640,14520,13120,13800,760,92200,,,,,,,,,,,,
16,12720,13240,22360,14200,14400,14920,16920,13760,15960,13360,15600,14040,15400,13680,13400,14480,15120,13240,15360,12480,13720,12240,720,79840,,,,,,,,,,,,
17,11040,12280,12080,12600,12160,13080,13080,13640,11560,14200,11720,13640,13800,12520,12920,13680,12640,13480,13040,14360,11120,12080,680,86400,,,,,,,,,,,,
18,12360,11320,12800,12240,14120,13320,13760,12160,12520,13120,14200,12400,11200,11680,14280,11600,13720,12320,13880,11920,10280,11080,720,77880,,,,,,,,,,,,
19,11120,12720,12480,12960,12480,13480,14600,13720,13120,13640,11360,14720,14600,14800,14240,14080,13400,14360,12800,13120,12400,13200,840,95240,,,,,,,,,,,,
20,11520,10760,10800,11000,12960,12200,12080,11400,12040,12200,13960,11800,13200,11240,12560,9760,13200,12480,10600,13600,7320,12200,720,90040,,,,,,,,,,,,
21,Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Assay,ID,,,,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Assay,Started,,,,,,7/26/2023,3,27,15,PM,,,,,,,,,,,,,,,,,,,,,,,,
24,Assay,Finished,,,,,,7/26/2023,3,29,05,PM,,,,,,,,,,,,,,,,,,,,,,,,
25,Assay,Exported,,,,,,7/26/2023,3,29,05,PM,,,,,,,,,,,,,,,,,,,,,,,,
26,Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Serial#,,,,,,"=""1040181""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Start,assay,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Number,of,plate,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Start,plate,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Is,label,meas.,height,used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Height,of,measurement,,,,6.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Is,gripper,height,used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Gripper,height,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mode,of,measurement,,,,By,Rows,,bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Rotated,plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Soft,move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
