,Unnamed: 0,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
0,0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,,
1,1,1,1,5035,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/19/23 15:02,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,
9,9,A,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
10,10,B,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
11,11,C,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
12,12,D,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
13,13,E,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
14,14,F,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
15,15,G,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
16,16,H,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
17,17,I,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
18,18,J,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
19,19,K,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
20,20,L,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
21,21,M,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
22,22,N,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
23,23,O,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
24,24,P,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,,
28,28,1,1,5035,14.01,17.12,17.23,63.7,63.4,17.51,17.62,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/19/23 15:02,,,,,,,,,,,,,,,
29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,1,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,
36,36,A,-0.24290687893262755,-0.2349721895097932,-0.22873779067756625,-0.23440542597959074,-0.21343517536210005,-0.21456870242250492,-0.2162689930131123,-0.20550048593926573,-0.2174025200735172,-0.20550048593926573,-0.20493372240906324,-0.2174025200735172,-0.20833430359027796,-0.1856637623821799,-0.21570222948290982,-0.20153314122784852,-0.202099904758051,-0.18736405297278722,-0.2140019388923025,-0.2304380812681736,-0.22987131773797112,-0.22136986478493437,-0.31488584726833896,4.4725656923517745,,F07,Tannic acid,,,P04,Cetylpyridinium Bromide
37,37,B,-0.24347364246283001,-0.21910281066412454,-0.2151354659527074,-0.16355998470428426,-0.21796928360371964,-0.22533720949635153,-0.20890106712048043,-0.22080310125473193,-0.21570222948290982,-0.21570222948290982,-0.2009663776976461,-0.20833430359027796,-0.20153314122784852,-0.1935984518050142,-0.22647073655675645,-0.21910281066412454,-0.21683575654331472,-0.18453023532177498,-0.19189816121440684,-0.19416521533521666,-0.2174025200735172,-0.23837277069100793,-0.30808468490590957,4.791086796325553,,K07,isobutamben,,,C08,Suloctidil
38,38,C,-0.1924649247446093,-0.2270375000869589,-0.2247704459661491,-0.22307015537554173,-0.21853604713392213,-0.225903973026554,-0.20436695887886083,-0.2876811978186213,-0.1867972894425848,-0.2009663776976461,-0.18339670826137008,-0.20436695887886083,-0.18963110709359704,-0.19529874239562156,-0.21343517536210005,-0.19189816121440684,-0.19926608710703872,-0.19699903298622892,-0.18509699885197742,-0.19813256004663385,-0.2389395342212104,-0.21230164830169515,-0.3103517390267193,4.441393698190639,,K14,Ascorbyl Palmitate,,,P16,Chlorhexidine
39,39,D,-0.21683575654331472,-0.21570222948290982,-0.2077675400600755,-0.21343517536210005,-0.2151354659527074,-0.22647073655675645,-0.21003459418088533,-0.2077675400600755,-0.1998328506372412,-0.19586550592582402,-0.1913313976842044,-0.1856637623821799,-0.20266666828825342,-0.18509699885197742,-0.20550048593926573,-0.19529874239562156,-0.16752732941570142,-0.18282994473116762,-0.20606724946946814,-0.19586550592582402,-0.20380019534865834,-0.17092791059691612,-0.30808468490590957,5.007023701332687,,K05,Levocetirizine Dihydrochloride,,,H12,Benzethonium Chloride
40,40,E,-0.2219366283151368,-0.2140019388923025,-0.21286841183189759,-0.22250339184533927,-0.1998328506372412,-0.2219366283151368,-0.19473197886541913,-0.20493372240906324,-0.1839634717915725,-0.20720077652987307,-0.19019787062379953,-0.19303168827481176,-0.18056289061035782,-0.17772907295934554,-0.2106013577110878,-0.19529874239562156,-0.19699903298622892,-0.19529874239562156,-0.17999612708015536,-0.2117348847714927,-0.17206143765732101,-0.2066340129996706,-0.3131855566777316,4.8556978387686325,,B04,Dyclonine,,,,
41,41,F,-0.22080310125473193,-0.19926608710703872,-0.19813256004663385,-0.22250339184533927,-0.19529874239562156,-0.2174025200735172,-0.10291628697262187,-0.1998328506372412,-0.1737617282479284,-0.18509699885197742,-0.1924649247446093,-0.18906434356339463,-0.17206143765732101,-0.1879308165029897,-0.1697943835365112,-0.18623052591238232,-0.19019787062379953,-0.17546201883853574,-0.1771623094291431,-0.17659554589894064,-0.1964322694560265,-0.21230164830169515,-0.3097849754965169,4.8914039411713865,,L07,Acedapsone,,,,
42,42,G,-0.2281710271473638,-0.2270375000869589,-0.22136986478493437,-0.19756579651643139,-0.21456870242250492,-0.19473197886541913,-0.18509699885197742,-0.20380019534865834,-0.20039961416744362,-0.2117348847714927,-0.1760287823687382,-0.19756579651643139,-0.18849758003319214,-0.18906434356339463,-0.178295836489548,-0.17999612708015536,-0.18453023532177498,-0.19019787062379953,-0.19303168827481176,-0.17886260001975046,-0.2009663776976461,-0.21286841183189759,-0.31715290138914876,4.837561405802154,,N08,Carbenicillin,,,,
43,43,H,-0.2349721895097932,-0.20550048593926573,-0.20720077652987307,-0.18906434356339463,-0.20039961416744362,-0.17886260001975046,-0.2009663776976461,-0.1856637623821799,-0.19586550592582402,-0.17489525530833333,-0.2009663776976461,-0.26217683895951094,-0.17206143765732101,-0.21853604713392213,-0.17489525530833333,-0.17999612708015536,-0.178295836489548,-0.178295836489548,-0.19303168827481176,-0.19529874239562156,-0.1760287823687382,-0.19473197886541913,-0.3143190837381365,4.828493189318914,,,,,,,
44,44,I,-0.21570222948290982,-0.22873779067756625,-0.2117348847714927,-0.20720077652987307,-0.22080310125473193,-0.21230164830169515,-0.19019787062379953,-0.20946783065068286,-0.2140019388923025,-0.18849758003319214,-0.16809409294590388,-0.1879308165029897,-0.1879308165029897,-0.16015940352306954,-0.19699903298622892,-0.19189816121440684,-0.17206143765732101,-0.18623052591238232,-0.2151354659527074,-0.19473197886541913,-0.21456870242250492,-0.22420368243594663,-0.31148526608712424,4.8120570469430435,,,,,,,
45,45,J,-0.23270513538898344,-0.21796928360371964,-0.225903973026554,-0.20266666828825342,-0.1760287823687382,-0.20153314122784852,-0.1964322694560265,-0.2117348847714927,-0.1686608564761063,-0.1856637623821799,-0.1839634717915725,-0.18736405297278722,-0.19416521533521666,-0.20380019534865834,-0.2032334318184559,-0.17999612708015536,-0.19869932357683628,-0.19189816121440684,-0.1964322694560265,-0.20380019534865834,-0.21230164830169515,-0.18963110709359704,-0.3131855566777316,4.826792898728307,,,,,,,
46,46,K,-0.20890106712048043,-0.21570222948290982,-0.23723924363060303,-0.20606724946946814,-0.15902587646266464,-0.17772907295934554,-0.07967898223432131,-0.19303168827481176,-0.20550048593926573,-0.1726282011875235,-0.18849758003319214,-0.17772907295934554,-0.18963110709359704,-0.10631686815383659,-0.22080310125473193,-0.1935984518050142,-0.17659554589894064,-0.1856637623821799,-0.19699903298622892,-0.21116812124129022,-0.21456870242250492,-0.21966957419432703,-0.3154526107985414,4.795054141036969,,,,,,,
47,47,L,-0.22250339184533927,-0.20833430359027796,-0.22760426361716135,-0.2162689930131123,-0.22307015537554173,-0.225903973026554,-0.15165795057003276,-0.20550048593926573,-0.1856637623821799,-0.1964322694560265,-0.17659554589894064,-0.2361057165701981,-0.19813256004663385,-0.19303168827481176,-0.24347364246283001,-0.2106013577110878,-0.18509699885197742,-0.18623052591238232,-0.19189816121440684,-0.19076463415400194,-0.2162689930131123,-0.2077675400600755,-0.31658613785894635,4.828493189318914,,,,,,,
48,48,M,-0.23780600716080547,-0.2219366283151368,-0.23780600716080547,-0.2162689930131123,-0.225903973026554,-0.21853604713392213,-0.2032334318184559,-0.20550048593926573,-0.21966957419432703,-0.19869932357683628,-0.2009663776976461,-0.18963110709359704,-0.19756579651643139,-0.19019787062379953,-0.19869932357683628,-0.17432849177813084,-0.21003459418088533,-0.19416521533521666,-0.19699903298622892,-0.2009663776976461,-0.18963110709359704,-0.1964322694560265,-0.3154526107985414,4.786552688083932,,,,,,,
49,49,N,-0.2281710271473638,-0.23780600716080547,-0.22760426361716135,-0.20493372240906324,-0.21003459418088533,-0.18056289061035782,-0.20550048593926573,-0.16355998470428426,-0.2077675400600755,-0.20720077652987307,-0.2304380812681736,-0.20436695887886083,-0.19869932357683628,-0.2009663776976461,-0.19076463415400194,-0.1771623094291431,-0.2032334318184559,-0.1879308165029897,-0.19813256004663385,-0.20153314122784852,-0.20039961416744362,-0.1935984518050142,-0.3131855566777316,4.761048329224822,,,,,,,
50,50,O,-0.23270513538898344,-0.2270375000869589,-0.23213837185878095,-0.22987131773797112,-0.23213837185878095,-0.2304380812681736,-0.20833430359027796,-0.2389395342212104,-0.22420368243594663,-0.21003459418088533,-0.22647073655675645,-0.20493372240906324,-0.1998328506372412,-0.20550048593926573,-0.19869932357683628,-0.18112965414056026,-0.2162689930131123,-0.1839634717915725,-0.20380019534865834,-0.19019787062379953,-0.20266666828825342,-0.20946783065068286,-0.31658613785894635,4.585918398392265,,,,,,,
51,51,P,-0.24290687893262755,-0.23270513538898344,-0.2361057165701981,-0.3001499954830752,-0.2389395342212104,-0.23100484479837602,-0.2077675400600755,-0.23383866244938833,-0.22136986478493437,-0.18623052591238232,-0.2219366283151368,-0.20606724946946814,-0.20890106712048043,-0.2162689930131123,-0.2117348847714927,-0.27237858250315505,-0.21286841183189759,-0.20493372240906324,-0.20436695887886083,-0.2009663776976461,-0.21230164830169515,-0.20890106712048043,-0.31488584726833896,5.037062168433417,,,,,,,
52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,,
55,55,2,1,5036,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/19/23 15:03,,,,,,,,,,,,,,,,,,,,
56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,
63,63,A,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
64,64,B,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
65,65,C,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
66,66,D,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
67,67,E,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
68,68,F,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
69,69,G,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
70,70,H,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
71,71,I,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
72,72,J,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
73,73,K,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
74,74,L,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
75,75,M,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
76,76,N,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
77,77,O,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
78,78,P,0.880521584,0.880521584,,,,,,,,,,,,,,,,,,,,,,0.880521584,,,,,,,
79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,,
82,82,2,1,5036,14.01,17.21,17.23,63.6,63.7,17.61,17.62,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/19/23 15:03,,,,,,,,,,,,,,,
83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,
90,90,A,-0.23287114895000155,-0.2506753119040316,-0.2295328683961209,-0.22842010821149403,-0.22842010821149403,-0.22118716701141933,-0.21451060590365803,-0.2150669859959715,-0.24956255171940472,-0.23398390913462838,-0.22452544756529996,-0.22730734802686714,-0.22063078691910587,-0.19893196331888174,-0.20950318507283708,-0.20672128461126987,-0.24232961051933,-0.22396906747298653,-0.24900617162709127,-0.2345402892269418,-0.21840526654985212,-0.24455513088858374,-0.3413652669511222,4.560899726422591,,M06,Ketoconazole,,H12,Adenosine Phosphate,
