,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.57,21.78,21.81,43.7,43.7,22.07,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,49,56,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,176,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,-0.05532070190841509,-0.05471269728515016,-0.05410469266188523,-0.05494069901887451,-0.055168700752598866,-0.054788697863058275,-0.0548646984409664,-0.056460710577036846,-0.05691671404448554,-0.05425669381770146,-0.055016699596782626,-0.05471269728515016,-0.05494069901887451,-0.05402869208397711,-0.05554870364213944,-0.05456069612933393,-0.05532070190841509,-0.0548646984409664,-0.054484695551425814,-0.05425669381770146,-0.05410469266188523,-0.05402869208397711,-0.06922880766560043,0.04158003492443354,,,,,,,,,,,
8,B,-0.05463669670724204,-0.05570070479795568,-0.0544086949735177,-0.05509270017469074,-0.053496688038620295,-0.055244701330506976,-0.05364868919443653,-0.05554870364213944,-0.05395269150606899,-0.05425669381770146,-0.05395269150606899,-0.05532070190841509,-0.05554870364213944,-0.05585270595377191,-0.05425669381770146,-0.05418069323979335,-0.05402869208397711,-0.05638470999912872,-0.055016699596782626,-0.057068715200301774,-0.0548646984409664,-0.05623270884331249,-0.06907680650978419,0.02653192049862647,,,,,,,,,,,
9,C,-0.05433269439560958,-0.05471269728515016,-0.05395269150606899,-0.05395269150606899,-0.0544086949735177,-0.054788697863058275,-0.05456069612933393,-0.055016699596782626,-0.055624704220047554,-0.05471269728515016,-0.055624704220047554,-0.05509270017469074,-0.05570070479795568,-0.05395269150606899,-0.054788697863058275,-0.05463669670724204,-0.055168700752598866,-0.0544086949735177,-0.055244701330506976,-0.05547270306423133,-0.05471269728515016,-0.055624704220047554,-0.06877280419815172,0.03306797019872449,,,,,,,,,,,
10,D,-0.05357268861652842,-0.05615670826540438,-0.05395269150606899,-0.05554870364213944,-0.05334468688280406,-0.05570070479795568,-0.055244701330506976,-0.05433269439560958,-0.05334468688280406,-0.056308709421220605,-0.0548646984409664,-0.055776705375863794,-0.05425669381770146,-0.05653671115494496,-0.05471269728515016,-0.05608070768749626,-0.05532070190841509,-0.05554870364213944,-0.05425669381770146,-0.05684071346657743,-0.054788697863058275,-0.05623270884331249,-0.06900080593187607,0.018247857506641752,,,,,,,,,,,
11,E,-0.055244701330506976,-0.05433269439560958,-0.056460710577036846,-0.05410469266188523,-0.05463669670724204,-0.05425669381770146,-0.05509270017469074,-0.05463669670724204,-0.05623270884331249,-0.05463669670724204,-0.0548646984409664,-0.0544086949735177,-0.05410469266188523,-0.05433269439560958,-0.05615670826540438,-0.05615670826540438,-0.05585270595377191,-0.055168700752598866,-0.05623270884331249,-0.05585270595377191,-0.05554870364213944,-0.05585270595377191,-0.06869680362024361,0.037020000249946554,,,,,,,,,,,
12,F,-0.05570070479795568,-0.05592870653168002,-0.05684071346657743,-0.05615670826540438,-0.05532070190841509,-0.05585270595377191,-0.05539670248632321,-0.055776705375863794,-0.054788697863058275,-0.055168700752598866,-0.054788697863058275,-0.05554870364213944,-0.05433269439560958,-0.05592870653168002,-0.05410469266188523,-0.05547270306423133,-0.05410469266188523,-0.05752471866775047,-0.05463669670724204,-0.05547270306423133,-0.05585270595377191,-0.05661271173285307,-0.06938080882141666,0.021819884668323238,,,,,,,,,,,
13,G,-0.055776705375863794,-0.05554870364213944,-0.05623270884331249,-0.0548646984409664,-0.056308709421220605,-0.055244701330506976,-0.05592870653168002,-0.0548646984409664,-0.05623270884331249,-0.05471269728515016,-0.0548646984409664,-0.05471269728515016,-0.0548646984409664,-0.05471269728515016,-0.05638470999912872,-0.05494069901887451,-0.05547270306423133,-0.05790472155729105,-0.05684071346657743,-0.05592870653168002,-0.05547270306423133,-0.05668871231076119,-0.06983681228886536,0.04142803376861731,,,,,,,,,,,
14,H,-0.05494069901887451,-0.05463669670724204,-0.05402869208397711,-0.05547270306423133,-0.05456069612933393,-0.055776705375863794,-0.05532070190841509,-0.057068715200301774,-0.05585270595377191,-0.05653671115494496,-0.055168700752598866,-0.056308709421220605,-0.05532070190841509,-0.055168700752598866,-0.05570070479795568,-0.05554870364213944,-0.055624704220047554,-0.05623270884331249,-0.05554870364213944,-0.05623270884331249,-0.05570070479795568,-0.05714471577820989,-0.06938080882141666,0.022579890447404407,,,,,,,,,,,
