,index,z-score
0,A1,-0.05539827412693355
1,A2,-0.056235143372455096
2,A3,-0.054747375824861236
3,A4,-0.05437543393796277
4,A5,0.07506034270270275
5,A6,19.538593313155882
6,A7,0.06064759458538725
7,A8,-0.0539105065793397
8,A9,-0.05586320148555663
9,A10,-0.0556772305421074
10,A11,-0.05604917242900587
11,A12,-0.05493334676831047
12,A13,-0.0567930562028028
13,A14,-0.05586320148555663
14,A15,-0.05660708525935356
15,A16,-0.05707201261797665
16,A17,-0.05707201261797665
17,A18,-0.05539827412693355
18,A19,-0.05604917242900587
19,A20,-0.05595618695728125
20,A21,-0.0574439545048751
21,A22,-0.0551193177117597
22,A23,-0.07287954281116137
23,A24,0.0690162870406027
24,B1,-0.05372453563589047
25,B2,-0.05558424507038279
26,B3,-0.05521230318348432
27,B4,-0.0556772305421074
28,B5,0.01350396042100693
29,B6,0.04112064552321788
30,B7,-0.05288766639036892
31,B8,-0.055491259598658166
32,B9,-0.05558424507038279
33,B10,-0.0556772305421074
34,B11,-0.05586320148555663
35,B12,-0.05716499808970126
36,B13,-0.05465439035313662
37,B14,-0.05632812884417972
38,B15,-0.05307363733381815
39,B16,-0.056979027146252026
40,B17,-0.0556772305421074
41,B18,-0.057257983561425876
42,B19,-0.055770216013832016
43,B20,-0.055770216013832016
44,B21,-0.055491259598658166
45,B22,-0.05539827412693355
46,B23,-0.07343745564150907
47,B24,0.04363125325978253
48,C1,-0.056235143372455096
49,C2,-0.05586320148555663
50,C3,-0.05614215790073048
51,C4,-0.05437543393796277
52,C5,-0.05521230318348432
53,C6,-0.055026332240035086
54,C7,-0.05539827412693355
55,C8,-0.0544684194096874
56,C9,-0.05642111431590433
57,C10,-0.05484036129658586
58,C11,-0.03745207808408266
59,C12,-0.055026332240035086
60,C13,-0.055770216013832016
61,C14,-0.05456140488141201
62,C15,-0.05660708525935356
63,C16,-0.05493334676831047
64,C17,-0.05642111431590433
65,C18,-0.0556772305421074
66,C19,-0.056979027146252026
67,C20,-0.05418946299451354
68,C21,-0.05586320148555663
69,C22,-0.05642111431590433
70,C23,-0.0730655137546106
71,C24,0.05757907401847493
72,D1,-0.05428244846623816
73,D2,-0.05632812884417972
74,D3,-0.05604917242900587
75,D4,-0.0556772305421074
76,D5,-0.054747375824861236
77,D6,-0.0574439545048751
78,D7,-0.05418946299451354
79,D8,-0.055770216013832016
80,D9,-0.05586320148555663
81,D10,-0.05586320148555663
82,D11,-0.054747375824861236
83,D12,-0.055491259598658166
84,D13,-0.05456140488141201
85,D14,-0.05484036129658586
86,D15,-0.055491259598658166
87,D16,-0.05614215790073048
88,D17,-0.055491259598658166
89,D18,-0.056235143372455096
90,D19,-0.05539827412693355
91,D20,-0.05614215790073048
92,D21,-0.05642111431590433
93,D22,-0.056235143372455096
94,D23,-0.07325148469805982
95,D24,0.038610037786653256
96,E1,-0.054747375824861236
97,E2,-0.05530528865520894
98,E3,-0.05539827412693355
99,E4,-0.05521230318348432
100,E5,-0.056514099787628946
101,E6,-0.05493334676831047
102,E7,-0.055026332240035086
103,E8,-0.055491259598658166
104,E9,-0.05530528865520894
105,E10,-0.05586320148555663
106,E11,-0.0556772305421074
107,E12,-0.05595618695728125
108,E13,-0.057815896391773564
109,E14,-0.05604917242900587
110,E15,-0.05604917242900587
111,E16,-0.05456140488141201
112,E17,-0.05688604167452741
113,E18,-0.05539827412693355
114,E19,-0.05604917242900587
115,E20,-0.056235143372455096
116,E21,-0.056979027146252026
117,E22,-0.05632812884417972
118,E23,-0.07297252828288599
119,E24,0.057207132131576466
120,F1,-0.05586320148555663
121,F2,-0.05670007073107818
122,F3,-0.055770216013832016
123,F4,-0.05716499808970126
124,F5,-0.05558424507038279
125,F6,-0.05595618695728125
126,F7,-0.055491259598658166
127,F8,-0.0567930562028028
128,F9,-0.05521230318348432
129,F10,-0.05632812884417972
130,F11,-0.05688604167452741
131,F12,-0.05753693997659973
132,F13,-0.0556772305421074
133,F14,-0.057257983561425876
134,F15,-0.05604917242900587
135,F16,-0.05670007073107818
136,F17,-0.05642111431590433
137,F18,-0.056235143372455096
138,F19,-0.0551193177117597
139,F20,-0.05707201261797665
140,F21,-0.05400349205106431
141,F22,-0.05893172205246896
142,F23,-0.07315849922633522
143,F24,0.04818754137428872
144,G1,-0.05539827412693355
145,G2,-0.05456140488141201
146,G3,-0.0567930562028028
147,G4,-0.05558424507038279
148,G5,-0.05632812884417972
149,G6,-0.054747375824861236
150,G7,-0.05660708525935356
151,G8,-0.055770216013832016
152,G9,-0.056979027146252026
153,G10,-0.056514099787628946
154,G11,-0.0567930562028028
155,G12,-0.0556772305421074
156,G13,-0.05632812884417972
157,G14,-0.055770216013832016
158,G15,-0.057722910920048956
159,G16,-0.055770216013832016
160,G17,-0.05642111431590433
161,G18,-0.054747375824861236
162,G19,-0.05735096903315049
163,G20,-0.05539827412693355
164,G21,-0.05660708525935356
165,G22,-0.055491259598658166
166,G23,-0.07287954281116137
167,G24,0.06083356552883649
168,H1,-0.05418946299451354
169,H2,-0.055770216013832016
170,H3,-0.05539827412693355
171,H4,-0.05735096903315049
172,H5,-0.056235143372455096
173,H6,-0.05818783827867203
174,H7,-0.05688604167452741
175,H8,-0.05642111431590433
