,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.57,22.28,22.3,42,41.7,22.75,22.88,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,56,16,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,4,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,7800,7680,6960,8200,7760,8040,8120,8040,7640,8400,7720,8280,7360,8480,7720,8200,8200,8160,7720,8280,8160,8080,800,55400,,,,,,,,,,,
B,8280,7520,7960,8120,7680,6760,7160,7360,7840,7160,8080,7760,8480,7680,8480,7920,8360,8080,8400,7440,7880,7680,920,47360,,,,,,,,,,,
C,7600,8000,7960,7800,7520,6160,8080,8040,7960,8400,8480,8120,7840,8400,8120,8360,7800,8680,7680,8400,7720,7240,880,54720,,,,,,,,,,,
D,8000,7520,8440,7720,8520,7840,8440,7880,8560,7360,8640,8480,8560,8840,8880,7440,7880,8120,7680,7840,7600,7120,1000,46120,,,,,,,,,,,
E,7120,8000,8000,7800,7880,8520,7800,7920,8160,8760,7560,8320,8160,9720,8160,8680,7480,8360,8160,8080,7600,7840,880,50280,,,,,,,,,,,
F,8360,7640,7960,8080,8560,8280,8360,7960,8120,7760,8800,8200,8480,7680,8240,8280,8040,7960,8080,8280,7880,7320,640,45480,,,,,,,,,,,
G,7280,7880,7440,8120,7120,8040,6160,8240,8040,8400,8160,8240,8320,8040,8480,7960,8040,7560,8880,7960,7960,7440,920,55200,,,,,,,,,,,
H,7760,7840,8880,8840,8200,8280,8200,8120,8360,8120,7840,8160,8200,8200,8480,7320,8200,7600,8440,7800,8240,7480,1000,45760,,,,,,,,,,,
I,8360,8480,7840,8280,8400,8640,8400,8200,7840,8640,8320,8000,8160,8640,8160,8840,8000,8960,7960,8440,7840,7960,680,51080,,,,,,,,,,,
J,8560,7920,8920,8000,8320,8600,9200,7960,8760,8320,8640,8160,9040,8480,8280,7840,8360,8080,8320,7760,8000,8040,840,45920,,,,,,,,,,,
K,8600,7960,8280,8600,8440,8200,8440,8120,8320,8600,8680,8520,8080,8600,8200,8360,7960,8880,8120,8240,7520,8880,920,53080,,,,,,,,,,,
L,8800,7640,8600,8080,9080,7960,8480,8520,8520,8080,8880,8080,8520,8280,8400,8200,8480,7880,8600,7560,8160,8200,960,44960,,,,,,,,,,,
M,8080,9040,8880,8200,8120,8760,7360,8000,8000,8600,7840,8440,7880,8320,7480,8400,7640,8600,8320,8440,7960,7800,880,52080,,,,,,,,,,,
N,8040,8040,8000,7320,8560,7760,8560,7520,8440,8360,8400,8120,8840,7520,8320,8080,8200,8040,8280,7960,8920,7600,880,46120,,,,,,,,,,,
O,7760,7840,7800,7840,8000,8360,8000,8360,7800,8280,8160,8360,8040,8520,7680,7680,7880,8280,7680,8760,7400,8240,1040,53280,,,,,,,,,,,
P,8000,7960,8120,7600,8200,7640,8240,7560,8120,7840,8480,7680,8080,7360,8160,7640,8520,7600,8040,7680,8560,6960,960,43720,,,,,,,,,,,
