Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.46,21.39,21.41,43.9,43.6,21.67,21.89,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,34,56,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,8200,8920,8400,8520,8840,9400,9080,9120,9040,8960,9040,8920,9000,9720,8360,9400,9040,9280,8560,9440,8520,8760,1440,61920,,,,,,,,,,,
B,8800,8560,9520,8960,9600,9120,9760,8800,10120,9240,9640,9000,9760,9440,9880,9440,9040,8680,9560,8920,9480,8640,840,53760,,,,,,,,,,,
C,8960,9720,9360,9080,9360,9200,9640,9520,9480,10080,11880,10040,9320,10400,9720,9880,9720,9680,9360,9560,9480,9280,1160,61120,,,,,,,,,,,
D,10000,9360,10000,8640,10160,9560,10000,9240,10400,9600,9760,9120,9960,8880,9640,9200,9720,9160,9560,8960,9520,8640,1040,52720,,,,,,,,,,,
E,8840,10040,9080,9680,9480,10200,9400,9680,9800,9640,9280,10080,9200,10160,9360,9560,9080,9280,8680,9520,9160,9360,1200,62960,,,,,,,,,,,
F,9440,8800,9520,9680,9680,9320,10000,9520,9880,9160,10280,9480,9920,10320,9880,9320,9720,9120,9040,8560,9160,8920,1080,55480,,,,,,,,,,,
G,9560,9560,9520,9880,9920,10160,9960,10720,9360,9880,9280,10440,9320,10440,9640,9800,9400,10200,9360,9400,8320,9960,1000,66880,,,,,,,,,,,
H,9000,9640,9960,9920,9920,9360,10800,9880,10400,9400,9880,9160,10560,9720,9920,9920,9800,9000,11600,9320,9600,8920,1000,58280,,,,,,,,,,,
I,8800,9480,10240,10280,10000,10560,10240,10360,9800,10480,9840,10280,10000,10240,9880,9800,9400,10640,9560,9880,9640,9920,960,62920,,,,,,,,,,,
J,9720,10000,10360,9560,10320,9920,10840,9760,11000,9920,9920,9560,11040,10040,10880,10320,10120,9400,10360,9360,9920,8880,1000,55720,,,,,,,,,,,
K,8960,10240,9360,9520,9440,10040,9600,10000,10080,10720,9960,10320,9960,9760,9440,9800,9800,9360,9400,9680,9040,9360,920,64960,,,,,,,,,,,
L,9880,9280,9720,9240,9640,9320,10800,9880,10320,9840,10520,9960,11000,9520,10400,8640,10720,9280,9720,9640,9760,9200,1040,57600,,,,,,,,,,,
M,9040,9280,9120,9840,9760,10680,9920,10360,10040,11120,10400,10600,10120,10360,9840,10360,9720,10440,9560,9920,9680,9480,1160,63960,,,,,,,,,,,
N,9200,9400,9560,9360,10000,10400,10880,9960,10400,9560,10400,9600,10840,9840,9760,9760,10320,9320,9560,9680,10080,8560,1000,55960,,,,,,,,,,,
O,9080,8640,8920,9880,9160,9880,9520,10880,9520,10080,10000,9800,9840,10360,9760,9960,9360,9920,9440,10040,9000,10000,1240,69040,,,,,,,,,,,
P,9320,8680,9120,9200,9480,8880,9920,9560,10080,8400,9840,9720,9760,9240,9600,9080,9920,9080,9880,8800,8960,8720,1040,60920,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/7/2023,3,33,24,PM,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,7/7/2023,3,35,11,PM,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Exported,,,,,,7/7/2023,3,35,11,PM,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial#,,,,,,"""=""""1040181""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
