,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,22.47,23.09,44.5,43.9,23.64,23.86,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,5,05,10,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
7560,8880,8680,9040,7880,7960,6920,7240,7400,7880,7160,7480,6640,7320,7240,7280,7400,7520,7640,7520,6840,6800,1080,75200,,,,,,,,,,,,
8000,7960,8200,7520,8920,7880,8560,7480,8640,7800,8560,7800,8480,8320,8040,7800,7840,7560,8200,7200,7440,6840,800,64600,,,,,,,,,,,,
8320,8560,8320,8920,7560,7320,7320,7120,7120,7920,7520,7400,7520,7600,7120,8040,7120,8080,7360,7040,7080,7640,1240,78680,,,,,,,,,,,,
9040,8520,8880,8160,8960,8080,8360,8120,7880,7680,8240,8080,13000,8200,7800,7280,7960,7800,8360,7400,7680,6920,1080,68920,,,,,,,,,,,,
8280,8720,8680,8720,7600,7240,7760,7760,8000,7760,7320,6960,7160,7800,6840,7440,7080,6880,7720,7280,7320,7240,920,80360,,,,,,,,,,,,
7960,7840,9000,8000,7760,8040,8400,7560,8400,5760,8200,7880,7720,8120,8000,8080,8640,7720,7800,8280,8400,7600,1000,85680,,,,,,,,,,,,
7720,8920,7760,7920,8600,9160,7200,7760,7960,7960,7960,8320,7560,8200,7760,7280,7360,7320,7320,7880,7160,7840,840,101280,,,,,,,,,,,,
8400,7760,8160,7720,8280,8040,8120,7600,7800,7840,7960,7680,7880,7600,7000,6600,7280,7240,6840,6440,7560,6200,2920,73000,,,,,,,,,,,,
8120,7880,8320,8480,9000,8320,8800,9520,8520,8520,9120,9000,8680,8720,8520,8840,7800,7600,7240,7560,7240,7640,640,97600,,,,,,,,,,,,
7920,8080,8440,7200,7520,7160,7680,7400,7960,7480,7880,7320,7720,6840,7760,6040,6880,6480,6360,6040,6680,5760,3240,64520,,,,,,,,,,,,
7720,7840,7240,8000,7800,8320,8440,8400,7920,8960,8120,8480,7960,8240,10920,7720,7360,8120,8280,8800,7480,8080,680,98320,,,,,,,,,,,,
7760,7560,7520,6960,6960,7040,7280,6920,7320,7200,7400,6840,7440,7000,7200,6560,6240,6080,6360,5920,7080,6800,1520,79720,,,,,,,,,,,,
6880,7400,7720,7960,8080,8120,7880,7800,7520,7920,7680,7800,7320,7880,7120,7560,7400,7880,7160,8440,7640,9040,720,94640,,,,,,,,,,,,
7880,7360,7400,6880,7480,7080,8520,7240,7760,7560,8040,7080,8160,7280,7320,6960,7600,6600,7720,7640,7960,6640,1400,86240,,,,,,,,,,,,
7160,7960,7080,8000,7720,7480,7600,7760,7920,8200,7400,7760,7800,7800,7280,7400,7640,7480,8120,7440,7160,8120,800,88120,,,,,,,,,,,,
7440,6800,7440,6800,7160,7000,7560,7200,7360,6720,7400,6840,7440,7160,7160,6720,9000,6920,7000,7400,6920,6200,1720,80480,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,5,01,44,PM,,,,,,,,,,,,,,,,,,,,,,,,
