index,z-score
A1,-0.13947019070546227
A2,-0.09271632494300266
A3,-0.07358974349472372
A4,-0.09271632494300266
A5,-0.14584571785488856
A6,-0.1415953664219377
A7,-0.1585967721537412
A8,-0.1309694878395605
A9,-0.12671913640660962
A10,0.48533146993831633
A11,-0.14584571785488856
A12,-0.12671913640660962
A13,-0.12246878497365876
A14,-0.11184290639128154
A15,-0.12671913640660962
A16,-0.09909185209242895
A17,-0.147970893571364
A18,-0.08634079779357631
A19,-0.10334220352537982
A20,-0.08846597351005174
A21,-0.14372054213841315
A22,-0.09271632494300266
A23,-0.468872426759155
A24,2.772020540865887
B1,-0.10759255495833069
B2,-0.13947019070546227
B3,-0.12671913640660962
B4,-0.12034360925718333
B5,-0.09059114922652717
B6,-0.12034360925718333
B7,-0.13521983927251136
B8,-0.12459396069013419
B9,-0.10546737924185524
B10,-0.11396808210775698
B11,-0.09696667637595352
B12,-0.16922265073611836
B13,-0.1309694878395605
B14,-0.16284712358669207
B15,-0.10334220352537982
B16,-0.1713478264525938
B17,-0.1415953664219377
B18,-0.14372054213841315
B19,-0.13734501498898685
B20,-0.15009606928783942
B21,-0.13521983927251136
B22,-0.18409888075144645
B23,-0.4603717238932533
B24,1.8029404141530876
C1,-0.11396808210775698
C2,-0.10121702780890439
C3,-0.11184290639128154
C4,-0.11609325782423247
C5,-0.147970893571364
C6,-0.12034360925718333
C7,-0.14584571785488856
C8,-0.12884431212308506
C9,-0.12671913640660962
C10,-0.12246878497365876
C11,-0.1649722993031675
C12,-0.10759255495833069
C13,-0.12884431212308506
C14,-0.12459396069013419
C15,-0.10121702780890439
C16,-0.10971773067480611
C17,-0.13947019070546227
C18,-0.14584571785488856
C19,-0.14372054213841315
C20,-0.1330946635560359
C21,-0.13521983927251136
C22,-0.12246878497365876
C23,-0.468872426759155
C24,2.536126036337113
D1,-0.10759255495833069
D2,-0.11609325782423247
D3,-0.13734501498898685
D4,-0.12671913640660962
D5,-0.13734501498898685
D6,-0.12884431212308506
D7,-0.0693393920617728
D8,-0.15009606928783942
D9,-0.09909185209242895
D10,-0.12671913640660962
D11,-0.1543464207207903
D12,-0.14584571785488856
D13,-0.1415953664219377
D14,-0.1330946635560359
D15,-0.10334220352537982
D16,-0.15647159643726571
D17,-0.12459396069013419
D18,-0.13521983927251136
D19,-0.13521983927251136
D20,-0.13521983927251136
D21,-0.147970893571364
D22,-0.14584571785488856
D23,-0.468872426759155
D24,2.251352490329405
E1,-0.12884431212308506
E2,-0.13947019070546227
E3,-0.14584571785488856
E4,-0.14372054213841315
E5,-0.13947019070546227
E6,-0.13521983927251136
E7,-0.15009606928783942
E8,-0.11184290639128154
E9,-0.11609325782423247
E10,-0.11184290639128154
E11,-0.14372054213841315
E12,-0.3116094237399727
E13,-0.14584571785488856
E14,-0.13521983927251136
E15,-0.13947019070546227
E16,-0.11821843354070789
E17,-0.15009606928783942
E18,-0.12459396069013419
E19,-0.22872757079743064
E20,-0.11609325782423247
E21,-0.13521983927251136
E22,-0.13947019070546227
E23,-0.468872426759155
E24,2.9335338953180203
F1,-0.13521983927251136
F2,-0.15647159643726571
F3,-0.12246878497365876
F4,-0.11821843354070789
F5,-0.12459396069013419
F6,-0.1330946635560359
F7,-0.13521983927251136
F8,-0.12884431212308506
F9,-0.1415953664219377
F10,-0.16922265073611836
F11,-0.12459396069013419
F12,-0.12034360925718333
F13,-0.12034360925718333
