,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.37,21.2,21.22,45.6,45.8,21.58,21.5,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,11,14,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,27800,20720,24360,34120,18680,20400,32600,18360,13600,20040,40760,21080,63800,22600,33360,24240,23560,25520,30920,31960,11640,80200,3040,235200,,,,,,,,,,,,
6,26480,19160,14520,46760,20160,16440,38040,46880,18800,17600,16240,48400,23960,14400,22160,31000,22840,20960,24240,23920,31120,56960,1960,229760,,,,,,,,,,,,
7,24640,17240,19360,16560,34800,18640,21080,31280,19720,20360,22120,39160,20080,21080,22200,20320,19720,21840,22000,23240,66160,20320,1600,239960,,,,,,,,,,,,
8,17920,29240,17920,18520,18080,40520,44520,22720,20200,27280,12480,40920,22040,21080,50360,14400,21000,19520,35640,22640,24560,21800,1400,227840,,,,,,,,,,,,
9,20320,18360,28840,12520,19000,25200,18760,20880,17720,18440,19520,21680,18960,20000,19600,64000,20200,22800,17520,45320,30360,22280,1360,194960,,,,,,,,,,,,
10,16200,17160,23040,19000,39760,17880,18000,37120,30520,16360,18840,19760,7960,49280,10560,19560,18760,18720,18320,19840,19960,16880,1400,202040,,,,,,,,,,,,
11,16600,18920,17040,18360,19360,22280,17400,17720,31760,19240,40640,20480,20400,19560,26680,17440,39000,15480,20160,47360,18800,16720,1280,197520,,,,,,,,,,,,
12,15720,18600,17720,21960,20320,31320,21000,17360,25720,19800,15840,19160,19160,17720,18640,17120,50640,8960,18760,18800,10800,16640,1320,198400,,,,,,,,,,,,
