,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.66,Unnamed.67,Unnamed: 6,2,0.1,Unnamed.25,Unnamed.68,Unnamed: 11,5,1,Unnamed.26,Unnamed.69,Unnamed: 16,8,2.2,Unnamed.27,Unnamed.70,Unnamed: 21,11,3,Unnamed.28,Unnamed.71,Unnamed: 26,14,4,Unnamed.29,Unnamed.72,Unnamed: 31,17,5.2,Unnamed.30,Unnamed.73,Unnamed: 36,20,6,Unnamed.31,Unnamed.74,Unnamed: 41,23,7,Unnamed.32,Unnamed.75,Unnamed: 46,26,8.2,Unnamed.33,Unnamed.76,Unnamed: 51,29,9,Unnamed.34,Unnamed.77,Unnamed: 56,32,10,Unnamed.35,Unnamed.78,Unnamed: 61,35,11.2,Unnamed.36,Unnamed.79,Unnamed: 66,38,12,Unnamed.37,Unnamed.80,Unnamed: 71,41,13,Unnamed.38,Unnamed.81,Unnamed: 76,44,14.2,Unnamed.39,Unnamed.82,Unnamed: 81,47,15,Plate,information,Unnamed.40,Unnamed.41,Unnamed.83,Unnamed: 89,53,19,2.1,Unnamed.1,Unnamed.42,Unnamed.84,Unnamed: 96,58,22,3.1,Unnamed.2,Unnamed.43,Unnamed.85,Unnamed: 103,63,25,4.1,Unnamed.3,Unnamed.44,Unnamed.86,Unnamed: 110,68,28,5.1,Unnamed.4,Unnamed.45,Unnamed.87,Unnamed: 117,73,31,6.1,Unnamed.5,Unnamed.46,Unnamed.88,Unnamed: 124,78,34,7.1,Unnamed.6,Unnamed.47,Unnamed.89,Unnamed: 131,83,37,8.1,Unnamed.7,Unnamed.48,Unnamed.90,Unnamed: 138,88,40,9.1,Unnamed.8,Unnamed.49,Unnamed.91,Unnamed: 145,93,43,10.1,Unnamed.9,Unnamed.50,Unnamed.92,Unnamed: 152,98,46,11.1,Unnamed.10,Unnamed.51,Unnamed.93,Unnamed: 159,103,49,12.1,Unnamed.11,Unnamed.52,Unnamed.94,Unnamed: 166,108,52,13.1,Unnamed.12,Unnamed.53,Unnamed.95,Unnamed: 173,113,55,14.1,Unnamed.13,Unnamed.54,Unnamed.96,Unnamed: 180,118,58.1,15.1,Unnamed.14,Unnamed.55,Unnamed.97,Unnamed: 187,123,61,16,Unnamed.15,Unnamed.56,Unnamed.98,Unnamed: 194,128,64,17.1,Unnamed.16,Unnamed.57,Unnamed.99,Unnamed: 201,133,67,18,Unnamed.17,Unnamed.58,Unnamed.100,Unnamed: 208,138,70,19.1,Unnamed.18,Unnamed.59,Unnamed.101,Unnamed: 215,143,73.1,20.1,Unnamed.19,Unnamed.60,Unnamed.102,Unnamed: 222,148,76,21,Unnamed.20,Unnamed.61,Unnamed.103,Unnamed: 229,153,79,22.1,Unnamed.21,Unnamed.62,Unnamed.104,Unnamed: 236,158,82,23.1,Unnamed.22,Unnamed.63,Unnamed.105,Unnamed: 243,163,85,24,Unnamed.23,Unnamed.64,Unnamed.106,Unnamed: 250,168,88.1,25.1,Unnamed.24,Unnamed.65,Unnamed.107,Unnamed: 257,173,91,26.1
0,0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,,14.51,22.08,21.81,45.5,45.6,22.17,22.19,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,9/7/2023,1,39,20,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,1,Pingping,US,LUM,384,(cps),0,16,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,A,0.0076003129540628146,0.0070638202749524984,0.007779143847099586,0.006225550463842629,0.007387951268581648,0.00743265899184084,0.00010059237733318431,0.007399128199396446,0.006493796803397787,0.007086174136582094,0.007779143847099586,0.007387951268581648,0.0070638202749524984,0.006013188778361462,0.0026042248798479935,0.008181513356432324,0.006002011847546664,0.003677210238068626,0.007723259193025595,0.00634849670280541,0.00538728065273276,0.0058902425393986815,0.0008941544651838605,0.056208785067620434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
