,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,22.57,22.79,40.9,40.4,23.25,23.47,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,28,28,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,152,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,272200,272200,294240,292200,271080,307040,309320,306560,288520,233360,303840,291240,279360,293680,108000,272000,276240,20640,275600,276640,262120,278040,14080,1080040,,,,,,,,,,,
B,290480,272160,286440,254560,71760,295040,275960,310680,278120,299160,308280,267040,310640,259600,290960,188320,278360,262400,199440,280760,294200,239920,16400,1257680,,,,,,,,,,,
C,266480,336160,281480,250880,322000,318440,266040,283760,294760,263760,271920,287400,338800,331440,275480,316120,180360,295600,277760,293960,255000,330680,12560,788840,,,,,,,,,,,
D,301120,290000,250480,262800,307800,292880,334120,299240,282400,269360,298520,303800,317520,255720,349640,301080,351160,285440,276280,293520,192400,285640,11160,780360,,,,,,,,,,,
E,272000,317440,290560,287440,265600,265120,272760,229760,253840,326880,270480,310200,265960,326400,254880,282360,284680,258840,287280,272280,274000,290040,13000,1049600,,,,,,,,,,,
F,264800,265920,319520,262480,321160,284720,268400,293720,300840,281760,327240,269200,327880,238760,277960,185800,292240,277560,309200,265840,279240,273000,20240,1802160,,,,,,,,,,,
G,299200,297960,283120,158400,287960,264200,290600,286880,268000,302960,289440,240920,300640,329240,320800,305920,312000,311040,268440,301400,187040,218880,9920,854560,,,,,,,,,,,
H,251480,275360,331480,296120,292040,289400,308840,266280,296480,300520,322160,289920,291960,324800,293840,276200,299440,248160,224560,259920,310840,255960,18760,1871920,,,,,,,,,,,
I,295120,294600,374720,312320,336280,286880,265240,287000,309640,280040,297640,162640,287760,334280,300920,276600,277680,302120,340240,316240,305440,248920,10200,850680,,,,,,,,,,,
J,264320,278360,248480,277560,328880,291120,260360,250440,161920,231360,282040,247200,322160,329160,308440,307120,291040,288120,305160,296600,301640,246840,24520,2366720,,,,,,,,,,,
K,294360,295880,279080,152200,281840,274640,262960,271400,262360,307920,256640,246360,258680,308520,326600,136360,271440,274120,274360,294040,283440,132160,9960,834640,,,,,,,,,,,
L,268000,286640,301160,282160,323800,284800,297200,177120,330520,275040,309320,303520,317880,337480,294000,292520,267000,278280,281920,242880,239800,212280,14520,1317920,,,,,,,,,,,
M,252200,312200,268520,279720,185760,252040,286400,296040,257200,311280,256480,270640,314000,290400,281680,298440,281000,301960,209920,268120,267960,266400,9440,840840,,,,,,,,,,,
N,298880,263040,270760,260080,241240,307920,262920,310800,281480,224720,281600,302800,322320,265560,296240,309000,298320,261560,285840,239200,79520,292560,14880,1291800,,,,,,,,,,,
O,239120,262360,283200,277000,271400,277360,273720,291080,265240,314000,274080,322240,279600,277440,286880,274240,295560,386360,232760,304480,267680,269880,13760,1284120,,,,,,,,,,,
