,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.57,21,20.92,44.4,44,21.18,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,6,47,37,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,236,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,-0.06671397879891647,-0.06760189591979165,-0.0717370527970104,-0.07285329146325349,-0.07456993123027886,-0.06620659758698778,-0.06873504729309904,-0.06295090147711209,-0.09094988802204308,-0.06112432911416884,-0.07926320744061917,-0.06622351029405207,-0.07636267817909353,-0.0684221622124097,-0.07694616657281153,-0.07223597765540693,-0.06600364510221632,-0.06765263404098452,-0.07654026160326857,-0.06740739978855234,-0.07230362848366409,-0.07374120858412869,-0.12854683582595827,0.42655357908461417,,,,,,,,,,,
8,B,-0.07138188594866034,-0.07168631467581753,-0.0741978516748645,-0.0761850947549185,-0.07517033233106114,-0.07217678318068192,-0.06845598762653828,-0.08152105383370178,-0.06837142409121683,-0.07873045716809404,-0.07445999863436098,-0.07515341962399685,-0.07954226710717993,-0.06925934121209201,-0.06994430584819573,-0.06843061856594183,-0.07275181522086777,-0.06947920640392778,-0.08432856320637382,-0.07206685058476404,-0.07567771354298983,-0.0732507400792643,-0.12704160489723654,0.5668191151222979,,,,,,,,,,,
9,C,-0.06072688049815804,-0.07381731576591799,-0.07022336551475651,-0.06710297106139512,-0.07353825609935721,-0.06788941193988458,-0.06627424841524494,-0.07019799645416007,-0.06466754124413746,-0.06526794234491973,-0.06985128595934215,-0.061437214194858196,-0.0709421555649888,-0.07149181854457821,-0.08142803394484818,-0.06818538431350964,-0.07885730247107622,-0.0896645222851571,-0.07417248261426806,-0.08276413780292706,-0.0762612019367078,-0.06916632132323842,-0.12884280819958335,0.3980133859136259,,,,,,,,,,,
