,index,z-score
0,A1,-0.20853059412397307
1,A2,-0.11875110672598134
2,A3,-0.9230439291962834
3,A4,-0.23053751725445645
4,A5,-0.14404264524907415
5,A6,-0.12553931187070752
6,A7,-0.10966367080642843
7,A8,-0.2073262351466829
8,A9,-0.16353136324522358
9,A10,-0.07878828611589958
10,A11,-0.20874956848348042
11,A12,-0.1505023888545394
12,A13,-0.2460846967794745
13,A14,-0.04101520910089078
14,A15,-0.1097731579861821
15,A16,-0.08995597845077176
16,A17,-0.32776213287569633
17,A18,0.06234068858655341
18,A19,-0.14940751705700292
19,A20,-0.13889674780065261
20,A21,-0.2121436710558435
21,A22,-0.29863854306122584
22,A23,-1.0316552115119029
23,A24,4.452886083887613
24,B1,-0.1834580299603876
25,B2,-0.23623085060164617
26,B3,-0.16473572222251373
27,B4,-0.22101213261588906
28,B5,-0.33433136366091526
29,B6,-0.19123161972289657
30,B7,-0.14250982473252308
31,B8,-0.05163546553699477
32,B9,-0.03455546549542553
33,B10,-0.448417004964217
34,B11,0.05434812446453697
35,B12,-0.2619603378437536
36,B13,-0.10418931181874608
37,B14,-0.16977213249118145
38,B15,-0.08678085023791592
39,B16,-0.15006444013552478
40,B17,-0.025030080856858122
41,B18,-0.265244953236363
42,B19,-0.056562388625908934
43,B20,-0.08097802971097252
44,B21,-0.16495469658202097
45,B22,-0.20524597873136366
46,B23,-1.0078964935053611
47,B24,5.851256343701213
48,C1,-0.1580570042575411
49,C2,-0.1188605939057349
50,C3,-0.19626802999156442
51,C4,-0.16999110685068883
52,C5,-0.4241108510589071
53,C6,-0.15948033759433852
54,C7,-0.08218238868826268
55,C8,0.14609838109809462
56,C9,-0.27794546608778625
57,C10,-0.14962649141651016
58,C11,-0.7086680312386396
59,C12,-0.342214440603178
60,C13,-0.005650850040462265
61,C14,0.015042226932977307
62,C15,-0.025358542396119167
63,C16,-0.9053070060761924
64,C17,-0.07002931173560772
65,C18,-0.012110593645927627
66,C19,-0.044847260392268475
67,C20,-0.11108700414322593
68,C21,-0.1543344401459171
69,C22,0.03485940646838766
70,C23,-1.0495016218117477
71,C24,2.6495227461652684
72,D1,-0.13101367085838997
73,D2,-0.18214418380334377
74,D3,-0.19944315820442027
75,D4,-0.12871444008356336
76,D5,-0.11218187594076241
77,D6,-0.25659546603582484
78,D7,-0.16878674787339867
79,D8,-0.18017341456777808
80,D9,0.009348893585787485
81,D10,-0.29995238921826967
82,D11,-0.07364238866747806
83,D12,0.06792453475398955
84,D13,-0.03236572190035259
85,D14,-0.08470059382259654
86,D15,-0.07736495277910219
87,D16,-0.05535802964861879
88,D17,-0.2835293122552224
89,D18,-0.08897059383298885
90,D19,-0.01222008082568131
91,D20,-0.3538200816570647
92,D21,-0.15871392733606296
93,D22,-0.315390081563534
94,D23,-1.0266188012432351
95,D24,4.707443776814848
96,E1,-0.11678033749041565
97,E2,-0.16703495299734034
98,E3,-0.01944623468942198
99,E4,-0.15148777347232217
100,E5,-0.22670546596307875
101,E6,-0.7415141851647341
102,E7,-0.2657923891351313
103,E8,-0.17798367097270515
104,E9,-0.12148828621982245
105,E10,0.03288863723282186
106,E11,-0.1341887990712457
107,E12,0.031246329536517323
108,E13,-0.1930929017787087
109,E14,-0.11623290159164736
110,E15,-0.1245539272529246
111,E16,-0.05875213222098187
112,E17,-0.17130495300773255
113,E18,0.02763325260464676
114,E19,-0.16506418376177465
115,E20,-0.17601290173713946
116,E21,-0.33290803032411787
117,E22,-0.15696213246000465
118,E23,-1.0290275191978153
119,E24,4.640985058704381
120,F1,-0.16462623504276003
121,F2,-0.16462623504276003
122,F3,-0.4097680305111791
123,F4,-0.1275100811062732
124,F5,-0.10473674771751426
125,F6,-0.2977626456231966
126,F7,-0.06499290146693987
127,F8,-0.03083290138380151
128,F9,-0.011782132106666584
129,F10,-0.25626700449656387
130,F11,-0.14404264524907415
131,F12,-0.35819956884721066
132,F13,-0.056671875805662617
133,F14,-0.15937085041458493
134,F15,-0.02076008084646593
135,F16,-0.1945162351155061
136,F17,-0.16780136325561587
137,F18,-0.19648700435107178
138,F19,-0.07429931174600003
139,F20,-0.21958879927909153
140,F21,-0.05371572195231402
141,F22,-0.2279098249403689
142,F23,-1.0053782883710272
143,F24,7.197401218772321
144,G1,-0.17207136326600808
145,G2,-0.21488085054968473
146,G3,-0.30422238922866196
147,G4,-0.2490408506328231
148,G5,-0.2308659787937174
149,G6,-0.20119495308047858
