,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.51,22.08,21.91,47.8,48.5,22.17,21.89,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,13,15,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,16,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,-0.348992728308653,-0.3431177904422498,-0.36368007297466093,-0.26086866031260536,-0.23443143991379126,-0.1521823097841468,-0.33724285257584663,-0.25205625351300065,0.05050304660676248,-0.14336990298454208,-0.3930547623066768,-0.23443143991379126,0.13275217673640693,-0.2902433496446214,-0.2667435981790086,-0.23443143991379126,-0.25793119137940385,-0.2814309428450165,-0.17861953018296112,-0.1698071233833564,-0.34605525937545145,-0.2990557564442261,-1.0745475548094443,4.859139690257756,,,,,,,,,,,
8,B,-0.20505675058177542,-0.16393218551695318,-0.11987015151892945,-0.10224533791971985,-0.011183800990470862,-0.13455749618493737,-0.019996207790075573,-0.031746083522881795,-0.040558490322486686,-0.08462052432051043,-0.2873058807114197,-0.0611207728548978,0.029940764074351367,-0.34018032150904826,0.01231595047514194,-0.058183303921696114,-0.037621021389285,-0.09930786898651835,-0.09930786898651835,-0.22561903311418655,-0.11693268258572777,-0.2638061292458071,-1.0951098373418555,3.69883946164313,,,,,,,,,,,
9,C,-0.2696810671122103,-0.2726185360454118,-0.21093168844817844,-0.18155699911616263,-0.22561903311418655,-0.15511977871734847,-0.1609947165837517,0.449998821522178,-0.24324384671339597,-0.3049306943106292,-0.18155699911616263,-0.1609947165837517,-0.24618131564659748,-0.12574508938533266,-0.21093168844817844,-0.13749496511813888,-0.26086866031260536,-0.1727445923165579,-0.2638061292458071,-0.21974409524778332,-0.34605525937545145,-0.3049306943106292,-1.0804224926758474,4.838577407725345,,,,,,,,,,,
10,D,-0.1609947165837517,-0.23149397098058955,-0.13749496511813888,-0.1316200272517357,-0.3783674176406689,-0.25793119137940385,-0.06993317965450252,-0.13749496511813888,-0.040558490322486686,-0.07580811752090572,-0.1463073719177436,-0.08462052432051043,-0.0552458349884946,-0.06405824178809931,-0.058183303921696114,-0.06405824178809931,-0.040558490322486686,-0.11105774471932474,-0.0552458349884946,-0.11105774471932474,-0.09343293112011514,-0.24618131564659748,-1.0686726169430412,4.177646897754989,,,,,,,,,,,
11,E,-0.2638061292458071,-0.26086866031260536,-0.2931808185778229,-0.1609947165837517,-0.1463073719177436,-0.0552458349884946,-0.08755799325371194,-0.06993317965450252,-0.0611207728548978,-0.008246332057269172,-0.11693268258572777,-0.17861953018296112,-0.1609947165837517,-0.09049546218691362,-0.06699571072130082,-0.09637040005331665,-0.09930786898651835,-0.06993317965450252,-0.26086866031260536,-0.11399521365252625,-0.20211928164857373,-0.19624434378217054,-1.0804224926758474,5.226323306907955,,,,,,,,,,,
12,F,-0.09637040005331665,-0.09343293112011514,-0.07287064858770402,-0.11987015151892945,0.041690639807157766,-0.008246332057269172,0.13568964566960845,-0.07287064858770402,-0.037621021389285,0.09750254953798791,0.12687723887000374,0.021128357274746653,-0.31668057004343564,0.015253419408343454,-0.07287064858770402,-0.0552458349884946,0.01819088834154514,-0.07287064858770402,-0.09637040005331665,-0.12280762045213096,-0.06405824178809931,-0.19918181271537222,-1.0892348994754522,4.574205203737202,,,,,,,,,,,
