,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,21.88,21.91,47.8,47.8,22.07,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,19,33,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
10720,11720,19600,11800,11520,12240,10920,10520,11600,12280,10160,15720,11880,12680,11920,11960,11680,12120,9360,11800,9320,11080,920,73400,,,,,,,,,,,,
12480,11320,11440,11520,11600,11360,12680,11400,12400,11120,12560,11000,12360,11840,13000,6920,12120,11840,13280,11680,12920,11560,880,59240,,,,,,,,,,,,
11560,11160,11000,11640,11280,11760,11760,7280,10080,12520,11240,12200,11480,12760,11440,12040,11680,11320,10560,12320,10840,10880,960,69480,,,,,,,,,,,,
11120,10760,12040,13120,10400,11240,11880,11160,11360,10640,12400,11400,12000,11560,9360,11920,11520,9880,12400,11720,12200,10520,840,68400,,,,,,,,,,,,
10800,11400,11520,12000,9920,12400,12400,11640,11560,11920,11840,11560,11600,11720,11280,11640,11720,11040,11680,12920,10920,11560,840,76840,,,,,,,,,,,,
11720,11560,11840,10320,13040,11920,12600,11680,12480,12120,11600,11320,12880,11120,12840,11080,12160,11920,12600,12080,13400,11600,640,65280,,,,,,,,,,,,
10880,11200,21200,11760,12000,11640,11600,12000,9760,11800,12560,11040,11280,11880,11960,12680,11200,12000,11640,11520,10720,11440,960,78840,,,,,,,,,,,,
11120,11280,11880,11080,10440,12120,12800,12080,11280,11440,12360,11440,11760,11440,11440,11120,11400,10920,12000,12200,10960,10240,960,71120,,,,,,,,,,,,
10720,11520,11040,13200,12320,12920,12840,12400,10920,12480,11480,10680,11560,11840,11600,10720,10920,9960,12400,12880,10200,11680,720,81120,,,,,,,,,,,,
11760,11360,11520,11520,11920,11240,14680,11720,13360,11600,12200,9760,12680,11200,12160,11960,12280,11800,12560,10960,12240,11520,840,67960,,,,,,,,,,,,
10760,11040,10680,12080,11000,10840,12360,12960,9880,12120,9840,11680,10960,11600,13480,11520,11360,11440,9920,11640,11120,11720,880,77120,,,,,,,,,,,,
10800,10040,11920,10800,11560,12040,12520,11040,10240,11360,11200,15640,12600,10720,13120,11200,12720,10720,10640,10280,10960,10120,680,69120,,,,,,,,,,,,
9720,9680,7760,10720,10840,10600,10520,10920,10280,10320,10280,11280,10640,9040,10440,11440,11160,11320,10120,11880,10600,10600,680,77560,,,,,,,,,,,,
10640,9960,11240,10600,11600,11000,11920,10520,12040,10360,11320,10720,10120,11040,11440,10640,12360,27120,11720,10920,11720,10240,880,64960,,,,,,,,,,,,
9880,10240,18640,10760,10240,11520,10440,11000,11240,11800,11040,11440,11480,11440,11120,11880,11160,11360,11280,11600,10720,10960,760,75680,,,,,,,,,,,,
9760,9760,9760,9240,11200,10480,11760,10840,11160,10400,11920,10360,11480,10440,10560,10560,11880,10160,11400,10760,11000,10240,680,76320,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,3,18,01,PM,,,,,,,,,,,,,,,,,,,,,,,,
