,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""""""=""""""""""""""""""""""",14.46,21.69,21.51,49.4,49.1,21.77,21.7,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,47,00,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,8920,9280,8560,9320,9560,8880,7440,9120,8840,10240,8480,9200,9320,10480,8680,9280,8920,8880,9760,9760,9080,10160,640,87960,,,,,,,,,,,,
6,9760,9560,9040,8520,9720,8960,9600,9160,10240,9240,11160,8920,13400,10480,9880,9320,8800,8240,8760,9040,9040,8280,1720,57000,,,,,,,,,,,,
7,8560,9440,8480,9440,8840,9320,9040,9440,9120,7720,9080,9520,9080,9920,9200,10200,7840,10360,9000,9320,8600,8520,1200,78600,,,,,,,,,,,,
8,9240,8520,8800,8280,9200,8880,10480,9200,8400,9240,8640,9400,9560,9240,9160,9480,10480,7720,9360,9360,8720,7440,1360,61000,,,,,,,,,,,,
9,9400,9440,8960,9240,9080,9760,9280,9480,9280,9680,9400,9960,10400,10480,9840,10320,9000,9880,9720,9760,9400,9400,1000,73680,,,,,,,,,,,,
10,9600,9280,9520,8920,10240,8920,9640,9600,10760,10120,10040,7240,10160,8520,10280,9280,10000,8440,9600,9080,9640,7200,1440,64040,,,,,,,,,,,,
11,9520,9720,9880,8160,9120,10080,9600,10280,9960,10040,9600,10440,9960,9360,8720,10320,8880,10040,9600,10440,9240,9040,1000,75080,,,,,,,,,,,,
12,10120,9080,9280,8160,9520,9600,9920,9600,10480,9680,9600,9600,9640,9240,8640,8840,10080,9080,10040,9640,9680,8840,1280,66880,,,,,,,,,,,,
13,9840,10280,9280,10800,9840,9440,10160,10120,10640,11320,10520,10200,17200,10920,8160,9800,10240,9200,10000,10200,9960,10280,840,74560,,,,,,,,,,,,
14,10520,9400,9680,9680,10400,9440,9520,9480,9080,9040,9320,9120,9880,9040,9640,8760,9160,9320,9800,10120,10400,9960,960,62160,,,,,,,,,,,,
15,9560,10280,9000,10280,10040,9720,9880,11200,9000,10040,9360,9640,9080,10760,10360,10520,9840,10400,8720,9720,9440,10880,800,80920,,,,,,,,,,,,
16,9520,9400,9320,9480,9760,8880,8520,8160,8520,8440,8120,7520,8560,8560,9080,8200,9160,9000,8480,8760,9120,8960,1080,66600,,,,,,,,,,,,
17,9000,9520,8520,9400,9120,8960,8560,8080,10720,8960,9480,9640,9120,9520,9320,10080,9240,7840,8680,8800,9000,19160,880,81800,,,,,,,,,,,,
18,9000,8920,8760,8160,9120,8480,9080,8360,9560,8680,8960,9040,9000,8520,8560,7080,9600,9160,9160,8920,10520,8200,1160,67880,,,,,,,,,,,,
19,7960,8200,8440,7920,9160,10320,9560,9840,9400,9760,9520,8720,9760,9000,9120,9000,8120,10600,9240,10600,9280,9040,1680,86480,,,,,,,,,,,,
20,7640,8360,8240,8040,8200,8440,8520,8960,13800,8440,8320,7480,8600,8120,8920,7960,8680,8440,8240,8200,8840,7920,1240,77400,,,,,,,,,,,,
21,Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Assay,ID,,,,,,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Assay,Started,,,,,,7/26/2023,3,45,25,PM,,,,,,,,,,,,,,,,,,,,,,,,
24,Assay,Finished,,,,,,7/26/2023,3,47,17,PM,,,,,,,,,,,,,,,,,,,,,,,,
25,Assay,Exported,,,,,,7/26/2023,3,47,17,PM,,,,,,,,,,,,,,,,,,,,,,,,
26,Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Serial#,,,,,,"""=""""1040181""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Start,assay,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Number,of,plate,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Start,plate,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Is,label,meas.,height,used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Height,of,measurement,,,,6.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Is,gripper,height,used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Gripper,height,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mode,of,measurement,,,,By,Rows,,bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,
