,index,z-score
0,A1,-0.19836717079881158
1,A2,-0.1415899177216082
2,A3,-0.2614530075512599
3,A4,-0.2330643810126581
4,A5,-0.2078300463116788
5,A6,-0.1132012911830064
6,A7,-0.2551444238760151
7,A8,-0.1731328360978323
8,A9,-0.1731328360978323
9,A10,-0.1447442095592306
10,A11,-0.22044721366216846
11,A12,-0.07850408096915988
12,A13,-0.2614530075512599
13,A14,0.0003532149714003988
14,A15,-0.12897275037111847
15,A16,-0.03749828708006853
16,A17,-0.15420708507209782
17,A18,-0.03749828708006853
18,A19,0.009816090484267808
19,A20,0.04451330069811433
20,A21,-0.056424038105803
21,A22,-0.06588691361867023
22,A23,-0.8607684566995185
23,A24,4.170327024308231
24,B1,-0.059578329943425413
25,B2,-0.18575000344832193
26,B3,-0.07534978913153746
27,B4,-0.15736137690972024
28,B5,-0.10058412383251676
29,B6,-0.12266416669587363
30,B7,-0.09742983199489434
31,B8,-0.11950987485825122
32,B9,-0.021726827891956478
33,B10,-0.16366996058496508
34,B11,0.060284759886226384
35,B12,-0.10689270750776157
36,B13,-0.0028010768662220125
37,B14,-0.08165837280678229
38,B15,-0.07534978913153746
39,B16,-0.23937296468790292
40,B17,-0.050115454430558176
41,B18,-0.0280354115672013
42,B19,-0.04380687075531336
43,B20,-0.09427554015727194
44,B21,-0.03749828708006853
45,B22,-0.18575000344832193
46,B23,-0.8702313322123858
47,B24,3.7413433343915834
48,C1,-0.15105279323447543
49,C2,-0.21413862998692365
50,C3,-0.2961502177651064
51,C4,-0.12897275037111847
52,C5,-0.16682425242258747
53,C6,-0.15420708507209782
54,C7,-0.19205858712356677
55,C8,-0.22044721366216846
56,C9,-0.17944141977307712
57,C10,-0.15736137690972024
58,C11,-0.18575000344832193
59,C12,-0.13528133404636328
60,C13,-0.1699785442602099
61,C14,-0.21098433814930123
62,C15,-0.15420708507209782
63,C16,-0.12581845853349605
64,C17,-0.12897275037111847
65,C18,-0.1447442095592306
66,C19,-0.13528133404636328
67,C20,-0.1762871279354547
68,C21,-0.16366996058496508
69,C22,-0.18259571161069954
70,C23,-0.8576141648618961
71,C24,4.69078517751593
72,D1,-0.021726827891956478
73,D2,-0.16682425242258747
74,D3,-0.15736137690972024
75,D4,-0.18575000344832193
76,D5,-0.11635558302062882
77,D6,-0.23937296468790292
78,D7,-0.15736137690972024
79,D8,-0.17944141977307712
80,D9,-0.059578329943425413
81,D10,-0.23621867285028053
82,D11,-0.15420708507209782
83,D12,-0.1731328360978323
84,D13,-0.0280354115672013
85,D14,-0.1762871279354547
86,D15,-0.13528133404636328
87,D16,-0.08165837280678229
88,D17,-0.18575000344832193
89,D18,-0.11635558302062882
90,D19,-0.040652578917690946
91,D20,-0.1415899177216082
92,D21,-0.12266416669587363
93,D22,-0.20467575447405642
94,D23,-0.8639227485371409
95,D24,4.201869942684455
96,E1,-0.15736137690972024
97,E2,-0.21413862998692365
98,E3,-0.292995925927484
99,E4,-0.25199013203839266
100,E5,-0.22044721366216846
101,E6,-0.19205858712356677
102,E7,-0.21413862998692365
103,E8,-0.19836717079881158
104,E9,-0.24568154836314784
105,E10,-0.18259571161069954
106,E11,-0.24252725652552543
107,E12,-0.1952128789611892
108,E13,-0.18890429528594435
