Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""""""=""""""""""""""""""""""",14.51,22.08,21.91,47.8,48.5,22.17,21.89,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,13,15,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,16,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,10880,10960,10680,12080,12440,13560,11040,12200,16320,13680,10280,12440,17440,11680,12000,12440,12120,11800,13200,13320,10920,11560,1000,81800,,,,,,,,,,,
B,12840,13400,14000,14240,15480,13800,15360,15200,15080,14480,11720,14800,16040,11000,15800,14840,15120,14280,14280,12560,14040,12040,720,66000,,,,,,,,,,,
C,11960,11920,12760,13160,12560,13520,13440,21760,12320,11480,13160,13440,12280,13920,12760,13760,12080,13280,12040,12640,10920,11480,920,81520,,,,,,,,,,,
D,13440,12480,13760,13840,10480,12120,14680,13760,15080,14600,13640,14480,14880,14760,14840,14760,15080,14120,14880,14120,14360,12280,1080,72520,,,,,,,,,,,
E,12040,12080,11640,13440,13640,14880,14440,14680,14800,15520,14040,13200,13440,14400,14720,14320,14280,14680,12080,14080,12880,12960,920,86800,,,,,,,,,,,
F,14320,14360,14640,14000,16200,15520,17480,14640,15120,16960,17360,15920,11320,15840,14640,14880,15880,14640,14320,13960,14760,12920,800,77920,,,,,,,,,,,
G,11640,12400,12120,13800,13600,14320,13560,15160,14040,15200,15000,15000,13440,13520,15000,15080,12640,14280,13160,15080,12880,14480,1000,83200,,,,,,,,,,,
H,13920,13640,14040,15240,14600,15200,15440,15320,15120,16040,20600,15080,13920,14880,14520,13600,14120,13920,14480,13840,12840,11440,1120,75520,,,,,,,,,,,
I,12640,12520,12080,13920,12800,13440,14880,15360,12960,13600,13800,15440,13760,14360,14440,14040,14760,14600,12680,28720,13080,14160,840,78000,,,,,,,,,,,
J,13840,14320,14000,14000,15960,15280,15680,15640,16520,15560,16720,15640,16560,14240,13800,13320,14040,12560,13840,12560,12800,11760,840,72680,,,,,,,,,,,
K,12160,12840,10160,13040,13400,13480,13880,14080,12200,13040,10360,13960,13440,13160,12960,13040,12240,12880,10840,12880,11240,11280,1080,83240,,,,,,,,,,,
L,12920,11760,13400,13160,14440,13640,14400,14240,15600,13240,14520,14280,14480,11880,14120,13520,13200,12240,12680,11240,11640,11080,840,70320,,,,,,,,,,,
M,10920,11440,10720,12080,11480,12120,12640,12960,11400,13120,12640,13040,11600,12720,11520,12000,10120,11480,10280,11720,10600,10280,760,82200,,,,,,,,,,,
N,13000,12080,11520,12760,14240,12720,15080,13600,14720,13920,20840,13440,14960,12000,13720,12480,12640,11160,12440,10840,12240,10080,960,75400,,,,,,,,,,,
O,10120,10960,10720,9760,10920,11280,11680,12720,11880,12320,12600,12880,12040,12680,11240,11600,10920,10640,10240,11520,10800,11240,760,87680,,,,,,,,,,,
P,11480,11560,12240,12320,13440,11240,12680,11560,12880,12320,13560,12760,13080,12480,13120,10320,11840,11840,11080,10360,11120,39120,880,82400,,,,,,,,,,,
