index,z-score
A1,-0.33436939307541347
A2,-0.28691021246563825
A3,-0.31360600155863677
A4,-0.22758623670341924
A5,-0.26021442337263967
A6,-0.24241723064397402
A7,-0.24241723064397402
A8,-0.2631806221607507
A9,-0.46488213975229514
A10,-0.18605945366986587
A11,-0.1890256524579769
A12,-0.27207921852508343
A13,-0.43818635065929656
A14,-0.15639746578875646
A15,-0.27207921852508343
A16,-0.1445326706363127
A17,-0.20682284518664254
A18,-0.1593636645768675
A19,-0.20089044761042066
A20,-0.16826226094120023
A21,-0.3996257664138543
A22,-0.23351863427964112
A23,-1.0877838852555943
A24,5.025551817041071
B1,-0.2691130197369726
B2,-0.2186876403390863
B3,-0.24241723064397402
B4,-0.23055243549153026
B5,-0.2246200379153082
B6,-0.25131582700830674
B7,-0.19495805003419878
B8,-0.19199185124608792
B9,-0.10597208639087037
B10,-0.14156647184820167
B11,-0.1445326706363127
B12,-0.1593636645768675
B13,-0.09707349002653747
B14,-0.0703777009335389
B15,-0.05554670699298428
B16,-0.15046506821253458
B17,-0.09707349002653747
B18,-0.2097890439747536
B19,-0.07334389972164992
B20,-0.18605945366986587
B21,-0.12376927911953602
B22,-0.20682284518664254
B23,-1.0759190901031506
B24,3.6877961636030334
C1,-0.28691021246563825
C2,-0.21572144155097547
C3,-0.36996377853274476
C4,-0.1890256524579769
C5,-0.25131582700830674
C6,-0.14156647184820167
C7,-0.16232986336497834
C8,-0.13266787548386894
C9,-0.26614682094886155
C10,-0.15046506821253458
C11,-0.14749886942442356
C12,-0.13266787548386894
C13,0.8254143330759677
C14,-0.10003968881464849
C15,-0.180127056093644
C16,-0.3106398027705258
C17,-0.3284369954991914
C18,-0.07927629729787182
C19,4.203914752734338
C20,-0.183093254881755
C21,-0.2750454173131945
C22,-0.301741206406193
C23,-1.10558107798426
C24,4.6310473782223145
D1,-0.2839440136775272
D2,-0.3076736039824149
D3,-0.2246200379153082
D4,-0.2097890439747536
D5,0.6919353876109748
D6,-0.1356340742719798
D7,-0.1356340742719798
D8,-0.23351863427964112
D9,-0.1890256524579769
D10,-0.23055243549153026
D11,-0.046648110628651374
D12,-0.13860027306009082
D13,-0.06444530335731702
D14,-0.11190448396709225
D15,-0.19199185124608792
D16,0.05123644937900995
D17,-0.025884719111874697
D18,-0.1356340742719798
D19,-0.08224249608598266
D20,-0.26614682094886155
D21,-0.052580508204873255
D22,-0.533104711878847
D23,-1.111513475560482
D24,3.954754054533018
E1,-0.2780116161013053
E2,-0.24241723064397402
E3,-0.24241723064397402
E4,-0.15343126700064544
E5,-0.14749886942442356
E6,-0.13266787548386894
E7,-0.12376927911953602
E8,-0.052580508204873255
E9,-0.16529606215308937
E10,-0.052580508204873255
E11,-0.15639746578875646
E12,-0.08817489366220455
E13,-0.12673547790764705
E14,-0.04368191184054034
E15,-0.08224249608598266
E16,-0.08817489366220455
E17,-0.1297016766957579
E18,0.21141118393700112
E19,-0.07927629729787182
E20,-0.10300588760275935
E21,-0.16826226094120023
E22,-0.16529606215308937
E23,-1.108547276772371
E24,4.8980052691523
F1,-0.20682284518664254
F2,-0.2750454173131945
F3,-0.20682284518664254
F4,-0.1297016766957579
F5,-0.07927629729787182
