Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
1,1,1,1,H2060210,14.01,17.61,17.72,40.4,40.3,18,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:33,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,5,1,Jez US LUM 384 (cps),0,24,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
8,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,9,A,5360,5320,5640,5320,6000,6280,6520,6800,6280,6040,6720,6040,6560,6160,6360,6160,6440,6720,5800,5720,5960,6400,34440,37000
10,10,B,5560,5520,6640,6880,5240,6880,6480,7040,11880,7120,7640,6360,8800,7920,5560,5480,6840,7120,7400,6440,6560,7480,36920,36720
11,11,C,5920,5720,6680,6640,6400,7160,5680,8160,7840,8480,7600,7400,5520,7800,8280,7520,7360,7600,7040,7400,7040,7360,37360,34920
12,12,D,6640,7040,6760,7720,6080,8120,7520,7840,8880,8320,8400,8320,8240,5880,7400,8360,8360,7480,6400,7680,7040,7800,39800,33720
13,13,E,7040,6040,6440,7720,9520,9480,7360,9760,9320,8440,9240,8760,11080,9200,10240,9960,10320,10680,34240,9320,10200,9560,49560,38440
14,14,F,7160,7480,8360,8560,9200,9800,9200,9480,10160,9480,10120,9680,13600,10240,10040,10000,9640,10640,10840,9800,10280,10000,39720,37160
15,15,G,6440,6600,7840,8280,9000,8880,7960,8800,8400,7760,9160,8400,10160,9800,9360,10400,9600,9640,8840,8080,8360,8640,38840,34520
16,16,H,6840,7280,8280,8600,8920,9720,8440,7360,8880,9160,10240,10160,9560,9680,9200,8120,9240,10200,10440,9320,9800,9160,39400,35040
17,17,I,6400,6840,7800,7520,8480,8760,7320,5880,8560,9400,8720,8520,9200,9320,9880,7480,10160,20360,9200,7920,17440,8280,36960,37240
18,18,J,6760,7000,7640,7320,7760,8760,8720,9280,9240,8200,9840,9480,6400,6920,9240,9800,7160,9160,9560,7600,9160,8320,37840,33920
19,19,K,6720,7360,7880,6920,8720,9000,8600,9400,8520,9400,8960,9560,10360,10040,8960,9920,6880,9160,10000,7800,8680,9160,40320,36240
20,20,L,6720,6600,7760,7200,8080,8160,7440,8640,9080,8640,8720,9200,7840,8920,9120,9400,9040,9160,9560,8680,9320,8680,38840,35160
21,21,M,6760,6640,8040,6760,7680,9200,9160,9200,8760,9400,9880,8920,9960,9240,9040,9320,9360,9640,9160,7480,9720,9200,41320,36800
22,22,N,7000,5280,6520,7720,7800,7800,8080,7320,7640,6520,6040,6880,9200,8680,8720,8960,8720,8600,5320,5480,9760,8160,40520,38360
