,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.34,Unnamed.35,Unnamed: 6,2,0.1,Unnamed.1,Unnamed.36,Unnamed: 11,5,1,Unnamed.2,Unnamed.37,Unnamed: 16,8,2.1,Unnamed.3,Unnamed.38,Unnamed: 21,11,3,Unnamed.4,Unnamed.39,Unnamed: 26,14,4,Unnamed.5,Unnamed.40,Unnamed: 31,17,5.1,Unnamed.6,Unnamed.41,Unnamed: 36,20,6,Unnamed.7,Unnamed.42,Unnamed: 41,23,7,Unnamed.8,Unnamed.43,Unnamed: 46,26,8.1,Unnamed.9,Unnamed.44,Unnamed: 51,29,9,Unnamed.10,Unnamed.45,Unnamed: 56,32,10,Unnamed.11,Unnamed.46,Unnamed: 61,35,11.1,Unnamed.12,Unnamed.47,Unnamed: 66,38,12,Unnamed.13,Unnamed.48,Unnamed: 71,41,13,Unnamed.14,Unnamed.49,Unnamed: 76,44,14.1,Unnamed.15,Unnamed.50,Unnamed: 81,47,15,Unnamed.16,Unnamed.51,Unnamed: 86,50,16,Unnamed.17,Unnamed.52,Unnamed: 91,53,17.1,Unnamed.18,Unnamed.53,Unnamed: 96,56,18,Unnamed.19,Unnamed.54,Unnamed: 101,59,19,Unnamed.20,Unnamed.55,Unnamed: 106,62,20.1,Unnamed.21,Unnamed.56,Unnamed: 111,65,21,Unnamed.22,Unnamed.57,Unnamed: 116,68,22,Unnamed.23,Unnamed.58,Unnamed: 121,71,23.1,Unnamed.24,Unnamed.59,Unnamed: 126,74,24,Unnamed.25,Unnamed.60,Unnamed: 131,77,25,Unnamed.26,Unnamed.61,Unnamed: 136,80,26.1,Unnamed.27,Unnamed.62,Unnamed: 141,83,27,Unnamed.28,Unnamed.63,Unnamed: 146,86,28,Unnamed.29,Unnamed.64,Unnamed: 151,89,29.1,Unnamed.30,Unnamed.65,Unnamed: 156,92,30,Unnamed.31,Unnamed.66,Unnamed: 161,95,31,Unnamed.32,Unnamed.67,Unnamed: 166,98,32.1,Unnamed.33,Unnamed.68,Unnamed: 171,101,33,Plate,information
0,0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,"""""""""""""""""""""""""""""""=""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",14.51,21.29,21.22,45.9,46.2,21.58,21.5,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,6/29/2023,4,33,25,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,1,Pingping,US,LUM,384,(cps),0,4,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,A,10240,10280,10200,10960,8800,8040,8040,10160,10160,8880,9280,10120,10520,9400,9480,10280,9720,9120,8480,11280,9120,13160,408520,374160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,B,10760,9600,9360,8800,10320,8080,10960,9160,9160,8960,9800,8840,10080,9480,9040,9400,9440,8040,6880,8040,10920,13720,537920,365200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,C,11080,11040,10040,11360,9320,10360,9000,9760,8960,9680,9000,10680,9240,12280,9400,8560,10440,10040,9240,9920,8960,12560,366400,373160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,D,10680,9720,9000,9640,9600,9760,10240,9160,9960,9680,8800,8640,9160,8920,10080,9680,10880,8800,10440,8600,9760,13080,419440,422680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,E,9000,10160,9360,11800,11280,9320,9600,7560,8680,9400,10120,8920,9840,10680,9480,10240,10160,9000,8480,9840,8760,13600,421160,461560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
