,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,1,"""""""=""""""""""""""""""""""",14.51,21.39,21.51,42.2,42,22.36,22.88,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,30,41,PM,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,Pingping,US,LUM,384,(cps),0,28,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,7,A,-0.29241243681877976,-0.15710190602472782,-0.21407476109590753,-0.17134511979252276,-0.20339235077006135,-0.2105139576539589,-0.1891491370022664,-0.15354110258277906,-0.2105139576539589,-0.14641949569888163,-0.1998315473281126,-0.16066270946667657,-0.2283179748637025,-0.13573708537303542,-0.18202753011836897,-0.167784316350574,-0.1998315473281126,-0.16066270946667657,-0.22475717142175375,-0.11437226472134304,-0.16422351290862525,-0.12505467504718923,-0.8300937565530386,4.63217872339632,,,,,,,,,,,
8,8,B,-0.17490592323447154,-0.22119636797980508,-0.16422351290862525,-0.23187877830565126,-0.13217628193108666,-0.21763556453785632,-0.14285869225693287,-0.19627074388616392,-0.16066270946667657,-0.17846672667642022,-0.167784316350574,-0.22119636797980508,-0.14285869225693287,-0.19627074388616392,-0.14285869225693287,-0.16422351290862525,-0.18558833356031773,-0.2283179748637025,-0.17134511979252276,-0.1998315473281126,-0.16422351290862525,-0.1891491370022664,-0.8229721496691412,3.952065265984112,,,,,,,,,,,
9,9,C,-0.1891491370022664,-0.12149387160524047,-0.3066556505865746,-0.16422351290862525,-0.17134511979252276,-0.1891491370022664,-0.17134511979252276,-0.1499802991408304,-0.167784316350574,-0.16422351290862525,-0.16422351290862525,-0.11081146127939427,-0.18558833356031773,-0.17490592323447154,-0.18202753011836897,-0.167784316350574,-0.18202753011836897,-0.1891491370022664,-0.17846672667642022,-0.20339235077006135,-0.1998315473281126,-0.15354110258277906,-0.8229721496691412,4.642861133722167,,,,,,,,,,,
