,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,22.47,22.59,41.4,41.4,22.95,23.27,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,58,22,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,7720,8280,8280,8160,7880,8200,7960,7600,7840,8040,7560,8280,7480,9240,8200,8800,7800,8600,7920,8400,8760,7760,800,54960,,,,,,,,,,,
B,8440,7760,8760,7680,8640,8440,8920,8160,8520,7480,8760,8160,8120,8360,8480,6840,7960,8400,8680,8080,8560,7720,1040,43160,,,,,,,,,,,
C,8040,8760,8880,8920,8360,8520,8160,8600,8320,9120,8920,8960,9240,9160,7320,8680,10440,8640,8080,8840,12560,8160,960,52200,,,,,,,,,,,
D,8840,8040,8760,8800,8120,9040,8720,8480,8720,8640,9040,9120,9120,9160,8880,8520,9160,8480,8560,8080,8760,7880,760,48160,,,,,,,,,,,
E,8200,8600,8400,8960,8320,8680,8960,9080,8240,9000,8640,8800,8680,9000,8520,9280,8400,8160,8640,8680,7440,8120,720,52440,,,,,,,,,,,
F,9240,8080,8120,7520,8720,8520,9320,8040,8960,8280,9400,8280,9240,8400,8440,8480,9440,8560,9160,8120,9000,8000,720,46480,,,,,,,,,,,
G,7760,8440,8440,8000,8360,9120,8600,9120,8880,8560,9320,8800,8680,9000,8920,9280,8360,8920,8720,8680,8080,8440,760,52480,,,,,,,,,,,
H,8520,7200,9040,8440,8680,7840,9400,8680,9360,8520,9640,8840,9440,8280,9000,8840,8520,8240,8560,8680,8600,7640,680,47240,,,,,,,,,,,
I,8280,8440,8800,9120,9240,9240,8440,9200,9280,9320,9640,9360,8920,9600,8960,9600,8760,9000,8760,9000,8680,9040,680,50720,,,,,,,,,,,
J,9160,8320,9320,8400,8960,8400,9080,8880,9840,8840,9320,8600,9320,9200,9800,8440,9720,8360,8880,8320,8960,8480,760,45840,,,,,,,,,,,
K,8400,8600,8640,8880,8920,9520,8920,8480,8960,9320,9080,8840,8920,9440,8760,8840,9040,8800,8360,8880,8120,9040,960,51360,,,,,,,,,,,
L,8120,7760,9280,8280,8960,8360,8720,8840,8560,8880,8840,9400,6880,8480,9200,8800,9400,8120,8960,8760,9080,8600,880,44920,,,,,,,,,,,
M,8000,8680,8560,9080,8400,9080,8720,9560,8560,9520,8720,8920,8680,8760,9240,9240,8840,8160,8760,8800,8320,8400,680,55160,,,,,,,,,,,
N,8960,8360,8360,8240,8800,8480,8720,8520,8600,8760,9200,8640,9400,8920,9800,8920,8640,8560,9280,8120,8680,8440,800,47200,,,,,,,,,,,
O,8360,8520,8240,8560,7880,17240,8640,8800,8840,9000,8520,8720,8000,8440,8400,8920,8280,8760,7600,8880,8400,8640,720,51400,,,,,,,,,,,
P,8640,8040,8280,7880,8200,8440,8880,8080,8440,7840,8480,8640,8760,8080,9000,8680,8360,8240,9200,8000,8760,8040,640,42800,,,,,,,,,,,
