,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,21.69,21.71,43.7,43.9,21.97,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,46,19,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,188,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,10120,11080,10400,11640,10160,10960,10120,10720,10800,11120,10280,10520,10360,10480,10320,11040,9800,10640,10200,10480,10680,11080,3120,56600,,,,,,,,,,,
B,10760,10560,10600,10080,10720,10560,10800,10400,10840,10160,10920,10000,11280,10120,11080,10080,10880,9720,10160,10000,10720,10000,2960,48280,,,,,,,,,,,
C,10560,10800,11040,10800,10880,11120,11160,10960,10920,11160,10800,10360,10360,10800,10520,11400,10680,10840,9880,10440,10320,10760,2600,54160,,,,,,,,,,,
D,10800,10560,10720,10280,11400,10120,11440,10440,11480,10600,11080,10000,10800,10320,11000,10800,10880,10640,10400,10640,10760,9680,2600,48080,,,,,,,,,,,
E,10880,11040,10440,10680,10160,11080,11000,10560,9840,10840,10560,6320,10360,9880,10400,10920,10640,10480,8560,10640,9800,9760,2680,59080,,,,,,,,,,,
F,11160,9800,10280,10560,10200,10400,10760,10240,10160,10160,10400,10120,10440,10160,10960,9600,10480,10640,10200,10200,10120,9440,2560,51360,,,,,,,,,,,
G,10000,10240,10560,10240,10880,10160,10480,9800,10400,10880,9720,10360,10280,10360,9600,11160,10040,10520,10000,10520,10440,9680,2560,59800,,,,,,,,,,,
H,10000,10160,11080,9920,11040,10600,10120,9680,11160,9720,9960,10160,10320,10000,10080,9800,10440,9760,10400,9920,10680,9840,3040,53720,,,,,,,,,,,
I,10320,10920,11080,10840,10840,10240,10400,10240,10320,10720,10280,10680,10720,10480,10080,10720,10240,10440,10480,10400,10320,10400,2640,60400,,,,,,,,,,,
J,10640,9960,10360,9960,11360,10080,11040,10600,10720,9880,10240,9760,10400,10160,10240,9960,10680,9600,10640,11120,10440,9600,3240,53160,,,,,,,,,,,
K,10760,10000,10280,10440,11080,10240,10200,10440,10480,10680,10160,10720,10680,10520,10960,11040,10800,9920,10120,10480,9520,10600,2480,63000,,,,,,,,,,,
L,10520,10000,10560,9440,10800,10320,10120,10360,11040,9800,10240,10200,10240,9720,10080,10560,11120,9640,10880,10280,9640,9440,2760,55280,,,,,,,,,,,
M,10560,10520,9960,10800,10320,10880,10560,10400,10520,10440,9960,10520,9800,10040,10120,9880,9960,10120,9920,10000,11640,9840,2600,61160,,,,,,,,,,,
N,9720,9400,10400,9560,10320,10320,11000,10160,10680,9520,9720,9480,9920,10080,10760,9680,10040,9680,10440,9680,8440,9720,2360,54880,,,,,,,,,,,
O,10200,10440,9560,9880,10040,10360,10240,10760,9280,10160,9480,10080,10120,10640,9880,10600,9680,9880,10560,9960,9920,10320,2840,63680,,,,,,,,,,,
