,,,,,,,,,,,,,,,,Plate,information,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,
1,1,,14.41,22.18,22.2,42.9,43.1,22.46,22.58,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,21,20,PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,20,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,53960,15640,26120,27880,14640,15680,16120,28880,20480,14800,12240,14200,15680,53360,14320,14440,32960,14920,33120,8280,16840,15400,1400,200000,,,,,,,,,,,,,,,,,,
B,38160,31560,30680,16200,48480,14480,36000,17680,36920,22240,15800,16080,24520,12440,16400,14200,15360,18960,16280,13960,15600,14600,1800,201880,,,,,,,,,,,,,,,,,,
C,18680,15440,29320,17760,27760,16440,21360,26240,44720,18680,17160,17240,18520,15920,40960,15800,11040,15160,15200,22800,18720,22000,1680,210280,,,,,,,,,,,,,,,,,,
D,21360,17760,17440,16240,16000,16720,18880,17080,17560,11600,16560,16960,16640,17280,18200,18360,16880,24800,30240,23000,14560,10520,1720,208240,,,,,,,,,,,,,,,,,,
E,21480,17000,17600,17240,16600,16160,33840,27040,17440,16000,18800,17080,17680,21280,18760,13760,19520,16880,31640,35680,27560,36280,1760,203160,,,,,,,,,,,,,,,,,,
F,23800,18400,12080,11120,15760,16880,17440,10000,15640,17040,18040,17320,16040,16840,9280,15720,19160,12280,15280,16520,20040,15120,1760,220600,,,,,,,,,,,,,,,,,,
G,19360,14960,18720,14680,17280,16720,17720,14520,25680,14960,17400,31840,17760,21840,18280,18040,16880,14560,15600,8160,34120,15920,1720,267000,,,,,,,,,,,,,,,,,,
H,20960,38480,15240,46880,21920,16160,18400,15640,12880,40400,17480,35760,20360,16200,23840,23360,44840,20440,15240,54760,36200,11880,1720,210040,,,,,,,,,,,,,,,,,,
I,21400,16120,26920,41920,17560,20440,17120,16000,16520,17960,26880,16840,18240,16480,42680,17280,32160,10840,16160,16800,17560,16760,1680,237400,,,,,,,,,,,,,,,,,,
J,24320,16960,15040,18560,22600,20080,50280,30520,18400,17880,17280,16240,17680,17240,16640,16480,25040,15600,17080,16760,16040,54680,1960,209320,,,,,,,,,,,,,,,,,,
K,55320,16800,19200,20480,16280,17120,49440,16040,21840,16920,15320,17400,31720,37320,17120,17360,15640,19000,21160,19880,16280,12600,1400,186480,,,,,,,,,,,,,,,,,,
L,22320,16840,13600,16240,15320,13680,16720,15960,15640,33760,13680,15000,25960,13840,16720,15400,17360,16280,15320,22040,30640,12400,1680,190080,,,,,,,,,,,,,,,,,,
M,23760,17320,25080,42240,15360,18320,14120,33200,89560,14920,16960,11920,14640,15440,35160,19080,14960,17120,16800,15680,15560,15440,1760,192520,,,,,,,,,,,,,,,,,,
N,28880,18240,16800,11760,18880,17600,17360,12080,20080,9920,15600,18480,16840,14760,18440,16600,17200,27560,16680,17240,21520,46400,1960,190520,,,,,,,,,,,,,,,,,,
O,36240,60120,20920,53680,22160,2480,72320,11840,23320,18920,44880,4600,16160,18000,16000,30120,21320,16800,15760,15200,14360,20600,1680,181400,,,,,,,,,,,,,,,,,,
P,52480,31320,28840,18440,18400,21680,20160,16440,18320,54000,16560,16320,18400,15600,20320,13520,5560,14680,17120,11320,21600,18880,1440,154600,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/30/2023,2,19,47,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Finished,,,,,,8/30/2023,2,21,34,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
