,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.57,22.67,22.1,47,47.8,22.36,22.09,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,11,14,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,11920,12560,9680,12840,13040,13680,12720,13440,12280,13200,12480,13760,13160,13880,13680,13440,12680,13040,12160,13440,12520,12400,960,74840,,,,,,,,,,,
B,11760,11960,13160,10200,13840,13760,13440,13560,14800,13200,14640,13160,14600,12680,14920,13000,13840,13120,14360,12920,14400,12960,1760,64240,,,,,,,,,,,
C,11960,12480,12400,13640,12480,13520,12640,13720,12240,14080,12080,13320,12160,12680,12920,9960,11960,13600,11960,13320,11840,12040,1360,78080,,,,,,,,,,,
D,12600,11000,12440,12120,13800,12800,14240,12840,13960,11680,12400,11680,14360,13200,13320,12680,12320,13160,13240,12920,13800,11080,1120,69720,,,,,,,,,,,
E,13080,12640,12560,13080,13280,10560,13800,14000,12560,14000,13120,13680,12400,13800,12680,13800,12800,14040,12920,13240,10840,12440,1160,84840,,,,,,,,,,,
F,12960,11480,13720,11960,13040,10040,14320,13440,15040,13760,15040,12480,14640,14320,15040,12000,13840,13560,14720,13200,14920,11720,1040,74880,,,,,,,,,,,
G,10960,12320,11920,13360,13280,13560,13520,13120,13320,13080,13200,13800,12680,13240,13120,13720,12000,12600,11400,13840,12320,13200,840,92600,,,,,,,,,,,
H,12840,11360,14360,12000,13800,12800,13000,13360,13840,14080,13680,13840,14200,12680,13480,12560,12200,11640,12400,13000,13080,11680,1000,82800,,,,,,,,,,,
I,12280,12880,13200,13360,12440,15080,13480,13240,13040,14040,13400,13600,13600,14680,13160,13040,11920,12360,10280,11720,12800,13200,1080,85640,,,,,,,,,,,
J,12280,12160,12480,12640,14280,14440,14800,13520,14640,13640,13080,13960,13440,12720,13480,13520,12480,11600,11320,10680,12600,11760,960,76440,,,,,,,,,,,
K,11640,12560,11720,13200,11320,13040,12600,13680,12440,13280,10960,12120,11120,12400,11000,12880,11800,11600,8280,10400,11080,11960,1000,89120,,,,,,,,,,,
L,11800,11080,12840,12360,12920,12720,13600,12520,13360,10960,11800,12280,13280,12400,13520,9960,12440,11960,12120,12080,12680,11280,880,73440,,,,,,,,,,,
M,10360,11280,10760,12160,12600,12680,11600,12200,11760,12680,11640,13200,11400,12160,11280,13080,11200,12080,11160,12920,11200,10920,760,84960,,,,,,,,,,,
N,11480,11000,12760,10920,12920,12000,13080,12280,14440,12240,13360,11920,12880,13040,13440,12720,12000,12080,13000,12720,12640,11480,760,71160,,,,,,,,,,,
O,11720,11920,12840,12040,12280,12480,12520,14240,12200,13040,11720,13280,11640,12840,12000,14040,11560,11840,12000,12160,11320,11000,1040,87480,,,,,,,,,,,
P,10640,11160,12360,10880,11960,11720,11800,12080,11760,11000,11800,11000,12640,10560,12320,12360,12800,11960,13040,11920,11840,11160,1040,79200,,,,,,,,,,,
