,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.51,21.39,21.51,42.2,42,22.36,22.88,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,3,30,41,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,28,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
A,6920,8440,7800,8280,7920,7840,8080,8480,7840,8560,7960,8400,7640,8680,8160,8320,7960,8400,7680,8920,8360,8800,880,62240,,,,,,,,,,,
B,8240,7720,8360,7600,8720,7760,8600,8000,8400,8200,8320,7720,8600,8000,8600,8360,8120,7640,8280,7960,8360,8080,960,54600,,,,,,,,,,,
C,8080,8840,6760,8360,8280,8080,8280,8520,8320,8360,8360,8960,8120,8240,8160,8320,8160,8080,8200,7920,7960,8480,960,62360,,,,,,,,,,,
D,9080,8160,7920,7720,7840,8040,7840,7520,8400,7120,8440,7920,8480,7920,8360,8120,8240,7440,7960,8080,8320,7520,800,54600,,,,,,,,,,,
E,8720,8600,7640,7960,7760,8040,7960,8280,7920,8400,8000,8080,7840,8120,7800,8400,7680,8240,7480,8520,7240,7240,880,61440,,,,,,,,,,,
F,8920,8120,8800,8000,8320,8200,8240,7960,8120,7560,8280,8000,7760,8200,8480,7960,8280,7920,8040,7200,8240,7480,1080,55640,,,,,,,,,,,
G,8880,8760,8360,9560,8560,8720,8320,8120,7440,8280,7800,8120,7360,7720,7680,7640,12080,8000,7520,8440,7680,8320,960,62720,,,,,,,,,,,
H,10040,9320,10040,8680,8800,8160,8400,7760,8000,7720,8240,8200,7640,7560,8360,7280,7600,7920,7840,7960,8840,7480,1160,58160,,,,,,,,,,,
I,8880,10160,9120,9960,9160,8600,8320,8240,7920,7880,8480,8120,7960,7880,7680,8440,7640,7960,7760,8360,8440,8840,1040,68840,,,,,,,,,,,
J,10360,9360,9640,9000,9080,8480,8440,2400,8080,7680,8000,7760,8600,8360,7840,7440,8360,8240,7920,7440,8880,8200,1320,64840,,,,,,,,,,,
K,10160,10400,9400,9360,8720,8200,8000,8520,7640,8080,7760,8680,8480,8160,7720,8520,7760,8360,7840,9000,8640,9440,1000,68800,,,,,,,,,,,
L,9920,9640,8680,8360,8240,7880,8200,7760,7680,7680,8560,7640,7880,7800,8040,8720,7760,7880,8120,7840,9360,8200,960,68560,,,,,,,,,,,
M,8480,9080,8320,8840,8160,8320,8360,8280,7080,7920,8120,8120,7840,8480,8240,8200,7480,8000,7600,8640,8120,8960,1080,71000,,,,,,,,,,,
N,9640,8640,8760,8240,8000,8400,8360,7680,7960,7400,7960,7760,8040,7840,7800,7960,8120,8280,8560,7640,8720,8800,1040,62920,,,,,,,,,,,
O,8560,9160,7760,8320,7840,8400,8120,8240,8320,8280,7760,7880,8240,8240,7720,8520,7960,9120,8440,8360,8360,9080,1120,73560,,,,,,,,,,,
P,8520,7800,7720,7520,8400,7200,8240,6880,8120,7280,8280,7400,8360,7640,7960,7880,8080,8120,8560,8200,8880,8720,1080,60800,,,,,,,,,,,
