,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""""""=""""""""""""""""""""""",14.57,21.69,21.71,43.6,43.6,21.97,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,26,36,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,716,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,0.14544138929088277,0.1613603473227207,0.14254703328509408,0.1476121562952243,0.15195369030390737,0.16280752532561504,0.15918958031837915,0.15267727930535455,0.14399421128798842,0.12807525325615052,0.13386396526772792,0.16642547033285093,0.14399421128798842,0.14833574529667148,0.15918958031837915,0.15050651230101303,0.14327062228654125,0.1736613603473227,0.1447178002894356,0.14905933429811866,0.15267727930535455,0.15991316931982633,0.02532561505065123,0.9971056439942113,,,,,,,,,,,
8,B,0.1678726483357453,0.14182344428364688,0.14037626628075253,0.1476121562952243,0.14544138929088277,0.15267727930535455,0.15629522431259044,0.1309696092619392,0.15629522431259044,0.1476121562952243,0.1577424023154848,0.13675832127351664,0.1678726483357453,0.14254703328509408,0.1548480463096961,0.13024602026049203,0.15412445730824892,0.15050651230101303,0.14978292329956586,0.13314037626628075,0.15412445730824892,0.1447178002894356,0.020260492040520984,0.8068017366136034,,,,,,,,,,,
9,C,0.15267727930535455,0.1577424023154848,0.14978292329956586,0.15195369030390737,0.1447178002894356,0.15557163531114326,0.13241678726483358,0.1476121562952243,0.1577424023154848,0.15340086830680175,0.15195369030390737,0.15846599131693198,0.13675832127351664,0.1476121562952243,0.14905933429811866,0.1548480463096961,0.1316931982633864,0.14688856729377714,0.15195369030390737,0.14833574529667148,0.1287988422575977,0.13314037626628075,0.015195369030390739,0.9421128798842258,,,,,,,,,,,
10,D,0.1476121562952243,0.12807525325615052,0.14978292329956586,0.1389290882778582,0.16280752532561504,0.14037626628075253,0.14544138929088277,0.15340086830680175,0.14182344428364688,0.12373371924746744,0.15557163531114326,0.15050651230101303,0.15991316931982633,0.12952243125904486,0.14399421128798842,0.14688856729377714,0.14037626628075253,0.13386396526772792,0.14254703328509408,0.1447178002894356,0.15267727930535455,0.13241678726483358,0.020984081041968163,0.7945007235890015,,,,,,,,,,,
11,E,0.14616497829232997,0.1613603473227207,0.1389290882778582,0.1353111432706223,0.14688856729377714,0.14616497829232997,0.13024602026049203,0.15195369030390737,0.1353111432706223,0.14978292329956586,0.14327062228654125,0.1512301013024602,0.13024602026049203,0.14688856729377714,0.138205499276411,0.14327062228654125,0.1410998552821997,0.14327062228654125,0.14544138929088277,0.1476121562952243,0.13241678726483358,0.1410998552821997,0.015918958031837915,0.9565846599131693,,,,,,,,,,,
12,F,0.14182344428364688,0.13386396526772792,0.14616497829232997,0.1316931982633864,0.14833574529667148,0.13314037626628075,0.13965267727930536,0.1287988422575977,0.13675832127351664,0.1353111432706223,0.14544138929088277,0.15557163531114326,0.14905933429811866,0.13748191027496381,0.14616497829232997,0.10347322720694646,0.1410998552821997,0.13603473227206947,0.14037626628075253,0.1287988422575977,0.1345875542691751,0.1316931982633864,0.023878437047756874,0.8379160636758322,,,,,,,,,,,
13,G,0.1410998552821997,0.1476121562952243,0.1447178002894356,0.0824891461649783,0.1309696092619392,0.1353111432706223,0.13024602026049203,0.14688856729377714,0.13965267727930536,0.1447178002894356,0.1345875542691751,0.13748191027496381,0.13603473227206947,0.14254703328509408,0.1476121562952243,0.13675832127351664,0.1345875542691751,0.14833574529667148,0.1287988422575977,0.1476121562952243,0.13386396526772792,0.14905933429811866,0.01447178002894356,0.9949348769898697,,,,,,,,,,,
14,H,0.12807525325615052,0.1353111432706223,0.1447178002894356,0.12445730824891461,0.1389290882778582,0.11070911722141824,0.14399421128798842,0.12952243125904486,0.1447178002894356,0.12373371924746744,0.1447178002894356,0.13386396526772792,0.1353111432706223,0.13314037626628075,0.15050651230101303,0.13024602026049203,0.1389290882778582,0.12662807525325614,0.1345875542691751,0.12301013024602026,0.13603473227206947,0.12301013024602026,0.01085383502170767,0.8422575976845152,,,,,,,,,,,
