,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,1,"""""""=""""""""""""""""""""""",14.51,21.88,21.71,43.6,43.7,22.07,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,4,44,21,PM,,,,,,,
2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,Pingping,US,LUM,384,(cps),0,212,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,7,A,-0.23522479897193754,-0.07314858137802278,-0.0814601822802748,-0.0814601822802748,-0.1396413885960392,-0.20613419581405543,-0.18951099400955143,-0.1770435926561733,-0.22691319806968555,-0.11886238634040909,-0.20197839536292952,-0.14379718904716512,-0.22275739761855962,-0.21028999626518152,-0.1396413885960392,-0.23938059942306364,-0.22275739761855962,-0.16457619130279522,-0.16457619130279522,-0.20197839536292952,-0.19366679446067733,-0.18535519355842534,-0.9749572792723692,4.868098155010815,,,,,,,,,,,
8,8,B,-0.08977178318252697,-0.18535519355842534,-0.1396413885960392,-0.1770435926561733,-0.1521087899494173,-0.21444579671630745,-0.1271739872426611,-0.20613419581405543,-0.03990217776901475,-0.16457619130279522,-0.11886238634040909,-0.19366679446067733,-0.15626459040054322,-0.18535519355842534,-0.08561598273140089,-0.22275739761855962,-0.1271739872426611,-0.1354855881449131,-0.15626459040054322,-0.23522479897193754,-0.18951099400955143,-0.26015960167869373,-0.9791130797234953,4.327844096364433,,,,,,,,,,,
9,9,C,-0.1521087899494173,-0.1022391845359049,-0.2560038012275677,-0.11886238634040909,-0.1521087899494173,-0.16042039085166931,-0.18951099400955143,-0.056525379573518775,-0.23106899852081164,-0.15626459040054322,-0.1811993931072994,-0.123018186791535,-0.1313297876937872,-0.14379718904716512,-0.21444579671630745,-0.18951099400955143,-0.1521087899494173,-0.15626459040054322,-0.18535519355842534,-0.22275739761855962,-0.1687319917539213,-0.19366679446067733,-0.9541782770167391,4.755891542830413,,,,,,,,,,,
10,10,D,-0.1313297876937872,-0.1354855881449131,-0.09808338408477899,-0.15626459040054322,-0.123018186791535,-0.16457619130279522,-0.044057978220140674,-0.1728877922050474,-0.14379718904716512,-0.20197839536292952,-0.1271739872426611,-0.18535519355842534,-0.1271739872426611,-0.18535519355842534,-0.08977178318252697,-0.1687319917539213,-0.14379718904716512,-0.22275739761855962,-0.1271739872426611,-0.21860159716743352,-0.1354855881449131,-0.1770435926561733,-1.0040478824302512,4.032782264334485,,,,,,,,,,,
11,11,E,-0.1479529894982912,-0.1354855881449131,-0.16457619130279522,-0.11055078543815708,-0.106394984987031,-0.0814601822802748,-0.1521087899494173,-0.1811993931072994,-0.15626459040054322,-0.1479529894982912,-0.20197839536292952,-0.1770435926561733,-0.1521087899494173,-0.21860159716743352,-0.1396413885960392,-0.14379718904716512,-0.20613419581405543,-0.19366679446067733,-0.1521087899494173,-0.1687319917539213,-0.26015960167869373,-0.20613419581405543,-0.9666456783701172,5.138225184334006,,,,,,,,,,,
12,12,F,-0.1521087899494173,-0.1313297876937872,-0.1687319917539213,-0.08977178318252697,-0.1354855881449131,-0.106394984987031,-0.16457619130279522,-0.23522479897193754,-0.19782259491180343,-0.1521087899494173,-0.06068118002464469,-0.1354855881449131,-0.1521087899494173,-0.18535519355842534,-0.07730438182914888,-0.21444579671630745,-0.16042039085166931,-0.24769220032531564,-0.16042039085166931,-0.2560038012275677,-0.15626459040054322,-0.18951099400955143,-0.9624898779189911,4.307065094108802,,,,,,,,,,,
13,13,G,-0.1479529894982912,-0.16457619130279522,-0.18951099400955143,-0.05236957912239268,-0.18951099400955143,-0.123018186791535,-0.123018186791535,-0.16042039085166931,0.07646023486251388,-0.1354855881449131,-0.20613419581405543,-0.123018186791535,-0.15626459040054322,-0.22275739761855962,-0.23522479897193754,-0.106394984987031,-0.19366679446067733,-0.21028999626518152,-0.15626459040054322,-0.1811993931072994,-0.15626459040054322,-0.20197839536292952,-0.9749572792723692,5.1465367852362585,,,,,,,,,,,
14,14,H,-0.22275739761855962,-0.19782259491180343,-0.18951099400955143,-0.1811993931072994,-0.06483698047577079,-0.26015960167869373,-0.056525379573518775,-0.1687319917539213,-0.18951099400955143,-0.21860159716743352,-0.106394984987031,-0.20197839536292952,-0.1479529894982912,-0.21444579671630745,-0.1728877922050474,-0.22691319806968555,-0.1313297876937872,-0.1728877922050474,-0.1521087899494173,-0.21028999626518152,-0.15626459040054322,-0.21028999626518152,-0.9832688801746212,4.290441892304298,,,,,,,,,,,
15,15,I,-0.25184800077644176,-0.11055078543815708,-0.114706585889283,-0.1271739872426611,-0.1354855881449131,-0.114706585889283,-0.1313297876937872,-0.14379718904716512,-0.18951099400955143,-0.1354855881449131,-0.18951099400955143,-0.19366679446067733,-0.1479529894982912,-0.1354855881449131,-0.16457619130279522,-0.1313297876937872,-0.21028999626518152,-0.09808338408477899,-0.24353639987418974,-0.06068118002464469,-0.25184800077644176,-0.18535519355842534,-1.0082036828813774,5.1590041865896366,,,,,,,,,,,
16,16,J,-0.1811993931072994,-0.20613419581405543,-0.11886238634040909,-0.123018186791535,-0.1313297876937872,-0.1313297876937872,-0.07730438182914888,-0.1521087899494173,-0.20613419581405543,-0.1521087899494173,-0.14379718904716512,-0.21444579671630745,-0.1770435926561733,-0.24769220032531564,-0.1396413885960392,-0.1521087899494173,-0.1396413885960392,-0.24353639987418974,-0.1479529894982912,-0.18535519355842534,-0.15626459040054322,-0.18535519355842534,-0.9915804810768732,4.09096347065025,,,,,,,,,,,
17,17,K,-0.1687319917539213,-0.11886238634040909,-0.19366679446067733,-0.09808338408477899,-0.28509440438544986,-0.1687319917539213,-0.14379718904716512,-0.1354855881449131,-0.15626459040054322,-0.1728877922050474,-0.1728877922050474,-0.1687319917539213,-0.22275739761855962,-0.20613419581405543,-0.20197839536292952,-0.1271739872426611,-0.1687319917539213,-0.20613419581405543,-0.19782259491180343,-0.11886238634040909,-0.18535519355842534,-0.20197839536292952,-0.9957362815279993,5.042641773958108,,,,,,,,,,,
18,18,L,-0.16457619130279522,-0.19782259491180343,-0.1354855881449131,-0.22275739761855962,-0.1521087899494173,-0.09808338408477899,-0.26015960167869373,-0.21860159716743352,-0.14379718904716512,-0.20613419581405543,-0.1687319917539213,-0.22275739761855962,-0.18951099400955143,-0.1811993931072994,-0.1770435926561733,-0.20613419581405543,-0.11055078543815708,0.14295304208053028,-0.1770435926561733,-0.19782259491180343,-0.1271739872426611,-0.24769220032531564,-0.9583340774678651,4.672775533807892,,,,,,,,,,,
19,19,M,-0.16042039085166931,-0.114706585889283,-0.15626459040054322,-0.1521087899494173,-0.21860159716743352,-0.15626459040054322,-0.24353639987418974,-0.14379718904716512,-0.21444579671630745,-0.1687319917539213,-0.23106899852081164,-0.1770435926561733,-0.18951099400955143,-0.1354855881449131,-0.15626459040054322,-0.14379718904716512,-0.18951099400955143,-0.1770435926561733,-0.1479529894982912,-0.18535519355842534,-0.21860159716743352,-0.15626459040054322,-1.0165152837836293,5.05095337486036,,,,,,,,,,,
