,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""""""=""""""""""""""""""""""",14.57,22.37,21.71,41.7,41.4,22.17,22.29,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/7/2023,5,51,23,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,176,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,
7,A,0.1512101511709877,0.1497806845774262,0.14774418422495497,0.16456489386700085,0.1575154695699851,0.14803791023733062,0.1465105349729772,0.16689512023184774,0.15238505522049034,0.13017936868489074,0.1511122425001958,0.17627477089371035,0.1769992950575703,0.18024986292786088,0.14801832850317223,0.13082556591211716,0.16875538497689355,0.1524046369546487,0.12563640636014725,0.15383410354821023,0.15581185869820632,0.13609305240072062,0.0005678702905929349,0.4735842406203493,,,,,,,,,,,
8,B,0.16125558079423513,0.1484687083888149,0.15637972898879926,0.14972193937495104,0.16756089919323255,0.1577896138482024,0.16540690843581107,0.13092347458290907,0.1517388579932639,0.1706743949244145,0.15003524712148508,0.15346205059920107,0.15972820552988173,0.18001488211796038,0.16626850473877966,0.16072687397195895,0.1498394297799013,0.1706939766585729,0.17570690060311742,0.13699381217200596,0.1442977990130806,0.13548601864181092,0.0,0.4162097595363045,,,,,,,,,,,
9,C,0.1428487506853607,0.16152972507245242,0.1798190647763766,0.18489073392339625,0.17096812093679017,0.10709250411216417,0.17322002036500353,0.1649761102843268,0.15330539672593405,0.14365160178585415,0.1656418892457116,0.17441450614866452,0.1649761102843268,0.1679525338764001,0.17719511239915406,0.16154930680661078,0.18328503172240934,0.1642711678546252,0.1510339155635623,0.15399075742147725,0.1553223153442469,0.15483277199028747,0.002408553301480379,0.652365473486332,,,,,,,,,,,
