Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""H2061404""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/22/2023 3:46:34 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,8,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
B,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
C,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
D,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
E,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
F,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
G,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
H,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
I,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
J,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
K,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
L,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
M,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
N,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
O,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
P,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,"=""H2061404""",14.01,17.9,17.92,48.1,48.6,18.2,18.21,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/22/2023 3:46:34 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,8,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,4600,4360,4280,4960,4520,4760,4680,4680,4520,4640,4960,4320,5200,4600,4480,4800,4600,4560,4840,4680,4320,4560,27880,28440,
B,4200,4320,4240,4520,5000,4560,4720,5040,4280,4400,4640,4520,5040,4520,4520,4560,4400,4600,4280,4480,4040,4480,29120,29040,
C,4400,4520,5280,4520,4520,4680,4360,4640,4400,4680,4720,4520,4800,5040,4840,4880,4480,4640,4800,4240,4560,4920,29880,29680,
