Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,H2060512,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,2023-02-15 15:02:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Jez US LUM 384 (cps),0,252,0.25,00:00:00,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
B,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
C,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
D,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
E,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
F,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
G,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
H,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
I,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
J,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
K,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
L,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
M,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
N,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
O,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
P,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
1,1,H2060512,14.01,17.31,17.52,22.3,22.3,17.8,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,2023-02-15 15:02:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Jez US LUM 384 (cps),0,252,0.25,00:00:00,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,43792,55168,49840,51264,43872,50896,46928,54096,40624,50208,51680,57968,54368,53456,47008,48368,48720,42816,43648,51408,42512,56512,299344,276640
B,51408,61376,51168,48656,52832,47744,43840,43856,43824,53552,54336,47472,57328,44512,39936,40720,50800,47664,44752,50352,51360,48928,282624,280992
C,50096,48064,47808,42464,46064,43728,50976,44768,38976,47216,45712,43360,46512,46592,52000,49072,42784,36528,43584,42256,41424,41264,267216,270448
D,58384,45264,48288,53168,32976,44704,46448,45616,45312,44800,42432,44752,42768,44544,44192,43424,46784,43664,38784,41808,47696,45744,280736,267136
E,48512,43792,240304,49392,276400,53136,39376,41840,46272,51456,47040,57232,43728,51920,42240,54080,45424,42176,40400,58304,46976,41072,267184,269888
F,56544,52496,55104,47104,50080,42704,43456,41344,32064,40288,44640,37680,41520,39664,35728,48816,45168,40128,43648,43312,45440,53296,254848,273280
G,50688,52816,47728,50928,43328,51072,45952,48656,45552,49184,53184,41488,43360,47952,56048,43152,48368,47280,49936,50064,41120,51168,250448,255968
H,53424,46240,47856,42032,43952,47616,84528,56176,51888,45904,37904,41072,47552,47392,37648,39296,33648,41600,45984,47376,43568,43808,262560,261504
I,54224,55008,50736,42480,39120,45744,46368,40528,49392,47376,46256,40832,49840,44208,42096,52000,47520,50480,46144,40496,49504,50048,264288,259968
J,54448,47952,42480,47856,46832,48208,40816,43232,39152,46352,46480,45392,41856,37216,31232,44592,46240,42448,43248,48048,39840,41392,273376,267360
K,41184,50784,45968,48800,19104,46400,53952,41344,42608,42208,51856,40976,41728,456512,49504,47440,53360,41616,41088,41408,47312,34032,284800,263408
L,49104,41136,46688,52208,52400,50240,41136,41984,41920,39632,42624,42320,46544,44080,47888,42784,40048,45104,42176,49616,44816,38416,264336,257312
M,52192,41888,40848,56128,39488,51840,51472,43776,45648,45376,38672,39120,41728,36544,43872,44736,43792,38528,43392,44144,43536,46144,253664,258736
N,37600,42432,42896,36704,41824,49136,42304,42320,49760,43328,40656,39568,40688,47456,40848,47328,44112,46256,45760,38720,44336,52832,274464,267824
O,44736,55680,41488,55808,43952,19216,47856,38736,36528,47712,46112,41008,44064,55168,45760,35920,44336,48816,41168,40752,46528,48992,260480,251808
P,35952,40960,39424,45792,46480,36832,45456,35760,44000,43344,38208,39200,51744,46144,38576,37488,46768,43344,42192,44864,47664,51696,247296,246656
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,458,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,2023-02-15 14:59:00,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,2023-02-15 15:02:00,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,2023-02-15 15:02:00,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1051054,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,
Start assay repeat each,,,,,,,,,,,,,,,,,,,,,,,,
