,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.69,Unnamed.70,Unnamed: 6,2,0.2,Unnamed.34,Unnamed.35,Unnamed.71,Unnamed: 12,6,2.2,0.1,Unnamed.1,Unnamed.36,Unnamed.72,Unnamed: 19,11,5,1,Unnamed.2,Unnamed.37,Unnamed.73,Unnamed: 26,16,8,2.1,Unnamed.3,Unnamed.38,Unnamed.74,Unnamed: 33,21,11.2,3,Unnamed.4,Unnamed.39,Unnamed.75,Unnamed: 40,26,14,4,Unnamed.5,Unnamed.40,Unnamed.76,Unnamed: 47,31,17,5.1,Unnamed.6,Unnamed.41,Unnamed.77,Unnamed: 54,36,20,6.1,Unnamed.7,Unnamed.42,Unnamed.78,Unnamed: 61,41,23,7,Unnamed.8,Unnamed.43,Unnamed.79,Unnamed: 68,46,26.2,8.1,Unnamed.9,Unnamed.44,Unnamed.80,Unnamed: 75,51,29,9,Unnamed.10,Unnamed.45,Unnamed.81,Unnamed: 82,56,32,10,Unnamed.11,Unnamed.46,Unnamed.82,Unnamed: 89,61,35,11.1,Unnamed.12,Unnamed.47,Unnamed.83,Unnamed: 96,66,38,12,Unnamed.13,Unnamed.48,Unnamed.84,Unnamed: 103,71,41.1,13,Unnamed.14,Unnamed.49,Unnamed.85,Unnamed: 110,76,44,14.1,Unnamed.15,Unnamed.50,Unnamed.86,Unnamed: 117,81,47,15,Unnamed.16,Unnamed.51,Unnamed.87,Unnamed: 124,86,50,16.1,Unnamed.17,Unnamed.52,Unnamed.88,Unnamed: 131,91,53,17.1,Unnamed.18,Unnamed.53,Unnamed.89,Unnamed: 138,96,56.1,18,Unnamed.19,Unnamed.54,Unnamed.90,Unnamed: 145,101,59,19,Unnamed.20,Unnamed.55,Unnamed.91,Unnamed: 152,106,62,20.1,Unnamed.21,Unnamed.56,Unnamed.92,Unnamed: 159,111,65,21.1,Unnamed.22,Unnamed.57,Unnamed.93,Unnamed: 166,116,68,22,Unnamed.23,Unnamed.58,Unnamed.94,Unnamed: 173,121,71.1,23.1,Unnamed.24,Unnamed.59,Unnamed.95,Unnamed: 180,126,74,24,Unnamed.25,Unnamed.60,Unnamed.96,Unnamed: 187,131,77,25,Unnamed.26,Unnamed.61,Unnamed.97,Unnamed: 194,136,80,26.1,Unnamed.27,Unnamed.62,Unnamed.98,Unnamed: 201,141,83,27,Unnamed.28,Unnamed.63,Unnamed.99,Unnamed: 208,146,86.1,28,Unnamed.29,Unnamed.64,Unnamed.100,Unnamed: 215,151,89,29.1,Unnamed.30,Unnamed.65,Unnamed.101,Unnamed: 222,156,92,30,Unnamed.31,Unnamed.66,Unnamed.102,Unnamed: 229,161,95,31.1,Unnamed.32,Unnamed.67,Unnamed.103,Unnamed: 236,166,98,32.1,Unnamed.33,Unnamed.68,Unnamed.104,Unnamed: 243,171,101.1,33,Plate,information
0,0,0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""=""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",14.51,21.69,22.1,43.9,44.5,22.75,22.58,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,6/29/2023,3,38,37,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,Results,for,Pingping,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,7,A,0.0014019346698443853,0.0014119484889147022,0.00162223868939136,0.0014419899461256534,0.0012417135647193127,0.002032805271274359,0.0012216859265786785,0.0010013819070317038,0.0010013819070317038,0.001381907031703751,0.001291782660070898,0.0017724459754461157,0.0011515891930864593,0.0018625703470789689,0.0011315615549458253,0.0019426808996415052,0.0010214095451723379,0.001832528889868018,0.0011015200977348742,0.0014419899461256534,0.0015421281368288237,0.002413330395946406,0.11177424846287877,0.12276942180208689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,8,B,0.002112915823836895,0.0011916444693677274,0.0014319761270553363,0.001321824117281849,0.0010414371833129719,0.0011616030121567764,0.0013518655744928,0.0013017964791412148,0.0012116721075083616,0.0013017964791412148,0.0015221004986881897,0.0016322525084616771,0.0012717550219302637,0.0017023492419538963,0.001321824117281849,0.0014419899461256534,0.0014920590414772385,0.0014119484889147022,0.0017323906991648474,0.0014019346698443853,0.0015721695940397748,0.002583565320141796,0.12143758386573471,0.11238509142616811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,9,C,0.001592197232180409,0.0014019346698443853,0.0014119484889147022,0.0018425427089383349,0.0015020728605475557,0.002122929642907212,0.0015020728605475557,0.001872584166149286,0.0015321143177585068,0.0017624321563757986,0.0012316997456489956,0.0016622939656726283,0.0010814924595942401,0.002223067833610382,0.0017023492419538963,0.002102902004766578,0.0012817688410005808,0.0019927499949930903,0.0018625703470789689,0.001602211051250726,0.0014019346698443853,0.0023031783861729186,0.11469828363141135,0.12008571829124191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
