,0
0,"['A1', '0.003493653196692675']"
1,"['A2', '0.004464112417996196']"
2,"['A3', '0.004153565467179069']"
3,"['A4', '0.004037110360622646']"
4,"['A5', '0.0035712899343969566']"
5,"['A6', '0.004231202204883351']"
6,"['A7', '0.009976320795000194']"
7,"['A8', '0.00652148596715966']"
8,"['A9', '0.004425294049144055']"
9,"['A10', '0.0055122083770039985']"
10,"['A11', '0.006832032917976787']"
11,"['A12', '0.006210939016342534']"
12,"['A13', '0.004580567524552618']"
13,"['A14', '0.004891114475369745']"
14,"['A15', '0.004580567524552618']"
15,"['A16', '0.005939210434377547']"
16,"['A17', '0.0030666511393191258']"
17,"['A18', '0.005356934901595435']"
18,"['A19', '0.004386475680291914']"
19,"['A20', '0.004891114475369745']"
20,"['A21', '0.00279492255735414']"
21,"['A22', '0.007996583983541012']"
22,"['A23', '0.46073521990605953']"
23,"['A24', '0.45122471953728505']"
24,"['B1', '0.003648926672101238']"
25,"['B2', '0.0024067388688327317']"
26,"['B3', '0.00558984511470828']"
27,"['B4', '0.004347657311439774']"
28,"['B5', '0.005939210434377547']"
29,"['B6', '0.006288575754046815']"
30,"['B7', '0.006637941073716082']"
31,"['B8', '0.0046582042622569']"
32,"['B9', '0.0054345716392997165']"
33,"['B10', '0.004968751213074027']"
34,"['B11', '0.005046387950778308']"
35,"['B12', '0.005162843057334731']"
36,"['B13', '0.006210939016342534']"
37,"['B14', '0.005978028803229688']"
38,"['B15', '0.005978028803229688']"
39,"['B16', '0.004968751213074027']"
40,"['B17', '0.003532471565544816']"
41,"['B18', '0.0038430185163619425']"
42,"['B19', '0.006327394122898956']"
43,"['B20', '0.0054733900081518575']"
44,"['B21', '0.0036101083032490976']"
45,"['B22', '0.009083498311400954']"
46,"['B23', '0.5167113077908466']"
47,"['B24', '0.471604363184659']"
48,"['C1', '0.0046582042622569']"
49,"['C2', '0.005939210434377547']"
50,"['C3', '0.001824463336050619']"
51,"['C4', '0.006016847172081829']"
52,"['C5', '0.007103761499941772']"
53,"['C6', '0.008656496254027406']"
54,"['C7', '0.006948488024533209']"
55,"['C8', '0.007259034975350335']"
56,"['C9', '0.007724855401576026']"
57,"['C10', '0.006715577811420364']"
58,"['C11', '0.005745118590116843']"
59,"['C12', '0.00469702263110904']"
60,"['C13', '0.00419238383603121']"
61,"['C14', '0.006249757385194674']"
62,"['C15', '0.006366212491751097']"
63,"['C16', '0.004580567524552618']"
64,"['C17', '0.007026124762237491']"
65,"['C18', '0.006832032917976787']"
66,"['C19', '0.006560304336011801']"
67,"['C20', '0.006249757385194674']"
68,"['C21', '0.004619385893404759']"
69,"['C22', '0.009083498311400954']"
70,"['C23', '0.5198944140367222']"
71,"['C24', '0.5066961686269943']"
72,"['D1', '0.005279298163891153']"
73,"['D2', '0.0048522961065176045']"
74,"['D3', '0.0029113776639105625']"
75,"['D4', '0.004037110360622646']"
76,"['D5', '0.004541749155700477']"
77,"['D6', '0.005667481852412562']"
78,"['D7', '0.005939210434377547']"
79,"['D8', '0.006482667598307519']"
80,"['D9', '0.0053957532704475755']"
81,"['D10', '0.0053957532704475755']"
82,"['D11', '0.00558984511470828']"
83,"['D12', '0.006793214549124646']"
84,"['D13', '0.006754396180272505']"
85,"['D14', '0.005861573696673266']"
86,"['D15', '0.007336671713054617']"
87,"['D16', '0.006793214549124646']"
88,"['D17', '0.007724855401576026']"
89,"['D18', '0.006948488024533209']"
90,"['D19', '0.00652148596715966']"
91,"['D20', '0.005861573696673266']"
92,"['D21', '0.005667481852412562']"
93,"['D22', '0.011529055549085827']"
94,"['D23', '0.584604634913241']"
95,"['D24', '0.5560343154380653']"
96,"['E1', '0.004968751213074027']"
97,"['E2', '0.005240479795039012']"
98,"['E3', '0.0055122083770039985']"
99,"['E4', '0.0054733900081518575']"
100,"['E5', '0.00558984511470828']"
101,"['E6', '0.00791894724583673']"
102,"['E7', '0.007026124762237491']"
103,"['E8', '0.007802492139280307']"
104,"['E9', '0.007686037032723885']"
105,"['E10', '0.005551026745856139']"
106,"['E11', '0.011451418811381545']"
107,"['E12', '0.007608400295019603']"
108,"['E13', '0.006560304336011801']"
109,"['E14', '0.003493653196692675']"
110,"['E15', '0.0027172858196498582']"
111,"['E16', '0.00512402468848259']"
112,"['E17', '0.005007569581926168']"
113,"['E18', '0.005318116532743294']"
114,"['E19', '0.0030666511393191258']"
115,"['E20', '0.006909669655681069']"
116,"['E21', '0.0054733900081518575']"
117,"['E22', '0.009083498311400954']"
118,"['E23', '0.5708629323395831']"
119,"['E24', '0.5904273902410621']"
120,"['F1', '0.004619385893404759']"
121,"['F2', '0.0047746593688133224']"
122,"['F3', '0.005318116532743294']"
123,"['F4', '0.006715577811420364']"
124,"['F5', '0.004541749155700477']"
125,"['F6', '0.004153565467179069']"
126,"['F7', '0.007220216606498195']"
127,"['F8', '0.0028725592950584215']"
128,"['F9', '0.005551026745856139']"
129,"['F10', '0.00558984511470828']"
130,"['F11', '0.005745118590116843']"
131,"['F12', '0.005822755327821125']"
132,"['F13', '0.006443849229455378']"
133,"['F14', '0.006948488024533209']"
134,"['F15', '0.007491945188463181']"
135,"['F16', '0.006909669655681069']"
136,"['F17', '0.0053957532704475755']"
137,"['F18', '0.005551026745856139']"
138,"['F19', '0.004270020573735492']"
139,"['F20', '0.004541749155700477']"
140,"['F21', '0.004968751213074027']"
141,"['F22', '0.010092775901556616']"
142,"['F23', '0.6343309654128334']"
143,"['F24', '0.5863514615115872']"
144,"['G1', '0.00326074298357983']"
145,"['G2', '0.004541749155700477']"
146,"['G3', '0.005900392065525406']"
147,"['G4', '0.005240479795039012']"
148,"['G5', '0.005046387950778308']"
149,"['G6', '0.008617677885175265']"
150,"['G7', '0.006016847172081829']"
151,"['G8', '0.006676759442568223']"
152,"['G9', '0.00558984511470828']"
153,"['G10', '0.007841310508132448']"
154,"['G11', '0.00745312681961104']"
155,"['G12', '0.006249757385194674']"
156,"['G13', '0.005978028803229688']"
157,"['G14', '0.005085206319630449']"
158,"['G15', '0.006482667598307519']"
159,"['G16', '0.006754396180272505']"
160,"['G17', '0.0054733900081518575']"
161,"['G18', '0.006210939016342534']"
162,"['G19', '0.006909669655681069']"
163,"['G20', '0.005240479795039012']"
164,"['G21', '0.003920655254066224']"
165,"['G22', '0.007841310508132448']"
166,"['G23', '0.6434532820930865']"
167,"['G24', '0.7208182912154031']"
168,"['H1', '0.005318116532743294']"
169,"['H2', '0.00372656340980552']"
170,"['H3', '0.005356934901595435']"
171,"['H4', '0.005162843057334731']"
172,"['H5', '0.007064943131089632']"
173,"['H6', '0.006599122704863941']"
174,"['H7', '0.005978028803229688']"
175,"['H8', '0.0048522961065176045']"
176,"['H9', '0.006676759442568223']"
177,"['H10', '0.0048522961065176045']"
178,"['H11', '0.005706300221264703']"
179,"['H12', '0.00326074298357983']"
180,"['H13', '0.00791894724583673']"
181,"['H14', '0.005745118590116843']"
182,"['H15', '0.004580567524552618']"
183,"['H16', '0.005318116532743294']"
184,"['H17', '0.007996583983541012']"
185,"['H18', '0.00698730639338535']"
186,"['H19', '0.005667481852412562']"
187,"['H20', '0.0034548348278405343']"
188,"['H21', '0.00885058809828811']"
189,"['H22', '0.009898684057295912']"
190,"['H23', '0.6825821978960445']"
191,"['H24', '0.6591747214782034']"
192,"['I1', '0.005240479795039012']"
193,"['I2', '0.0048134777376654635']"
194,"['I3', '0.0054733900081518575']"
195,"['I4', '0.004270020573735492']"
196,"['I5', '0.00791894724583673']"
197,"['I6', '0.007297853344202476']"
198,"['I7', '0.0054345716392997165']"
199,"['I8', '0.007259034975350335']"
200,"['I9', '0.005706300221264703']"
201,"['I10', '0.006288575754046815']"
202,"['I11', '0.005822755327821125']"
203,"['I12', '0.006327394122898956']"
204,"['I13', '0.0012810061721206475']"
205,"['I14', '0.006948488024533209']"
206,"['I15', '0.004270020573735492']"
207,"['I16', '0.007647218663871744']"
208,"['I17', '0.00698730639338535']"
209,"['I18', '0.009199953417957377']"
210,"['I19', '0.010053957532704477']"
211,"['I20', '0.0073754900819067585']"
212,"['I21', '0.005046387950778308']"
213,"['I22', '0.008074220721245293']"
214,"['I23', '0.7197701952563953']"
215,"['I24', '0.7209347463219595']"
216,"['J1', '0.004580567524552618']"
217,"['J2', '0.0038430185163619425']"
218,"['J3', '0.005279298163891153']"
219,"['J4', '0.004580567524552618']"
220,"['J5', '0.008501222778618842']"
221,"['J6', '0.011606692286790109']"
222,"['J7', '0.004425294049144055']"
223,"['J8', '0.005007569581926168']"
224,"['J9', '0.006870851286828928']"
225,"['J10', '0.0010092775901556616']"
226,"['J11', '0.007686037032723885']"
227,"['J12', '0.00093164085245138']"
228,"['J13', '0.004270020573735492']"
229,"['J14', '0.006676759442568223']"
230,"['J15', '0.006443849229455378']"
231,"['J16', '0.006948488024533209']"
232,"['J17', '0.007686037032723885']"
233,"['J18', '0.006599122704863941']"
234,"['J19', '0.00745312681961104']"
235,"['J20', '0.008578859516323124']"
236,"['J21', '0.005628663483560421']"
237,"['J22', '0.011451418811381545']"
238,"['J23', '0.7428671247234191']"
239,"['J24', '0.7476029657233803']"
240,"['K1', '0.0038818368852140835']"
241,"['K2', '0.0048134777376654635']"
242,"['K3', '0.004891114475369745']"
243,"['K4', '0.004619385893404759']"
244,"['K5', '0.0046582042622569']"
245,"['K6', '0.008074220721245293']"
246,"['K7', '0.005162843057334731']"
247,"['K8', '0.004270020573735492']"
248,"['K9', '0.005939210434377547']"
249,"['K10', '0.00558984511470828']"
250,"['K11', '0.00512402468848259']"
251,"['K12', '0.005861573696673266']"
252,"['K13', '0.006832032917976787']"
253,"['K14', '0.006327394122898956']"
254,"['K15', '0.007181398237646054']"
255,"['K16', '0.006754396180272505']"
256,"['K17', '0.005861573696673266']"
257,"['K18', '0.006676759442568223']"
258,"['K19', '0.0054345716392997165']"
259,"['K20', '0.006482667598307519']"
260,"['K21', '0.00372656340980552']"
261,"['K22', '0.010131594270408757']"
262,"['K23', '0.7637125887970188']"
263,"['K24', '0.8314506424440045']"
264,"['L1', '0.004735840999961181']"
265,"['L2', '0.0033383797212841117']"
266,"['L3', '0.00512402468848259']"
267,"['L4', '0.003998291991770506']"
268,"['L5', '0.005628663483560421']"
269,"['L6', '0.005162843057334731']"
270,"['L7', '0.005822755327821125']"
271,"['L8', '0.0048522961065176045']"
272,"['L9', '0.007647218663871744']"
273,"['L10', '0.0055122083770039985']"
274,"['L11', '0.00605566554093397']"
275,"['L12', '0.007686037032723885']"
276,"['L13', '0.005783936958968984']"
277,"['L14', '0.005046387950778308']"
278,"['L15', '0.004075928729474787']"
279,"['L16', '0.00279492255735414']"
280,"['L17', '0.006443849229455378']"
281,"['L18', '0.0']"
282,"['L19', '0.00605566554093397']"
283,"['L20', '0.005745118590116843']"
284,"['L21', '0.00558984511470828']"
285,"['L22', '0.00834594930321028']"
286,"['L23', '0.8318388261325259']"
287,"['L24', '0.8052094250999573']"
288,"['M1', '0.0033771980901362523']"
289,"['M2', '0.0055122083770039985']"
290,"['M3', '0.004968751213074027']"
291,"['M4', '0.0054345716392997165']"
292,"['M5', '0.0053957532704475755']"
293,"['M6', '0.0055122083770039985']"
294,"['M7', '0.006172120647490393']"
295,"['M8', '0.005085206319630449']"
296,"['M9', '0.004580567524552618']"
297,"['M10', '0.004231202204883351']"
298,"['M11', '0.004891114475369745']"
299,"['M12', '0.006870851286828928']"
300,"['M13', '0.005046387950778308']"
301,"['M14', '0.006870851286828928']"
302,"['M15', '0.0017080082294941967']"
303,"['M16', '0.006637941073716082']"
304,"['M17', '0.00512402468848259']"
305,"['M18', '0.003959473622918365']"
306,"['M19', '0.004891114475369745']"
307,"['M20', '0.006832032917976787']"
308,"['M21', '0.0014362796475292107']"
309,"['M22', '0.008268312565505998']"
310,"['M23', '0.8147975622064361']"
311,"['M24', '0.8699196459764761']"
312,"['N1', '0.002989014401614844']"
313,"['N2', '0.002950196032762703']"
314,"['N3', '0.0046582042622569']"
315,"['N4', '0.0024843756065370134']"
316,"['N5', '0.005900392065525406']"
317,"['N6', '0.004464112417996196']"
318,"['N7', '0.0024843756065370134']"
319,"['N8', '0.0048134777376654635']"
320,"['N9', '0.004891114475369745']"
321,"['N10', '0.004968751213074027']"
322,"['N11', '0.006172120647490393']"
323,"['N12', '0.005628663483560421']"
324,"['N13', '0.00652148596715966']"
325,"['N14', '0.004114747098326928']"
326,"['N15', '0.006676759442568223']"
327,"['N16', '0.0046582042622569']"
328,"['N17', '0.007103761499941772']"
329,"['N18', '0.0034548348278405343']"
330,"['N19', '0.004075928729474787']"
331,"['N20', '0.006560304336011801']"
332,"['N21', '0.004270020573735492']"
333,"['N22', '0.00888940646714025']"
334,"['N23', '0.9007026124762237']"
335,"['N24', '0.8324599200341601']"
336,"['O1', '0.0026784674507977176']"
337,"['O2', '0.003493653196692675']"
338,"['O3', '0.0038042001475098015']"
339,"['O4', '0.002562012344241295']"
340,"['O5', '0.004891114475369745']"
341,"['O6', '0.0054345716392997165']"
342,"['O7', '0.0008540041147470983']"
343,"['O8', '0.005551026745856139']"
344,"['O9', '0.0047746593688133224']"
345,"['O10', '0.005900392065525406']"
