,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,1,"""=""""H2061404""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/22/2023 3:46:34 PM,,,,,,,,,,,,,,
2,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
4,1,Jez US LUM 384 (cps),0,8,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
5,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
7,A,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
8,B,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
9,C,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
10,D,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
11,E,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
12,F,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
13,G,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
14,H,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
15,I,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
16,J,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
17,K,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
18,L,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
19,M,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
20,N,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
21,O,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
22,P,0.74480837069,0.74480837069,,,,,,,,,,,,,,,,,,,,,0.74480837069,0.74480837069,
23,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
24,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
25,1,1,"""=""""H2061404""""""",14.01,17.9,17.92,48.1,48.6,18.2,18.21,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/22/2023 3:46:34 PM,,,,,,,,,
26,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
28,1,Jez US LUM 384 (cps),0,8,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
29,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
30,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
31,A,-0.308412359593351,-0.3399904168895985,-0.3505164359883477,-0.26104527364897967,-0.3189383786921001,-0.2873603213958527,-0.2978863404946018,-0.2978863404946018,-0.3189383786921001,-0.3031493500439765,-0.26104527364897967,-0.34525342643897317,-0.22946721635273223,-0.308412359593351,-0.3242013882414748,-0.282097311846478,-0.308412359593351,-0.3136753691427256,-0.2768343022971035,-0.2978863404946018,-0.34525342643897317,-0.3136753691427256,2.75465919814266,2.828341331833904,-0.9136584577714287
32,B,-0.3610424550870969,-0.34525342643897317,-0.35577944553772234,-0.3189383786921001,-0.25578226409960514,-0.3136753691427256,-0.29262333094522724,-0.25051925455023055,-0.3505164359883477,-0.334727407340224,-0.3031493500439765,-0.3189383786921001,-0.25051925455023055,-0.3189383786921001,-0.3189383786921001,-0.3136753691427256,-0.334727407340224,-0.308412359593351,-0.3505164359883477,-0.3242013882414748,-0.38209449328459527,-0.3242013882414748,2.917812494173272,2.9072864750745233,-0.9136584577714287
