,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
1,1,1,H2060210,14.01,17.61,17.72,40.4,40.3,18,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:33,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,1,Jez US LUM 384 (cps),0,24,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,A,-0.6152079147251419,-0.6198621532541315,-0.5826282450222148,-0.6198621532541315,-0.5407400982613083,-0.5081604285583811,-0.48023499738444336,-0.4476553276815161,-0.5081604285583811,-0.5360858597323186,-0.4569638047394953,-0.5360858597323186,-0.4755807588554537,-0.5221231441453498,-0.4988519515004018,-0.5221231441453498,-0.4895434744424226,-0.4569638047394953,-0.5640112909062562,-0.5733197679642354,-0.5453943367902979,-0.49419771297141213,2.7684234958503025,3.066294761705637
10,B,-0.591936722080194,-0.5965909606091835,-0.46627228179747454,-0.4383468506235369,-0.6291706303121108,-0.4383468506235369,-0.484889235913433,-0.41972989650757847,0.14343296550016407,-0.4104214194495992,-0.3499163185727343,-0.4988519515004018,-0.21494340123203573,-0.31733664886980706,-0.591936722080194,-0.6012451991381732,-0.44300108915252656,-0.4104214194495992,-0.377841749746672,-0.4895434744424226,-0.4755807588554537,-0.3685332726886928,3.056986284647658,3.03371509200271
11,C,-0.5500485753192875,-0.5733197679642354,-0.46161804326848493,-0.46627228179747454,-0.49419771297141213,-0.40576718092060965,-0.5779740064932251,-0.28941121769586947,-0.32664512592778633,-0.2521773094639526,-0.35457055710172397,-0.377841749746672,-0.5965909606091835,-0.33129936445677594,-0.27544850210890065,-0.3638790341597032,-0.3824959882756616,-0.35457055710172397,-0.41972989650757847,-0.377841749746672,-0.41972989650757847,-0.3824959882756616,3.1081829084665435,2.8242743581981773
12,D,-0.46627228179747454,-0.41972989650757847,-0.45230956621050566,-0.3406078415147551,-0.531431621203329,-0.2940654562248591,-0.3638790341597032,-0.32664512592778633,-0.2056349241740565,-0.27079426357991104,-0.26148578652193183,-0.27079426357991104,-0.28010274063789026,-0.554702813848277,-0.377841749746672,-0.2661400250509214,-0.2661400250509214,-0.3685332726886928,-0.49419771297141213,-0.34526208004374476,-0.41972989650757847,-0.33129936445677594,3.39209145873491,2.6846472023284895
13,E,-0.41972989650757847,-0.5360858597323186,-0.4895434744424226,-0.3406078415147551,-0.1311671077102228,-0.13582134623921244,-0.3824959882756616,-0.1032416765362852,-0.1544383003551708,-0.25683154799294217,-0.16374677741315002,-0.21959763976102536,0.05034819492037185,-0.1684010159421397,-0.047390814188409944,-0.07997048389133711,-0.03808233713043065,0.003805809630475809,2.745152303205354,-0.1544383003551708,-0.05204505271739952,-0.12651286918123322,4.5277256598083735,3.2338473487492627
14,F,-0.40576718092060965,-0.3685332726886928,-0.2661400250509214,-0.24286883240597337,-0.1684010159421397,-0.09858743800729555,-0.1684010159421397,-0.13582134623921244,-0.056699291246389096,-0.13582134623921244,-0.06135352977537867,-0.11255015359426435,0.3435652222467171,-0.047390814188409944,-0.0706620068333579,-0.07531624536234754,-0.117204392123254,-0.0008484288985137655,0.022422763746434253,-0.09858743800729555,-0.042736575659420226,-0.07531624536234754,3.3827829816769306,3.0849117158215957
15,G,-0.4895434744424226,-0.47092652032646415,-0.32664512592778633,-0.27544850210890065,-0.1916722085870877,-0.2056349241740565,-0.3126824103408175,-0.21494340123203573,-0.26148578652193183,-0.33595360298576554,-0.17305525447112927,-0.26148578652193183,-0.056699291246389096,-0.09858743800729555,-0.14978406182618123,-0.028773860072451505,-0.12185863065224357,-0.117204392123254,-0.21028916270304615,-0.29871969475384863,-0.2661400250509214,-0.23356035534799416,3.2803897340391592,2.7777319729082817
16,H,-0.44300108915252656,-0.3918044653336408,-0.27544850210890065,-0.23821459387698382,-0.2009806856450669,-0.10789591506527478,-0.25683154799294217,-0.3824959882756616,-0.2056349241740565,-0.17305525447112927,-0.047390814188409944,-0.056699291246389096,-0.12651286918123322,-0.11255015359426435,-0.1684010159421397,-0.2940654562248591,-0.16374677741315002,-0.05204505271739952,-0.024119621543461783,-0.1544383003551708,-0.09858743800729555,-0.17305525447112927,3.3455490734450137,2.8382370737851463
