,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,1,"""=""""H2060640""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:31:37 PM,,,,,,,,,,,,,,
2,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
4,1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
5,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
7,A,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
8,B,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
9,C,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
10,D,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
11,E,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
12,F,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
13,G,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
14,H,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
15,I,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
16,J,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
17,K,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
18,L,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
19,M,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
20,N,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
21,O,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
22,P,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
23,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
24,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
25,1,1,"""=""""H2060640""""""",14.01,17.41,17.52,52.9,52.7,17.9,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,1/6/2023 8:31:37 PM,,,,,,,,,
26,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
28,1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
29,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
30,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
31,A,0.04354853606723931,0.04802807795326498,0.05102983282534405,0.05513992795788307,0.053893045164865615,0.052091992241618174,0.04701209938117669,0.0553246513346264,0.059065299713678764,0.059665650688094575,0.058511129583448784,0.057772236076475476,0.06035836335088205,0.057171885102059665,0.06003509744158123,0.0580955019857763,0.058511129583448784,0.0599889165973954,0.06118961854622702,0.05463193867183892,0.055232289646254734,0.06114343770204119,0.9241710538468643,0.8328253440472891,0.0
32,B,0.045026323081185926,0.04932114159046827,0.05356977925556479,0.05463193867183892,0.06091253348111204,0.05994273575320957,0.059665650688094575,0.06114343770204119,0.05925002309042209,0.059665650688094575,0.05901911886949293,0.07642929712755149,0.055832640620670546,0.062251777962501156,0.06317539484621779,0.06497644776946522,0.06326775653458945,0.06239032049505865,0.06543825621132354,0.05791077860903297,0.06442227763923525,0.06894800036944676,0.9858224808349496,0.8602105846494874,0.0
33,C,0.04798189710907915,0.0522767156183615,0.05587882146485638,0.05828022536251962,0.057171885102059665,0.05994273575320957,0.06289830978110279,0.062251777962501156,0.06229795880668699,0.06239032049505865,0.06215941627412949,0.06409901172993443,0.06511499030202272,0.06474554354853607,0.06590006465318186,0.07065669160432253,0.06834764939503093,0.06571534127643854,0.06035836335088205,0.06917890459037591,0.06488408608109356,0.06987161725316339,0.8954927496074628,0.8843631661586774,0.0
34,D,0.050983651981158215,0.05624826821834303,0.06077399094855454,0.061235799390412855,0.061466703611342016,0.060635448415997044,0.06206705458575783,0.0618823312090145,0.06608478802992519,0.06280594809273113,0.06137434192297035,0.07010252147409254,0.061789969520642835,0.06793202179735845,0.06442227763923525,0.06719312829038515,0.06312921400203196,0.06322157569040363,0.06488408608109356,0.06650041562759768,0.06511499030202272,0.07093377666943752,0.8890736122656322,0.821049228779902,0.0
35,E,0.05860349127182045,0.06266740556017364,0.06396046919737693,0.06728548997875682,0.07019488316246421,0.06797820264154429,0.06248268218343031,0.06710076660201349,0.06645423478341184,0.06830146855084511,0.06723930913457098,0.08155537083217881,0.07088759582525168,0.06793202179735845,0.06899418121363259,0.03634432437424956,0.06871709614851759,0.03371201625565715,0.1498106585388381,0.06830146855084511,0.07033342569502171,0.07490532926941905,0.9969058834395492,0.8452018102890921,0.0
36,F,0.06077399094855454,0.06511499030202272,0.0656691604322527,0.06793202179735845,0.06686986238108433,0.06525353283458021,0.06631569225085435,0.0630368523136603,0.05047566269511407,0.04899787568116745,0.06705458575782765,0.0714879467996675,0.06848619192758844,0.06922508543456174,0.06640805393922601,0.07024106400665005,0.07684492472522397,0.06617714971829686,0.06474554354853607,0.07190357439733998,0.07365844647640159,0.07873833933684307,1.0,0.860025861272744,0.0
37,G,0.0580955019857763,0.06077399094855454,0.06239032049505865,0.06229795880668699,0.06728548997875682,0.06382192666481944,0.06405283088574859,0.06451463932760691,0.06317539484621779,0.06659277731596934,0.06405283088574859,0.028863027616144822,0.06945598965549091,0.0668236815368985,0.06802438348573012,0.06723930913457098,0.06686986238108433,0.06557679874388103,0.06760875588805763,0.06834764939503093,0.06197469289738616,0.0735199039438441,0.9107324281887873,0.7888149995381916,0.0
38,H,0.059296203934607924,0.061789969520642835,0.06095871432529787,0.06285212893691697,0.06239032049505865,0.06405283088574859,0.06506880945783688,0.06474554354853607,0.06871709614851759,0.06506880945783688,0.06631569225085435,0.06705458575782765,0.06354484159970444,0.06663895816015517,0.06626951140666851,0.06636187309504017,0.02447584741849081,0.06331393737877529,0.07190357439733998,0.07019488316246421,0.06913272374619008,0.07268864874849912,0.9314214463840399,0.7785166712847511,0.0
39,I,0.05569409808811305,0.061789969520642835,0.06359102244389027,0.06091253348111204,0.06497644776946522,0.06308303315784612,0.06035836335088205,0.06423755426249192,0.06446845848342107,0.0634986607555186,0.06257504387180197,0.06516117114620855,0.06511499030202272,0.06631569225085435,0.06252886302761615,0.06331393737877529,0.06964071303223424,0.06594624549736769,0.07033342569502171,0.07093377666943752,0.0677011175764293,0.07134940426711,0.8707859979680429,0.7781472245312644,0.0
40,J,0.04973676918814076,0.06017363997413873,0.058511129583448784,0.06562297958806687,0.06590006465318186,0.0647917243927219,0.059111480557864596,0.06432991595086358,0.06405283088574859,0.059665650688094575,0.06414519257412025,0.06483790523690773,0.06571534127643854,0.06289830978110279,0.06917890459037591,0.06645423478341184,0.06765493673224346,0.06608478802992519,0.06862473446014593,0.07204211692989748,0.06446845848342107,0.0688556386810751,0.9134109171515655,0.8217419414426895,0.0
41,K,0.0572180659462455,0.062020873741571995,0.0658077029648102,0.06428373510667774,0.0658077029648102,0.07388935069733074,0.07199593608571164,0.05190726886487485,0.06793202179735845,0.0731042763461716,0.06700840491364182,0.07051814907176503,0.06973307472060589,0.0693174471229334,0.06469936270435024,0.06663895816015517,0.07485914842523321,0.07111850004618084,0.11009513253902281,0.07444352082756073,0.07268864874849912,0.07134940426711,0.8251593239124411,0.8283919830054494,0.0
42,L,0.05781841692066131,0.06853237277177426,0.06322157569040363,0.06414519257412025,0.06820910686247345,0.06673131984852683,0.06548443705550938,0.06432991595086358,0.06211323542994366,0.06562297958806687,0.0634986607555186,0.07176503186478249,0.06737785166712848,0.06723930913457098,0.06936362796711924,0.06733167082294264,0.11397432345063267,0.07578276530894985,0.07453588251593239,0.07268864874849912,0.0677011175764293,0.07901542440195806,0.839475385610049,0.8335180567100766,0.0
43,M,0.06026600166251039,0.06848619192758844,0.07088759582525168,0.0714879467996675,0.07361226563221576,0.06913272374619008,0.07019488316246421,0.0695945321880484,0.07139558511129583,0.06968689387642006,0.06968689387642006,0.0751362334903482,0.06811674517410178,0.07476678673686155,0.07088759582525168,0.0726424679043133,0.07555186108802069,0.07167267017641082,0.08215572180659463,0.08908284843446938,0.03301930359286968,0.08617345525076199,0.8378590560635448,0.8392906622333056,0.0
44,N,0.0610048951694837,0.06405283088574859,0.07014870231827838,0.07361226563221576,0.06848619192758844,0.07037960653920754,0.07167267017641082,0.07107231920199501,0.07084141498106586,0.07088759582525168,0.07199593608571164,0.07328899972291493,0.07522859517871987,0.08326406206705458,0.07582894615313568,0.07347372309965826,0.08067793479264801,0.07402789322988824,0.07993904128567471,0.08063175394846218,0.015378221113881962,0.08063175394846218,0.8524060219820818,0.8561004895169484,0.0
45,O,0.06262122471598781,0.07070287244850836,0.07139558511129583,0.06839383023921677,0.06839383023921677,0.07001015978572088,0.06894800036944676,0.07499769095779071,0.07111850004618084,0.07139558511129583,0.07001015978572088,0.07545949939964902,0.07255010621594163,0.058141682829962134,0.0771681906345248,0.07282719128105662,0.08488039161355869,0.07601366952987901,0.07578276530894985,0.04890551399279579,0.08090883901357716,0.08829777408331024,0.8804377944028817,0.8159693359194606,0.0
46,P,0.058326406206705456,0.06326775653458945,0.0630368523136603,0.0637757458206336,0.06359102244389027,0.06608478802992519,0.06705458575782765,0.06594624549736769,0.06594624549736769,0.06483790523690773,0.06719312829038515,0.06737785166712848,0.06506880945783688,0.06876327699270343,0.06252886302761615,0.06534589452295188,0.06599242634155353,0.06645423478341184,0.06783966010898679,0.06262122471598781,0.0627597672485453,0.06973307472060589,0.8887041655121456,0.839475385610049,0.0
47,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
48,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
49,2,1,"""=""""H2060638""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:34:12 PM,,,,,,,,,,,,,,
50,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
51,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
52,2,Jez US LUM 384 (cps),0,40,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
53,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,
54,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
55,A,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
56,B,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
57,C,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
58,D,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
