,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,1,"""=""""H2060640""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:31:37 PM,,,,,,,,,,,,,,
2,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
4,1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
5,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
7,A,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
8,B,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
9,C,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
10,D,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
11,E,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
12,F,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
13,G,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
14,H,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
15,I,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
16,J,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
17,K,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
18,L,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
19,M,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
20,N,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
21,O,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
22,P,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
23,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
24,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
25,1,1,"""=""""H2060640""""""",14.01,17.41,17.52,52.9,52.7,17.9,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,1/6/2023 8:31:37 PM,,,,,,,,,
26,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
28,1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
29,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
30,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
31,A,-0.38109835396300173,-0.36068356395795625,-0.3470035500370495,-0.32827245405303873,-0.3339549213740307,-0.3421629297265748,-0.36531372251580163,-0.32743060704252136,-0.31038320507954525,-0.30764720229536396,-0.3129087461110973,-0.3162761341531667,-0.304490276005924,-0.319012136937348,-0.3059635082743293,-0.3148029018847613,-0.3129087461110973,-0.3061739700269586,-0.3007019644585959,-0.3305875333319614,-0.32785153054778005,-0.3009124262112252,3.6321968069257795,3.2159034602249554,-0.5795637866924642
32,B,-0.374363577878863,-0.35479063488433493,-0.3354281536424361,-0.3305875333319614,-0.30196473497437193,-0.3063844317795879,-0.30764720229536396,-0.3009124262112252,-0.30954135806902794,-0.30764720229536396,-0.31059366683217465,-0.23124958609091548,-0.3251155277635987,-0.2958613441481212,-0.2916521090955345,-0.2834441007429905,-0.29123118559027583,-0.2952299588902332,-0.2813394832166971,-0.31564474889527866,-0.2859696417745425,-0.26534439001686766,3.913163246685941,3.340707279534151,-0.5795637866924642
33,C,-0.3608940257105856,-0.3413210827160575,-0.3249050660109694,-0.313961054874244,-0.319012136937348,-0.3063844317795879,-0.2929148796113105,-0.2958613441481212,-0.29565088239549187,-0.2952299588902332,-0.2962822676533799,-0.28744287404294777,-0.28281271548510245,-0.28449640950613714,-0.27923486569040373,-0.2575573051695823,-0.26808039280104906,-0.2800767127009211,-0.304490276005924,-0.264292081253721,-0.28386502424824916,-0.26113515496428097,3.501500058542963,3.450778776159293,-0.5795637866924642
34,D,-0.34721401178967887,-0.3232213719899347,-0.3025961202322599,-0.3004915027059666,-0.29943919394281987,-0.3032275054901479,-0.2967031911586385,-0.2975450381691559,-0.2783930186798864,-0.2933358031165692,-0.29986011744807856,-0.2600828462011343,-0.2979659616744146,-0.26997454857471304,-0.2859696417745425,-0.2733419366167824,-0.2918625708481638,-0.2914416473429052,-0.28386502424824916,-0.2764988629062224,-0.28281271548510245,-0.25629453465380625,3.472245874927485,3.1622357133044754,-0.5795637866924642
35,E,-0.3124878226058386,-0.2939671883744572,-0.28807425930083586,-0.2729210131115237,-0.2596619226958757,-0.2697640868220837,-0.29480903538497455,-0.27376286012204104,-0.2767093246588518,-0.26829085455367835,-0.27313147486415307,-0.20788833154905934,-0.25650499640643565,-0.26997454857471304,-0.26513392826423837,-0.41393038737317794,-0.2663966987800144,-0.42592670727305004,0.10317413883709722,-0.26829085455367835,-0.2590305374379876,-0.2381948239276835,3.9636740673169815,3.2723072099296178,-0.5795637866924642
36,F,-0.3025961202322599,-0.28281271548510245,-0.28028717445355045,-0.26997454857471304,-0.2748151688851877,-0.2821813302272145,-0.27734070991673976,-0.2922834943534225,-0.3495290910686015,-0.3562638671527402,-0.27397332187467044,-0.2537689936222543,-0.26744900754316103,-0.2640816195010917,-0.2769197864114811,-0.2594514609432463,-0.2293554303172515,-0.27797209517462773,-0.28449640950613714,-0.25187483784859027,-0.24387729124867558,-0.22072649845944878,3.977775004743147,3.339865432523634,-0.5795637866924642
37,G,-0.3148029018847613,-0.3025961202322599,-0.2952299588902332,-0.29565088239549187,-0.2729210131115237,-0.28870564455872383,-0.28765333579557717,-0.2855487182692838,-0.2916521090955345,-0.27607793940096376,-0.28765333579557717,-0.44802519129913015,-0.263029310737945,-0.2750256306378171,-0.2695536250694544,-0.27313147486415307,-0.2748151688851877,-0.28070809795880913,-0.2714477808431184,-0.26808039280104906,-0.2971241146638972,-0.24450867650656355,3.5709524369106433,3.0153334099692,-0.5795637866924642
38,H,-0.3093308963163986,-0.2979659616744146,-0.3017542732217426,-0.29312534136393986,-0.2952299588902332,-0.28765333579557717,-0.2830231772377318,-0.28449640950613714,-0.2663966987800144,-0.2830231772377318,-0.27734070991673976,-0.27397332187467044,-0.28996841507449983,-0.2758674776483344,-0.2775511716693691,-0.27713024816411047,-0.4680190577989169,-0.2910207238376465,-0.25187483784859027,-0.2596619226958757,-0.2645025430063504,-0.2482969880538916,3.665239302088585,2.9684004391328584,-0.5795637866924642
39,I,-0.32574691302148673,-0.2979659616744146,-0.28975795332187054,-0.30196473497437193,-0.2834441007429905,-0.2920730326007932,-0.304490276005924,-0.2868114887850598,-0.28575918002191314,-0.2901788768271292,-0.29438811187971586,-0.28260225373247316,-0.28281271548510245,-0.27734070991673976,-0.29459857363234515,-0.2910207238376465,-0.2621874637274276,-0.27902440393777445,-0.2590305374379876,-0.25629453465380625,-0.2710268573378597,-0.2544003788801423,3.388903020886269,2.9667167451118233,-0.5795637866924642
40,J,-0.35289647911067085,-0.30533212301644125,-0.3129087461110973,-0.2804976362061798,-0.27923486569040373,-0.2842859477535078,-0.31017274332691597,-0.2863905652798011,-0.28765333579557717,-0.30764720229536396,-0.2872324122903185,-0.28407548600087845,-0.2800767127009211,-0.2929148796113105,-0.264292081253721,-0.2767093246588518,-0.2712373190904891,-0.2783930186798864,-0.26681762228527306,-0.25124345259070224,-0.28575918002191314,-0.26576531352212635,3.5831592185631447,3.1653926395939154,-0.5795637866924642
41,K,-0.3188016751847187,-0.29691365291126787,-0.2796557891956624,-0.2866010270324305,-0.2796557891956624,-0.24282498248552892,-0.25145391434333164,-0.3430047767370922,-0.26997454857471304,-0.2464028322802276,-0.2741837836272997,-0.25818869042747034,-0.26176654022216905,-0.263660695995833,-0.2847068712587664,-0.2758674776483344,-0.23840528568031288,-0.255452687643289,-0.07782296842413057,-0.24029944145397686,-0.2482969880538916,-0.2544003788801423,3.1809668092884857,3.19569913197254,-0.5795637866924642
42,L,-0.31606567240053735,-0.26723854579053175,-0.2914416473429052,-0.2872324122903185,-0.26871177805893703,-0.27544655414307573,-0.28112902146406776,-0.2863905652798011,-0.29649272940600924,-0.2804976362061798,-0.2901788768271292,-0.2525062231064783,-0.27250008960626504,-0.27313147486415307,-0.26345023424320363,-0.2727105513588944,-0.06014418120326648,-0.23419605062772614,-0.2398785179487182,-0.2482969880538916,-0.2710268573378597,-0.21946372794367275,3.24620995260358,3.2190603865143954,-0.5795637866924642
43,M,-0.30491119951118256,-0.26744900754316103,-0.25650499640643565,-0.2537689936222543,-0.24408775300130486,-0.2645025430063504,-0.2596619226958757,-0.262397925480057,-0.254189917127513,-0.26197700197479834,-0.26197700197479834,-0.23714251516453685,-0.2691327015641957,-0.23882620918557154,-0.25650499640643565,-0.2485074498065209,-0.23524835939087285,-0.25292714661173693,-0.205152328764878,-0.1735830658704778,-0.42908363356249,-0.18684215628612585,3.2388437912615533,3.2453681055930628,-0.5795637866924642
44,N,-0.3015438114691132,-0.28765333579557717,-0.25987238444850497,-0.24408775300130486,-0.26744900754316103,-0.2588200756853583,-0.25292714661173693,-0.2556631493959183,-0.25671545815906494,-0.25650499640643565,-0.25145391434333164,-0.24556098526971026,-0.23672159165927817,-0.20010124670177398,-0.23398558887509682,-0.24471913825919292,-0.2118871048490167,-0.24219359722764086,-0.21525449289108603,-0.212097566601646,-0.5094800230668959,-0.212097566601646,3.3051392433397937,3.3219761835501407,-0.5795637866924642
45,O,-0.2941776501270865,-0.25734684341695296,-0.254189917127513,-0.2678699310484197,-0.2678699310484197,-0.260503769706393,-0.26534439001686766,-0.23777390042242483,-0.255452687643289,-0.254189917127513,-0.260503769706393,-0.23566928289613154,-0.24892837331177958,-0.314592440132132,-0.2278821980488461,-0.24766560279600355,-0.1927350853597473,-0.23314374186457948,-0.23419605062772614,-0.3566847906579989,-0.21083479608587005,-0.1771609156651765,3.4328895271857998,3.139084920515249,-0.5795637866924642
46,P,-0.31375059312161463,-0.29123118559027583,-0.2922834943534225,-0.28891610631135317,-0.28975795332187054,-0.2783930186798864,-0.27397332187467044,-0.27902440393777445,-0.27902440393777445,-0.28407548600087845,-0.2733419366167824,-0.27250008960626504,-0.2830231772377318,-0.266186237027385,-0.29459857363234515,-0.2817604067219558,-0.2788139421851451,-0.2767093246588518,-0.2703954720799717,-0.2941776501270865,-0.29354626486919855,-0.26176654022216905,3.470562180906451,3.24620995260358,-0.5795637866924642
47,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
48,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
49,2,1,"""=""""H2060638""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:34:12 PM,,,,,,,,,,,,,,
50,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
51,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
