,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,1,5035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:30,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,1,Jez US LUM 384 (cps),0,380,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,A,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
10,B,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
11,C,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
12,D,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
13,E,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
14,F,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
15,G,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
16,H,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
17,I,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
18,J,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
19,K,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
20,L,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
21,M,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
22,N,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
23,O,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
24,P,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
28,1,1,5035,14.01,17.9,17.82,34,34.1,18.2,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:30,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,Background information,,,,,,,,,,,,,,,,,,,,,,,,
31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
32,1,Jez US LUM 384 (cps),0,380,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
