,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Plate information ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,0,0.0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,1.0,1,1,H2061404,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/22/2023 15:46,,,,,,,,,,,,,
2,2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3.0,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4.0,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,5,5.0,1,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7.0,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,9,9.0,A,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
10,10,10.0,B,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
11,11,11.0,C,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
12,12,12.0,D,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
13,13,13.0,E,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
14,14,14.0,F,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
15,15,15.0,G,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
16,16,16.0,H,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
17,17,17.0,I,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
18,18,18.0,J,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
19,19,19.0,K,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
20,20,20.0,L,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
21,21,21.0,M,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
22,22,22.0,N,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
23,23,23.0,O,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
24,24,24.0,P,0.744808371,0.744808371,,,,,,,,,,,,,,,,,,,,,0.744808371,0.744808371
25,25,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,26.0,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
27,27,27.0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
28,28,28.0,1,1,H2061404,14.01,17.9,17.92,48.1,48.6,18.2,18.21,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/22/2023 15:46,,,,,,,,
29,29,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30.0,Background information,,,,,,,,,,,,,,,,,,,,,,,,
31,31,31.0,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
32,32,32.0,1,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
33,33,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
