,",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28"
0,"0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7760"
1,"1,1,1,H2061370,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:48,,,,,,,,,,,,,,,,,7040"
2,"2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680"
3,"3,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7640"
4,"4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7720"
5,"5,1,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,6480"
6,"6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080"
7,"7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880"
8,"8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7520"
9,"9,A,0.644544109,0.644544109,,,,,,,,,,,,,,,,,,,,,0.644544109,0.644544109,,,,7800"
10,"10,B,0.644544109,0.644544109,7200,6880,7040,6920,7440,7680,6720,7360,7760,7840,7640,7120,7960,7960,7680,7240,6080,6800,6760,7240,0.644544109,0.644544109,,,,7160"
11,"11,C,0.644544109,0.644544109,7760,6920,7080,6720,7200,7480,7280,7240,7680,7520,7400,7560,7640,6400,7320,7000,6520,6880,7600,7360,0.644544109,0.644544109,,,,5960"
12,"12,D,0.644544109,0.644544109,7040,6440,7040,7400,7120,7760,7640,7680,8000,7560,6600,6760,8120,7600,7640,7840,7280,7400,7160,7000,0.644544109,0.644544109,,,,7280"
13,"13,E,0.644544109,0.644544109,7680,8000,7840,8760,8560,8400,8760,8240,9320,7880,8720,8360,8440,8280,7960,8040,8560,7760,8880,8320,0.644544109,0.644544109,,,,6880"
14,"14,F,0.644544109,0.644544109,7640,7880,10200,7880,7720,8520,7800,8640,8240,8440,8520,8360,8680,8000,8280,8640,7960,7880,6800,8280,0.644544109,0.644544109,,,,6920"
15,"15,G,0.644544109,0.644544109,7720,7120,8000,7800,7800,8360,7960,8400,8080,7600,8320,7920,7880,8480,7560,8560,7680,7800,7800,7800,0.644544109,0.644544109,,,,6440"
16,"16,H,0.644544109,0.644544109,6480,7760,7560,7840,8000,7920,8040,8560,7960,8240,8000,8040,7840,7800,7840,8400,7960,7600,7520,7640,0.644544109,0.644544109,,,,8000"
17,"17,I,0.644544109,0.644544109,7080,7360,7760,7560,7840,8200,7280,7560,7840,8200,7960,8000,7840,8040,7520,7840,7680,8320,7640,7640,0.644544109,0.644544109,,,,7880"
18,"18,J,0.644544109,0.644544109,6880,6840,7440,7080,7360,7920,7040,7840,7800,7520,7880,7920,7440,7960,8120,8000,7320,7920,7520,7800,0.644544109,0.644544109,,,,7120"
19,"19,K,0.644544109,0.644544109,7520,7160,7880,8040,8400,7520,7720,7800,7080,8040,8000,7320,8000,7960,7680,7880,7560,7920,7960,7520,0.644544109,0.644544109,,,,7760"
20,"20,L,0.644544109,0.644544109,7800,7560,7400,7200,6920,8000,7640,7280,7760,7480,7720,7960,7440,7040,8040,7560,7840,9240,7760,7680,0.644544109,0.644544109,,,,7360"
21,"21,M,0.644544109,0.644544109,7160,7440,7200,7840,7880,7600,8320,7840,7280,8080,7680,7840,7960,8440,7960,8160,7440,7440,8040,7840,0.644544109,0.644544109,,,,6840"
22,"22,N,0.644544109,0.644544109,5960,7240,7520,7760,7080,7840,7120,8240,7640,7280,7880,7440,7360,7480,7880,6920,7360,7880,7360,7640,0.644544109,0.644544109,,,,7160"
23,"23,O,0.644544109,0.644544109,7280,7440,7440,7080,7440,7280,7880,7440,7800,7320,8480,7720,7800,8040,7440,7320,7600,7200,7880,7440,0.644544109,0.644544109,,,,7560"
24,"24,P,0.644544109,0.644544109,,,,,,,,,,,,,,,,,,,,,0.644544109,0.644544109,,,,7440"
25,"25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7240"
26,"26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440"
27,"27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7040"
28,"28,1,1,H2061370,14.01,17.61,17.62,43.7,43.4,17.9,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:48,,,,,,,,,,,,7080"
29,"29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7040"
30,"30,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840"
31,"31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,10200"
32,"32,1,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8000"
33,"33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560"
34,"34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7760"
35,"35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7440"
36,"36,A,0.22193548387096773,0.20903225806451614,0.2232258064516129,0.22580645161290322,0.24387096774193548,0.22580645161290322,0.23741935483870968,0.2361290322580645,0.2335483870967742,0.23225806451612904,0.22580645161290322,0.23483870967741935,0.24258064516129033,0.23870967741935484,0.2335483870967742,0.2103225806451613,0.2361290322580645,0.22064516129032258,0.2232258064516129,0.2167741935483871,0.2296774193548387,0.2129032258064516,0.8296774193548387,0.8361290322580646,0.0,,,7880"
37,"37,B,0.2296774193548387,0.23096774193548386,0.2361290322580645,0.24645161290322581,0.23741935483870968,0.23741935483870968,0.24129032258064517,0.2632258064516129,0.2503225806451613,0.2503225806451613,0.24258064516129033,0.24903225806451612,0.24258064516129033,0.24774193548387097,0.23741935483870968,0.24903225806451612,0.23225806451612904,0.24,0.22451612903225807,0.23225806451612904,0.21419354838709678,0.20903225806451614,0.7780645161290323,0.7793548387096774,0.0,,,7400"
38,"38,C,0.2167741935483871,0.22580645161290322,0.24774193548387097,0.2270967741935484,0.2335483870967742,0.2270967741935484,0.2541935483870968,0.2503225806451613,0.2361290322580645,0.2335483870967742,0.26064516129032256,0.2503225806451613,0.25806451612903225,0.2503225806451613,0.25290322580645164,0.5664516129032258,0.24903225806451612,0.25161290322580643,0.2335483870967742,0.24,0.23483870967741935,0.21806451612903227,0.7587096774193548,0.8038709677419354,0.0,,,7200"
39,"39,D,0.24387096774193548,0.24,0.23741935483870968,0.24,0.23741935483870968,0.25290322580645164,0.2335483870967742,0.24903225806451612,0.25806451612903225,0.24903225806451612,0.24516129032258063,0.25161290322580643,0.24645161290322581,0.23870967741935484,0.24774193548387097,0.2567741935483871,0.23096774193548386,0.23870967741935484,0.22838709677419355,0.22064516129032258,0.06193548387096774,0.22838709677419355,0.8580645161290322,0.8232258064516129,0.0,,,7520"
40,"40,E,0.23870967741935484,0.24516129032258063,0.26838709677419353,0.26064516129032256,0.25806451612903225,0.2787096774193548,0.27483870967741936,0.28,0.27741935483870966,0.2658064516129032,0.3032258064516129,0.2864516129032258,0.2954838709677419,0.2812903225806452,0.26838709677419353,0.27483870967741936,0.2670967741935484,0.2761290322580645,0.2503225806451613,0.25548387096774194,0.2658064516129032,0.24903225806451612,0.9148387096774193,0.9096774193548387,0.0,,,7440"
41,"41,F,0.26193548387096777,0.2503225806451613,0.24903225806451612,0.2696774193548387,0.26064516129032256,0.28,0.28774193548387095,0.29419354838709677,0.28,0.2709677419354839,0.29806451612903223,0.28774193548387095,0.30838709677419357,0.2709677419354839,0.28,0.29935483870967744,0.2658064516129032,0.2761290322580645,0.2709677419354839,0.24258064516129033,0.26838709677419353,0.26064516129032256,0.9432258064516129,0.8761290322580645,0.0,,,6920"
42,"42,G,0.25161290322580643,0.24387096774193548,0.25290322580645164,0.25290322580645164,0.24516129032258063,0.2593548387096774,0.25290322580645164,0.30451612903225805,0.2696774193548387,0.27741935483870966,0.28,0.2632258064516129,0.24258064516129033,0.2593548387096774,0.25548387096774194,0.25806451612903225,0.2567741935483871,0.2658064516129032,0.23870967741935484,0.25290322580645164,0.24774193548387097,0.22580645161290322,0.944516129032258,0.864516129032258,0.0,,,6720"
43,"43,H,0.24645161290322581,0.23870967741935484,0.26193548387096777,0.2632258064516129,0.26193548387096777,0.28516129032258064,0.26064516129032256,0.28258064516129033,0.2735483870967742,0.2696774193548387,0.28903225806451616,0.2709677419354839,0.28258064516129033,0.2812903225806452,0.24,0.2670967741935484,0.24,0.2593548387096774,0.2812903225806452,0.23870967741935484,0.24516129032258063,0.23870967741935484,0.8864516129032258,0.7974193548387096,0.0,,,7400"
44,"44,I,0.20516129032258065,0.2167741935483871,0.23741935483870968,0.23483870967741935,0.24129032258064517,0.2503225806451613,0.25290322580645164,0.27741935483870966,0.2838709677419355,0.2658064516129032,0.2567741935483871,0.2567741935483871,0.28516129032258064,0.2658064516129032,0.28516129032258064,0.2567741935483871,0.25548387096774194,0.2296774193548387,0.2503225806451613,0.25548387096774194,0.23870967741935484,0.2335483870967742,0.8683870967741936,0.8929032258064517,0.0,,,8760"
45,"45,J,0.2270967741935484,0.23870967741935484,0.2296774193548387,0.22838709677419355,0.25548387096774194,0.24516129032258063,0.25548387096774194,0.25548387096774194,0.2787096774193548,0.26193548387096777,0.2567741935483871,0.2709677419354839,0.2632258064516129,0.24258064516129033,0.24645161290322581,0.26064516129032256,0.26064516129032256,0.24774193548387097,0.24129032258064517,0.24516129032258063,0.24903225806451612,0.21419354838709678,0.9135483870967742,0.8929032258064517,0.0,,,7880"
46,"46,K,0.2232258064516129,0.23741935483870968,0.24258064516129033,0.24129032258064517,0.26064516129032256,0.2838709677419355,0.27225806451612905,0.2838709677419355,0.28,0.2761290322580645,0.28,0.26193548387096777,0.27483870967741936,0.2593548387096774,0.26064516129032256,0.2709677419354839,0.24516129032258063,0.2503225806451613,0.24516129032258063,0.2503225806451613,0.2567741935483871,0.24774193548387097,0.9161290322580645,0.7806451612903226,0.0,,,7800"
47,"47,L,0.2361290322580645,0.24,0.23225806451612904,0.25161290322580643,0.25806451612903225,0.26193548387096777,0.24,0.26064516129032256,0.25290322580645164,0.24645161290322581,0.26838709677419353,0.24645161290322581,0.2632258064516129,0.2541935483870968,0.2670967741935484,0.2632258064516129,0.26064516129032256,0.2670967741935484,0.24645161290322581,0.22580645161290322,0.23483870967741935,0.2232258064516129,0.9690322580645161,0.8683870967741936,0.0,,,7840"
48,"48,M,0.23096774193548386,0.2232258064516129,0.2503225806451613,0.24516129032258063,0.2503225806451613,0.26838709677419353,0.2696774193548387,0.2709677419354839,0.25548387096774194,0.24258064516129033,0.25290322580645164,0.26193548387096777,0.2864516129032258,0.24,0.24129032258064517,0.2567741935483871,0.24387096774193548,0.25161290322580643,0.2335483870967742,0.24903225806451612,0.2567741935483871,0.23870967741935484,0.9948387096774194,0.8812903225806452,0.0,,,7560"
49,"49,N,0.22580645161290322,0.22451612903225807,0.23483870967741935,0.22064516129032258,0.2361290322580645,0.25290322580645164,0.24645161290322581,0.2541935483870968,0.2503225806451613,0.24258064516129033,0.2696774193548387,0.26064516129032256,0.24903225806451612,0.26193548387096777,0.24645161290322581,0.2541935483870968,0.1832258064516129,0.24903225806451612,0.2361290322580645,0.23096774193548386,0.25290322580645164,0.22064516129032258,1.0,0.8438709677419355,0.0,,,7080"
50,"50,O,0.21806451612903227,0.2335483870967742,0.23483870967741935,0.23225806451612904,0.2361290322580645,0.24516129032258063,0.24516129032258063,0.24903225806451612,0.24903225806451612,0.24903225806451612,0.25548387096774194,0.24516129032258063,0.2567741935483871,0.25548387096774194,0.24129032258064517,0.24774193548387097,0.22451612903225807,0.22451612903225807,0.2296774193548387,0.24,0.23096774193548386,0.2167741935483871,0.8980645161290323,0.8425806451612903,0.0,,,8040"
51,"51,P,0.2129032258064516,0.22838709677419355,0.22580645161290322,0.24387096774193548,0.22451612903225807,0.24258064516129033,0.23741935483870968,0.2567741935483871,0.24774193548387097,0.2335483870967742,0.2541935483870968,0.24,0.2270967741935484,0.23096774193548386,0.2270967741935484,0.24,0.23096774193548386,0.25161290322580643,0.2167741935483871,0.22193548387096773,0.23741935483870968,0.2270967741935484,0.9587096774193549,0.8670967741935484,0.0,,,7200"
52,"52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840"
53,"53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760"
54,"54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7080"
55,"55,2,1,H2061372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:50,,,,,,,,,,,,,,,,,7440"
56,"56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200"
57,"57,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120"
58,"58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,8560"
59,"59,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7720"
60,"60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800"
61,"61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000"
62,"62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7840"
63,"63,A,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7360"
64,"64,B,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400"
65,"65,C,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,6920"
66,"66,D,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7880"
67,"67,E,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7080"
68,"68,F,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7440"
69,"69,G,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7680"
70,"70,H,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7480"
71,"71,I,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7760"
72,"72,J,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400"
73,"73,K,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8520"
74,"74,L,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8360"
75,"75,M,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920"
76,"76,N,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8200"
77,"77,O,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920"
78,"78,P,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7520"
79,"79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000"
80,"80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600"
81,"81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7840"
82,"82,2,1,H2061372,14.01,17.51,17.41,43.1,42.9,17.8,17.9,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:50,,,,,,,,,,,,7280"
83,"83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720"
84,"84,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280"
85,"85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640"
86,"86,2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8760"
87,"87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800"
88,"88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7960"
89,"89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8040"
90,"90,A,0.21858638743455497,0.2369109947643979,0.24345549738219896,0.25785340314136124,0.28534031413612565,0.2591623036649215,0.2513089005235602,0.25,0.25,0.25392670157068065,0.25785340314136124,0.2774869109947644,0.24607329842931938,0.2683246073298429,0.2643979057591623,0.2526178010471204,0.25523560209424084,0.23821989528795812,0.2356020942408377,0.24738219895287958,0.2486910994764398,0.23298429319371727,0.8547120418848168,0.9345549738219895,0.0,,,7280"
91,"91,B,0.25,0.2643979057591623,0.2617801047120419,0.2591623036649215,0.25523560209424084,0.2630890052356021,0.31151832460732987,0.2526178010471204,0.28534031413612565,0.24738219895287958,0.2761780104712042,0.2591623036649215,0.2683246073298429,0.2787958115183246,0.2591623036649215,0.28272251308900526,0.2696335078534031,0.2709424083769634,0.2709424083769634,0.25523560209424084,0.24738219895287958,0.2342931937172775,0.7212041884816754,0.8756544502617801,0.0,,,7040"
92,"92,C,0.2643979057591623,0.2604712041884817,0.24476439790575916,0.27486910994764396,0.2774869109947644,0.27486910994764396,0.2774869109947644,0.28272251308900526,0.2617801047120419,0.28664921465968585,0.2787958115183246,0.28403141361256545,0.2643979057591623,0.27225130890052357,0.2892670157068063,0.2761780104712042,0.28403141361256545,0.2670157068062827,0.25523560209424084,0.2670157068062827,0.24607329842931938,0.24214659685863874,0.7513089005235603,0.7918848167539267,0.0,,,7720"
93,"93,D,0.2709424083769634,0.2617801047120419,0.2617801047120419,0.28403141361256545,0.27225130890052357,0.3075916230366492,0.29581151832460734,0.2709424083769634,0.31413612565445026,0.29450261780104714,0.281413612565445,0.2709424083769634,0.28534031413612565,0.28664921465968585,0.28272251308900526,0.28664921465968585,0.2905759162303665,0.27225130890052357,0.2617801047120419,0.25523560209424084,0.25523560209424084,0.25523560209424084,0.7486910994764397,0.7958115183246073,0.0,,,7640"
