,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,1,H2060512,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,2023-02-15 15:02:00,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,1,Jez US LUM 384 (cps),0,252,0.25,00:00:00,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,A,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
10,B,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
11,C,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
12,D,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
13,E,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
14,F,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
15,G,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
16,H,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
17,I,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
18,J,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
19,K,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
20,L,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
21,M,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
22,N,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
23,O,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
24,P,0.750698356,0.750698356,,,,,,,,,,,,,,,,,,,,,0.750698356,0.750698356
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
