Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""H2060764""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,12/22/2022 3:45:42 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,96,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
B,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
C,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
D,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
E,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
F,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
G,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
H,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
I,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
J,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
K,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
L,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
M,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
N,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
O,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
P,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,"=""H2060764""",14.01,17.61,17.62,45.3,44.8,18,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,12/22/2022 3:45:42 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,96,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,26512,32432,35792,28704,31712,32352,31168,30352,34800,35088,37920,38128,36928,32688,47568,36176,42320,36720,35328,33952,36688,39760,468304,481584,
B,35840,39392,41008,36288,35840,34640,42576,34592,40112,37104,32256,46448,39680,35792,54368,46496,69344,46624,42752,48336,37664,57232,505040,504704,
C,27168,42144,39200,34624,38720,37072,33952,45280,32400,41872,34416,42848,37248,43344,45328,42768,36864,39536,45424,34352,42672,47200,495136,435728,
D,34240,39984,34784,36544,42528,27360,39312,37520,40752,56608,48208,45488,41568,38736,42768,27936,42768,41616,39984,46544,51664,52816,507712,483600,
E,47968,39648,39056,25760,48800,37280,46336,41520,47008,53328,47568,43504,439568,46544,50464,43536,59760,43776,32656,42768,50112,57472,592560,487904,
F,30976,35488,122912,48176,47792,45296,39104,55632,45216,51568,43264,57824,54320,59552,52016,60256,49760,46112,56720,53952,51824,14400,552336,497344,
G,39776,38400,44304,52480,47056,67344,60832,43968,51984,50656,50768,36144,60384,46560,50480,48096,41120,46960,45808,43760,52800,55280,546608,451856,
H,43216,36656,41936,42912,50704,46992,47456,54544,57312,65632,48368,46352,41648,50976,47184,52080,55248,47536,47616,42176,54592,65664,516576,487728,
I,38688,47472,57840,85328,62448,47840,37360,41232,18704,48816,63776,57296,66720,63792,57376,57008,61712,51632,62672,50528,61712,54576,475760,433648,
