Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""H2060640""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:31:37 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
B,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
C,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
D,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
E,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
F,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
G,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
H,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
I,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
J,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
K,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
L,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
M,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
N,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
O,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,
P,0.7633333728,0.7633333728,,,,,,,,,,,,,,,,,,,,,0.7633333728,0.7633333728,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,"=""H2060640""",14.01,17.41,17.52,52.9,52.7,17.9,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,1/6/2023 8:31:37 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Jez US LUM 384 (cps),0,32,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,15088,16640,17680,19104,18672,18048,16288,19168,20464,20672,20272,20016,20912,19808,20800,20128,20272,20784,21200,18928,19136,21184,320192,288544,
B,15600,17088,18560,18928,21104,20768,20672,21184,20528,20672,20448,26480,19344,21568,21888,22512,21920,21616,22672,20064,22320,23888,341552,298032,
C,16624,18112,19360,20192,19808,20768,21792,21568,21584,21616,21536,22208,22560,22432,22832,24480,23680,22768,20912,23968,22480,24208,310256,306400,
D,17664,19488,21056,21216,21296,21008,21504,21440,22896,21760,21264,24288,21408,23536,22320,23280,21872,21904,22480,23040,22560,24576,308032,284464,
E,20304,21712,22160,23312,24320,23552,21648,23248,23024,23664,23296,28256,24560,23536,23904,12592,23808,11680,51904,23664,24368,25952,345392,292832,
F,21056,22560,22752,23536,23168,22608,22976,21840,17488,16976,23232,24768,23728,23984,23008,24336,26624,22928,22432,24912,25520,27280,346464,297968,
G,20128,21056,21616,21584,23312,22112,22192,22352,21888,23072,22192,10000,24064,23152,23568,23296,23168,22720,23424,23680,21472,25472,315536,273296,
H,20544,21408,21120,21776,21616,22192,22544,22432,23808,22544,22976,23232,22016,23088,22960,22992,8480,21936,24912,24320,23952,25184,322704,269728,
I,19296,21408,22032,21104,22512,21856,20912,22256,22336,22000,21680,22576,22560,22976,21664,21936,24128,22848,24368,24576,23456,24720,301696,269600,
J,17232,20848,20272,22736,22832,22448,20480,22288,22192,20672,22224,22464,22768,21792,23968,23024,23440,22896,23776,24960,22336,23856,316464,284704,
K,19824,21488,22800,22272,22800,25600,24944,17984,23536,25328,23216,24432,24160,24016,22416,23088,25936,24640,38144,25792,25184,24720,285888,287008,
L,20032,23744,21904,22224,23632,23120,22688,22288,21520,22736,22000,24864,23344,23296,24032,23328,39488,26256,25824,25184,23456,27376,290848,288784,
M,20880,23728,24560,24768,25504,23952,24320,24112,24736,24144,24144,26032,23600,25904,24560,25168,26176,24832,28464,30864,11440,29856,290288,290784,
N,21136,22192,24304,25504,23728,24384,24832,24624,24544,24560,24944,25392,26064,28848,26272,25456,27952,25648,27696,27936,5328,27936,295328,296608,
O,21696,24496,24736,23696,23696,24256,23888,25984,24640,24736,24256,26144,25136,20144,26736,25232,29408,26336,26256,16944,28032,30592,305040,282704,
P,20208,21920,21840,22096,22032,22896,23232,22848,22848,22464,23280,23344,22544,23824,21664,22640,22864,23024,23504,21696,21744,24160,307904,290848,

Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
2,1,"=""H2060638""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/6/2023 8:34:12 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,Jez US LUM 384 (cps),0,40,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
B,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
C,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
D,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
E,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
F,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
G,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
H,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
I,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
J,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
K,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
L,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
M,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
N,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
O,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,
P,0.62849518165,0.62849518165,,,,,,,,,,,,,,,,,,,,,0.62849518165,0.62849518165,

Plate information 
